Unnamed: 0,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G
18,514735994893416960,1.3169489,514735994893416960,0.29020667,0.05057335,33.95637856784087,63.495597169633996,8.259287359790036,0.02492314,331.39032,38.689476405983214,-25.40572844581976,1.9930634,452.97113,11.930079,158.3999,271579.85807827424,241.78195,1.2898432,0,0,0,0,1.3174534,0.55052567,0.7669277,-15.447219,3.5467753,1,58.403526,nan,nan,132.18206870249412,2.149623563106822,57.66156934097974,46.211734402856,0,5292.181,5279.321,5303.594,0.941,0.7457,0.4006,4772.4937,0,False,0.05057335,False,6.514792342591855
41,435306244100713728,1.2659864,435306244104785408,0.21269715,-0.0064878464,50.5285916045461,47.56841785946729,5.80357553059687,0.07234555,80.22022,24.036535541767954,-24.127994155743274,5.854011,464.09427,11.702181,131.92091,317512.7533819386,177.6123,1.2474254,0,1,0,0,1.2539177,0.54522896,0.70868874,4.73583,10.19386,1,44.976994,nan,nan,147.53583012746955,-7.976114567354328,60.92700474738862,28.034405695281592,0,5620.133,5606.903,5636.156,0.9441,0.7625,0.4113,4879.1714,0,False,0.0064878464,False,5.520659067109168
51,2082915038125850112,1.527792,2082915038125850112,0.39022338,-0.009585381,306.01133339424825,45.04455551945208,5.769703308564968,0.013154849,438.59897,9.151620127864566,1.5518814714912257,1.1933138,778.3669,12.522778,204.67606,164965.54584494626,297.98044,1.2759426,0,0,0,0,1.5158348,0.6974697,0.8183651,-23.972363,3.610227,1,30.341341,nan,nan,82.27624607871778,4.326751338829406,329.6863391538925,61.23553030528653,0,nan,nan,nan,nan,nan,nan,4414.8,0,False,0.009585381,False,6.328544963909135
123,172441738640372736,1.0163631,172441738640372736,0.2386286,0.010342598,67.25590528033112,32.638114371413664,5.02971263460738,0.017635217,285.20844,15.953079183251987,-23.05295994384368,1.0297064,2664.0,10.61332,576.1797,842254.4428565014,750.1479,1.3223131,0,32,0,31,1.0081377,0.32910442,0.6790333,12.146255,2.8821595,1,31.955814,nan,nan,167.153337910931,-10.975303875594644,70.64969645952942,10.714057921943615,0,6035.1133,6010.5664,6061.244,0.6827,0.5722,0.3149,5532.9062,1,True,0.010342598,False,4.121036215519647
144,227098427299893760,2.426815,227098427299893760,0.2901734,-0.013777733,62.05907073877831,40.1252630597221,13.131463618571711,0.047588736,275.93637,50.950030628605134,-62.09379503080475,2.9246807,1590.7827,12.96746,413.49088,145929.4265769113,957.8064,1.4118007,0,0,0,0,2.4247217,1.2948008,1.129921,10.256772,25.10107,1,48.859013,nan,nan,158.7716070139636,-8.67355386965173,67.7583510850646,18.819094107180216,0,3551.2788,3542.1646,3555.6582,0.69,0.4592,0.2831,3539.039,0,False,0.013777733,False,8.559025352526103
159,231825330868662656,1.167037,231825330868662656,0.14475206,0.004044533,59.820075018993755,44.07091513286388,15.223863393183034,0.015656766,972.35046,51.654412245555825,-69.43604042317205,0.8879511,584.8003,10.11943,165.29169,1307498.6989733465,222.1335,1.2351876,0,12,0,13,1.1563282,0.4936905,0.6626377,0.1398271,2.5001945,1,122.17773,100.29401,8.900475,154.86309181839502,-6.849317841811841,66.89292164250712,23.022809408937963,0,4665.2173,4663.9883,4667.874,0.0016,0.0013,0.0007,5112.7056,0,False,0.004044533,False,6.032053979737331
164,249318148550233472,2.5300684,249318148550233472,0.12688997,-0.025315285,52.73046129948845,48.65622037588638,5.6990793459027556,0.03731417,152.73232,22.760630611867686,-25.696063295693403,1.0670254,1328.0608,15.436443,153.98976,15382.182149687289,482.59805,1.4256155,0,2,0,0,2.5289183,1.3728256,1.1560926,9.827705,18.306965,2,5.4348683,nan,nan,148.1460016045986,-6.2505524141691895,62.87707053580857,28.66606255588636,0,3507.1248,3499.5488,3522.8706,0.9026,0.5953,0.3676,3479.5781,0,False,0.025315285,False,9.21546684644095
167,441640221355365760,1.0250864,441640221355365760,0.25008473,-0.00079345703,50.59148724389263,49.14092766399117,5.561225864103804,0.020133309,276.22018,22.592739034040168,-24.539177191180173,0.98162496,1097.3625,11.474267,389.29745,352017.0359493911,497.23093,1.2188952,0,0,0,0,1.0134964,0.42071533,0.59278107,-12.263943,4.9810224,1,51.144325,nan,nan,146.70109071247373,-6.6385612621113435,61.48999624791027,29.528084093085827,0,5311.3066,5264.1704,5345.428,0.2381,0.1946,0.1052,5506.796,0,False,0.00079345703,False,5.200119675462407
169,351620936642019456,1.2332144,351620936642019456,0.16158521,0.011086464,32.705971239393335,43.42225254525395,5.67238589768666,0.016387168,346.14804,26.62077207111313,-21.051355139193515,1.0235028,499.14554,12.452361,141.2346,157181.49676703956,176.37611,1.2447914,0,0,0,1,1.223155,0.5276861,0.6954689,-4.5538225,5.237051,1,17.452297,nan,nan,137.88526118409683,-17.132533828564583,46.027645465112,28.329659996105082,0,5107.791,5101.8105,5114.2417,0.4762,0.3786,0.2016,4952.577,1,True,0.011086464,False,6.221189950059848
174,143044302406892416,1.2233334,143044302406892416,0.24614754,-0.013575554,43.86729274221251,37.852398466584724,6.501309353162154,0.027406469,237.21806,28.40342155740854,-27.453198320548175,1.4803085,964.7454,12.178338,248.89542,199490.68322138244,367.798,1.2358084,0,0,0,0,1.2027483,0.5224991,0.6802492,-4.768625,6.4253726,1,24.828867,12.876958,8.264009,148.38196948231834,-18.814317823316465,52.65791296906911,20.202422906075338,0,5042.205,5032.402,5056.636,0.3754,0.2976,0.1576,4975.469,0,False,0.013575554,False,6.243342209123689
