NGTS_ID,Gaia_ID,RA,Dec,NGTS_mag,G_mag,BP_mag,RP_mag,Ks_mag,GmK,SpT,mult,amp_data,amp_GP,P_GP,P_GPue,P_GPle,P_LS,P_GACF,method,P_adopt,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G
3201,2321349700873987712,00:07:29.909,-28:53:41.825,14.84,15.45,16.61,14.37,12.09,3.36,M2,c,42.15,38.92,0.32369,5e-05,4e-05,0.32363,0.32364,GP,0.32369,2321349700873987712,2.24,2321349700873987712,0.12570818,-0.019787788,1.874629114784254,-28.895168558502657,4.204150692452439,0.039889947,105.393745,18.832244150614773,3.852775300874266,1.0598806,1116.5995,15.429172,155.46443,14402.308778842103,408.1131,1.3836262,0,0,0,0,2.2414694,1.164113,1.0773563,nan,nan,-1,nan,nan,nan,20.051578106899814,-80.14629115439294,349.2625536585635,-27.047413510227198,0,nan,nan,nan,nan,nan,nan,3593.946801013677,0,False,0.019787788,False,8.547562934046791
4124,2320972018629984384,00:06:55.585,-29:01:52.517,12.42,12.91,13.38,12.22,10.77,2.14,K3,c,23.41,21.64,6.93064,0.05036,0.04814,6.88627,6.966,GP,6.93064,2320972018629984384,1.1600000000000001,2320972018629984384,0.1887825,0.010119438,1.731746471049425,-29.03137237551086,4.186405006842475,0.022187019,188.68713,17.795895331158462,2.2143887635161352,1.2738639,740.6891,12.923096,580.761,103522.5591970133,401.93762,1.2970315,0,33,0,32,1.1485777,0.43579006,0.7127876,4.3394012,2.5134034,2,11.309267,nan,nan,19.370116110154147,-80.00351780200924,349.06861534414986,-27.113461845098044,0,5313.6836,5160.33,5386.4453,0.4745,0.3835,0.2063,4885.863444859414,1,True,0.010119438,False,6.032301908814812
4846,2332965216587822464,23:58:55.678,-29:07:33.992,12.53,12.98,13.48,12.34,10.92,2.06,K3,c,32.65,32.49,1.16438,0.00112,0.00125,1.16898,1.16795,GP,1.16438,2332965216587822464,1.1400000000000006,2332965216587822464,0.09984872,-0.017278671,359.73189841344794,-29.12608378780078,4.241854491356583,0.01891134,224.30217,18.38452464477608,2.4681715571902503,1.011883,708.39355,12.963198,177.48944,93442.48276517885,226.50124,1.2243294,0,0,0,0,1.1260328,0.48436928,0.64166355,3.9791903,3.9894118,2,20.817484,nan,nan,20.07820465229228,-78.25826976509425,347.26877694065047,-26.419698005201973,0,5233.1694,5215.164,5257.1553,0.3881,0.3127,0.1675,4930.432669092962,0,False,0.017278671,False,6.100976542134013
5076,2320989851334122752,00:04:54.072,-29:09:10.699,11.92,13.08,13.22,12.0,10.29,2.79,K7,c,68.95,54.34,1.55893,0.03577,0.03149,1.93032,1.973,GP,1.55893,2320989851334122752,1.2200000000000006,2320989851334122752,0.13042869,0.008991241,1.2254632272914103,-29.152849032455574,4.216589558391594,0.09083372,46.42097,19.261364642286367,2.271215695036715,4.651317,592.05206,13.091818,34.323856,127970.39854240582,38.5236,1.792909,0,33,0,32,1.2801228,0.16842651,1.1116962,-3.1813283,4.7751927,2,10.751483,nan,nan,19.054619830658876,-79.54816260769644,348.56315168927824,-27.024590971554723,0,nan,nan,nan,nan,nan,nan,4760.572175198824,1,True,0.008991241,False,6.216624500699512
6051,2333005451841565056,00:02:48.684,-29:16:40.254,15.85,16.49,18.09,15.27,12.67,3.83,M4,c,63.86,43.45,0.35901,0.0011,0.00096,0.35551,0.35563,GACF,0.35563,2333005451841565056,2.8200000000000003,2333005451841565056,0.15806548,-0.01935196,0.7030905069465969,-29.277880657415906,4.271864204623753,0.052866142,80.80529,18.74444848452566,2.9385268580768935,1.0010954,694.7998,16.475452,68.3957,6281.067347177921,311.22626,1.4692769,0,0,0,0,2.7894363,1.5667953,1.222641,nan,nan,-1,nan,nan,nan,18.746701089395305,-79.07886648571655,348.0427146562827,-26.93300853145049,0,3339.2815,3335.7178,3342.8435,0.8438,0.5379,0.3552,3284.023993239389,0,False,0.01935196,False,9.628539616840616
6655,2332954427629986048,23:57:57.092,-29:21:40.138,12.18,12.61,13.12,11.96,10.5,2.11,K3,c,23.59,22.92,6.08095,0.06806,0.07333,6.22988,6.2061,GP,6.08095,2332954427629986048,1.1599999999999984,2332954427629986048,0.46985525,0.0023479462,359.4876480050627,-29.361125099504232,4.163781359004815,0.05957147,69.89556,18.55176503534403,2.949258384826384,4.68564,842.18164,12.609397,237.13359,131651.33863016212,334.58682,1.2348938,0,0,0,0,1.1501265,0.49006176,0.6600647,4.043604,2.4885638,1,19.513073,nan,nan,19.071174170283026,-78.01780914606182,346.9387954401856,-26.535550774955716,0,4778.386,4760.576,4793.3223,0.0981,0.0776,0.0417,4885.863444859397,0,False,0.0023479462,False,5.7068365172431665
7654,2320895774370830464,00:03:11.565,-29:30:15.160,15.53,16.12,17.48,14.96,12.54,3.58,M3,c,52.7,39.02,2.72253,0.00175,0.00154,2.72297,2.7198,GP,2.72253,2320895774370830464,2.5199999999999996,2320895774370830464,0.05325336,-0.017002106,0.7984484567731961,-29.50428481473135,4.224124763280422,0.048639826,86.84498,18.331083579344543,2.566462429452413,1.0412846,886.3628,16.105495,53.697968,8339.770672346758,336.30576,1.4380722,0,3,0,2,2.4942236,1.3337383,1.1604853,nan,nan,-1,nan,nan,nan,17.494889797067394,-79.12526414664,348.0126492452575,-27.17268519749869,0,3451.0403,3447.3025,3455.1235,0.6922,0.4548,0.2854,3432.0746481591486,0,False,0.017002106,False,9.234179137825024
7670,2320933157765826560,00:05:18.358,-29:30:05.447,10.87,11.21,11.6,10.7,9.66,1.55,G7,c,25.17,24.95,0.85993,0.00389,0.00342,0.8478,5.8598,GP,0.85993,2320933157765826560,0.9000000000000004,2320933157765826560,0.23224384,0.0054121017,1.3267510052875742,-29.501551292872286,4.1657459436707445,0.021527596,193.50726,18.40061122937913,2.8292522684691144,1.1342356,1174.4802,11.21567,338.567,420274.1287245994,459.0334,1.2027403,0,0,0,0,0.88974,0.36313438,0.5266056,5.0984936,2.3459356,1,56.237247,100.70499,21.42735,17.075882620466583,-79.57850759858326,348.4766605195637,-27.3759790685648,0,5439.6704,5385.2925,5511.703,0.043,0.0356,0.0192,5573.444665210215,0,False,0.0054121017,False,4.314133532476642
8007,2320973839695997824,00:04:05.699,-29:33:03.777,14.15,14.69,15.58,13.77,11.77,2.93,K9,c,22.43,29.45,10.418,0.09497,0.11207,10.74492,10.4224,GP,10.418,2320973839695997824,1.8100000000000005,2320973839695997824,0.010088772,-0.011702538,1.0240100842328546,-29.551100612025035,4.200281729342616,0.027501144,152.73117,18.949950020340797,1.804436487000642,1.3361094,1217.6079,14.680808,325.27164,24896.32288393041,515.2363,1.310994,0,0,0,0,1.7919731,0.8687229,0.9232502,6.1685567,4.0390234,2,5.2541876,nan,nan,17.066879892581788,-79.31046945691281,348.1865203256015,-27.302350662936696,0,4126.6147,4111.3784,4138.6343,0.4953,0.3574,0.1943,3963.068245239556,0,False,0.011702538,False,7.7972001733534615
8947,2320875467765417984,00:02:47.165,-29:40:49.781,15.72,16.29,17.71,15.12,12.61,3.68,M3.5,c,57.34,35.08,0.33726,0.00055,0.00065,0.3385,4.5511,LS,0.3385,2320875467765417984,2.5900000000000016,2320875467765417984,0.09172275,-0.01651764,0.6967772777561572,-29.68057504170324,4.256827198825194,0.06257646,68.026024,18.95131142001197,2.7569147555717253,1.1675307,1103.8733,16.27542,109.84725,7273.070815454246,534.56976,1.4442062,0,2,0,0,2.6128025,1.4309845,1.181818,nan,nan,-1,nan,nan,nan,16.661393228566045,-79.00735487399866,347.8350333618189,-27.29080684378836,0,3408.3066,3404.3384,3413.1824,0.7262,0.4727,0.3011,3398.390062274644,0,False,0.01651764,False,9.420849339392271
