Seq,n_Seq,TIC,Gmag,__G-K_0,Prot,n_Per,e_Per,Grade,Sect,_RA,_DE,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,Teff_Mamajek,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_pass_author_quality,flag_benchmark_period
5,  ,334518873,16.025,3.962,6.9, ,1.0,B,15            ,193.69335,49.16959,1555402481895361664,2.9135542,1555402481895361664,0.08806262,-0.026062965,193.69320930034885,49.16955179153733,11.699048060140418,0.0347549,336.6158,-20.640259841046852,-8.50133287045549,1.1099327,1829.8109,15.999131,148.47003,9926.98957013,730.8298,1.4772358,0,7,0,5,2.9232044,1.679925,1.2432795,,,,,,,121.47983912758966,67.9492945552959,165.94984582291983,49.09328340915565,0,,,,,,,3225.9375,3784.9808572082875,0,False,0.026062965,False,11.339883828074912,False,False,False,False,False,False
6,  ,136951754,14.773,3.675,0.98, ,0.02,A,15/16/22      ,195.25367,46.07236,1530810976628569344,2.6687317,1530810976628569344,0.053679608,-0.022242546,195.2535410650656,46.072317998656935,11.894379129719415,0.024843391,478.77438,-20.513259576706897,-9.208617840947806,1.1665444,2128.152,14.750821,254.91916,29961.130106065997,853.3307,1.4493586,34,47,21,60,2.6787596,1.4844389,1.1943207,-6.2627244,3.609032,2,11.351135,,,117.83525320455662,70.9610493459976,169.91619451883122,47.17112452561634,0,,,,,,,3357.9219,3411.736415119004,1,True,0.022242546,False,10.127530000528871,False,False,False,True,True,False
7,  ,155871409,16.881,4.006,0.217, ,0.001,A,16/22         ,195.72982,55.23627,1564395731095646720,3.113615,1564395731095646720,0.0044672857,-0.02576828,195.7296735713387,55.23623765317513,10.49326435004062,0.05241928,200.17947,-18.3558983968545,-8.051417468061336,1.0221539,1212.7828,16.85488,58.518707,4690.543688760542,375.41132,1.5066266,0,2,0,3,3.1359234,1.8508816,1.2850418,,,,,,,119.46633631756397,61.81469223794334,161.37668346079,54.60801234706393,0,,,,,,,3103.8125,3914.8437543275822,0,False,0.02576828,False,11.959432448778037,False,False,False,False,True,True
8,  ,155856633,8.973,1.212,5.08, ,0.16,A,15/16/22      ,195.8196,57.31524,1577006820227984000,0.7096405,1577006820227984000,0.13598162,0.0073776245,195.81945971899782,57.31520507130076,10.624054587972026,0.013147975,808.03735,-17.17662377391059,-8.243358761937367,1.0148244,3661.729,8.980788,1099.4163,3029840.6184713,1341.3542,1.1983222,0,41,0,41,0.6996031,0.2631607,0.43644238,-3.9990566,0.4108847,1,84.70219,,,119.75972437574084,59.74006062614693,158.97272874603513,56.1769279078335,0,6061.8496,6060.542,6063.787,0.0007,0.0006,0.0003,6133.334,6056.12607686915,0,False,0.0073776245,False,4.112239698392461,False,False,False,False,True,True
9,  ,142386740,15.576,3.869,0.788, ,0.012,A,21/22         ,197.8614,60.20552,1579253294281966336,2.881277,1579253294281966336,0.04458981,-0.030806541,197.86120742067604,60.205488434633544,12.637082602878682,0.030500513,414.3236,-21.03872705123393,-7.33574739932784,1.1943953,1610.1765,15.545435,123.76821,15045.885364561429,527.28455,1.478712,0,4,0,3,2.8922148,1.6511307,1.2410841,,,,,,,118.40057115768737,56.74639207979405,156.5276752830211,58.96196783005795,0,,,,,,,3245.3438,3585.783950305279,0,False,0.030806541,False,11.053669073210667,False,False,False,False,True,True
11,  ,417937937,16.224,3.879,1.042, ,0.023,A,15            ,199.01183,53.74406,1563282372493360512,2.961378,1563282372493360512,0.0933201,-0.023792267,199.0116883209298,53.74403006667737,11.029197216121483,0.042487532,259.58667,-18.86998616687077,-6.814707522577932,1.1517252,1303.4661,16.200087,114.357666,8345.323260268371,414.49734,1.4884577,0,3,0,3,2.965106,1.7093067,1.2557993,,,,,,,114.90712681166892,62.999122828426444,165.5573763065204,54.73346676547013,0,,,,,,,3196.1875,3602.858575542822,0,False,0.023792267,False,11.41280610628368,False,False,False,False,True,True
12,* ,159159752,16.166,3.841,1.22, ,0.03,A,15/16/22      ,199.29334,58.01914,1566766484322815232,2.930788,1566766484322815232,0.051493395,-0.029714584,199.29318690345292,58.01911470518523,10.70794120980184,0.03710143,288.61264,-18.152637777836148,-6.130067656144383,1.0618576,1464.1915,16.136408,108.41341,8708.71068754255,498.42337,1.4716895,0,2,0,1,2.9155931,1.6771965,1.2383966,,,,,,,116.35731538919988,58.779423408488455,160.51729348925275,57.97743922452295,0,3313.7551,3311.7983,3315.7021,0.9579,0.6047,0.3976,3215.4062,3542.922309203477,2,True,0.029714584,False,11.284937742666294,False,False,False,True,False,False
12,* ,159159752,16.166,3.841,6.5, ,0.8,A,16/22         ,199.29334,58.01914,1566766484322815232,2.930788,1566766484322815232,0.051493395,-0.029714584,199.29318690345292,58.01911470518523,10.70794120980184,0.03710143,288.61264,-18.152637777836148,-6.130067656144383,1.0618576,1464.1915,16.136408,108.41341,8708.71068754255,498.42337,1.4716895,0,2,0,1,2.9155931,1.6771965,1.2383966,,,,,,,116.35731538919988,58.779423408488455,160.51729348925275,57.97743922452295,0,3313.7551,3311.7983,3315.7021,0.9579,0.6047,0.3976,3215.4062,3542.922309203477,2,True,0.029714584,False,11.284937742666294,False,False,False,True,False,False
13,  ,142413357,16.019,3.905,1.01, ,0.02,A,15/16/21/22   ,199.74905,60.52008,1663286184854047232,2.8844385,1663286184854047232,0.099858336,-0.024551392,199.7488870419604,60.52005013273418,10.02613676826859,0.038258106,262.06567,-17.584833166310204,-6.579875229596122,1.0448178,922.6915,15.994482,120.236465,10023.641718781586,349.74567,1.4888176,0,17,0,15,2.8984995,1.6493492,1.2491503,,,,,,,116.82766269611032,56.28039463145163,157.30405722064634,59.864296072924425,0,3310.5222,3307.7537,3313.2476,0.9182,0.5784,0.3838,3243.5312,3651.8844694919417,0,False,0.024551392,False,11.000150163423811,False,False,False,False,True,True
15,* ,165454079,14.882,3.676,1.3, ,0.03,A,15/16/22      ,200.92484,52.4625,1562916406920238592,2.637886,1562916406920238592,0.07376277,-0.022899628,200.92469457877087,52.46246750481226,11.031989912907168,0.021012347,525.0242,-19.462062883323842,-6.844331042132995,1.1471953,1745.0988,14.85942,322.20773,26898.87166651722,652.2848,1.4442315,0,3,0,1,2.6430864,1.4572268,1.1858597,3.5792515,3.6187606,2,9.323507,,,111.70477107763334,63.956863653087076,168.50085658157806,54.49624094067969,0,3405.5403,3381.2854,3418.6262,0.8028,0.5209,0.3312,3372.5938,3412.011678955453,1,True,0.022899628,False,10.072689103048354,False,False,False,True,False,False
