Seq,n_Seq,TIC,Gmag,__G-K_0,Per,n_Per,e_Per,Grade,Sect,_RA,_DE,dr2_source_id,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,nbhr_count,flag_nbhr_count,flag_bad_gaiamatch,M_G
47,na,311002115,15.395,3.834,1.01,n,0.02,A,15/16,206.22827,52.9231,1560839669973427200,1560839669973427200,0.01918371,-0.02919197,206.22813146436764,52.92307800052554,10.795009824871089,0.02395045,450.72263,-18.357471616849985,-5.823068672024327,1.0720099,2020.5431,15.365385,256.35788,17510.260220166947,1057.7932,1.4672871,0,2,0,3,2.8291092,1.6033878,1.2257214,-2.3214393,11.953492,2,5.211244,nan,nan,105.4500709728893,62.35242540145743,172.323009893896,56.92711229320521,0,3335.511,3332.8313,3350.8506,0.9329,0.5937,0.3882,0,False,False,10.531500265218092
48,na,165407465,13.281,3.249,0.79,n,0.01,A,16/22/23,206.30495,46.31114,1503770755884281344,1503770755884281344,0.061203253,-0.01611042,206.30482000403407,46.31111695711512,11.586558842323232,0.0123310285,939.6263,-19.357874171441285,-6.026048502369181,1.204145,2073.9045,13.264823,390.86948,107931.45866752155,1217.4706,1.3936914,0,1,0,0,2.3253098,1.2255125,1.0997972,-20.362606,12.456176,1,29.539278,nan,nan,97.46438047415369,68.06767142056154,179.3716048332852,51.73844214907473,0,3612.6494,3605.3643,3622.0066,0.6788,0.4575,0.2747,0,False,False,8.584595317588967
49,na,310338842,10.451,1.972,7.8,n,1.2,A,15/16/22/23,206.31859,52.24729,1560784144636281856,1560784144636654976,1.2790585,0.02380085,206.31848019182306,52.247262089728125,10.724622657625565,0.074056774,144.81622,-15.536972062714074,-4.29048481688275,6.4574103,1702.289,10.475149,734.90063,936287.2200031342,1141.8458,1.25232,0,0,0,0,1.0987387,0.44296265,0.655776,-9.634292,2.2716022,1,117.812195,9.852456,3.368656,104.68254926729983,62.93151735241318,173.19826525881274,56.448893901167196,0,4994.8677,4974.0386,5008.0913,0.1688,0.1354,0.0728,0,False,False,5.627059257737589
52,na,141862036,13.944,3.51,0.56,n,0.006,A,15/16/22,206.88313,58.35099,1659300798800682496,1659300798800682496,0.6033426,-0.017155647,206.8829851471022,58.350957435954314,10.145314063139283,0.038260944,265.1611,-17.3184964446391,-8.254733992496995,3.5932677,1218.2108,13.92643,288.48648,60526.3431352282,552.686,1.4190129,0,2,0,2,2.411581,1.2781858,1.1333952,-11.297953,6.7643824,2,14.0321,nan,nan,109.3300883032,57.271389379119384,165.5113384224374,61.093436241283996,0,3538.8428,3531.3613,3552.3374,0.7039,0.4694,0.2866,0,False,False,8.957757227549141
58,na,141915639,14.343,3.536,0.369,n,0.002,A,15/16/22,208.567,59.29128,1659280835792910464,1659280835792910464,0.061632413,-0.020337105,208.56684694583737,59.291268020940976,10.721439900758147,0.015364033,697.82715,-17.822288233952953,-3.3838297196066778,1.1898719,1958.5826,14.322535,437.95828,42024.460897986784,835.6453,1.4123266,0,1,0,1,2.4445562,1.311162,1.1333942,-51.12112,8.963882,2,13.108866,nan,nan,108.59750856735867,56.054053673253215,165.26534197812632,62.370298581753914,0,3510.563,3477.5823,3519.196,0.6975,0.4632,0.2843,0,False,False,9.473800138575262
69,na,198147567,13.259,3.121,6.49,n,0.93,A,16/23,210.19671,47.66532,1509561299512624000,1509561299512624000,0.071775496,-0.010018349,210.1965966579695,47.66529875134815,10.89368056844842,0.010824572,1006.3844,-17.79665576026391,-5.6571731679563,1.0670073,1695.5372,13.248553,427.62213,99536.13871641866,737.7406,1.3410299,0,1,0,0,1.998436,1.0028267,0.9956093,-3.9499686,3.7097018,1,24.78828,nan,nan,94.11314745585435,65.3970756878762,181.64656770781485,54.3864474017681,0,4063.244,3796.7415,4824.1035,1.1299,0.8052,0.4377,0,False,False,8.434426458361813
80,na,166053959,8.185,0.867,0.88,n,0.02,A,15/16,212.72104,62.52221,1667489892685370624,1667489892685370624,0.31499913,0.01130867,212.72087002723478,62.522195786330656,9.795463640714324,0.043090053,227.3254,-17.235612030195814,-2.751308009630854,2.530579,4294.2017,8.196145,1570.004,5687667.980585013,2766.352,1.18462,0,40,0,38,0.52123785,0.18565273,0.33558512,-1.3516952,1.5678405,1,257.9774,88.07471,2.4942014,108.09355457945368,52.256846751526176,162.27490754871877,65.9500662207241,3,6703.2085,6700.854,6706.4365,0.0009,0.0008,0.0004,0,False,False,3.1512700423020945
116,na,313338124,12.485,2.984,2.73,n,0.15,A,15/16/23,217.43614,59.24573,1611980464041596672,1611980464041596672,0.4680343,-0.0048561096,217.43602122880142,59.24572324229482,10.25964101319206,0.06300967,162.82645,-16.07149685451483,-2.1646272660687482,7.343608,1243.1289,12.480314,297.4246,191527.40053814917,502.68335,1.3181449,0,8,0,0,1.8279848,0.8899889,0.9379959,-9.215761,2.045166,1,48.347694,40.84437,20.286005,101.88810023279372,53.680866775123164,172.05798426462889,65.79727157872433,0,3910.9783,3902.063,3920.2344,0.295,0.2104,0.1165,0,False,False,7.535975079732651
135,na,159636302,12.123,2.598,1.09,n,0.02,A,15/16/22/23,220.96449,60.23533,1617712351300477440,1617712351300477440,0.42907205,-0.003961563,220.96432540539246,60.235322082515864,10.347082783329126,0.07801343,132.63208,-16.55003313217386,-2.5074638143241876,7.6026125,784.9271,12.119495,211.67854,237002.01611890492,309.42218,1.2740127,0,1,0,1,1.4885111,0.6800308,0.80848026,-15.881951,5.106154,1,52.22296,nan,nan,100.7258604966935,51.77198637279037,172.8995912897053,67.8045724709567,1,4527.839,4520.0005,4538.3057,0.6412,0.4878,0.2628,0,False,False,7.193585010528873
138,na,154357603,15.785,3.923,0.438,n,0.004,A,16/22/23,221.90539,51.62793,1605544850685882240,1605544850685882240,0.03886972,-0.02805996,221.90528567995446,51.627924405368866,9.619888729127842,0.033521537,286.97638,-14.812743703826156,-2.262039654889186,1.1479745,1450.3127,15.756602,128.01628,12647.26564788467,550.1816,1.4935578,0,2,0,0,3.0073023,1.7436037,1.2636986,-58.017616,9.496403,2,3.452078,nan,nan,89.13669171916993,57.190838442215885,188.43871683877552,62.1562825489532,0,3290.0237,3285.1868,3292.8064,1.0972,0.6859,0.4606,0,False,False,10.672452530742849
144,na,310003595,12.626,2.761,7.7,n,1.2,A,15/16/22/23,222.57476,58.68912,1613968552863278208,1613968552863278208,0.28758448,-0.012835503,222.57463835117625,58.68911532255298,9.562393047932273,0.01078056,887.0034,-14.455899580919823,-1.2354750654690643,1.1573226,1059.1337,12.612667,260.54407,158525.4187686244,414.47363,1.287486,0,1,0,0,1.6444178,0.7793989,0.86501884,-6.2993164,2.3765562,1,34.121483,13.870897,18.899157,98.01665711490175,52.303858924161474,177.41661871814912,67.47534899922833,0,4329.9507,4325.0615,4334.805,0.3769,0.2775,0.148,0,False,False,7.515500037514567
167,*,1102236385,10.939,3.941,7.2,n,1.1,A,16/22/23/24,228.23972,56.04604,1600815335778533760,1600815335778533760,0.10076306,0.021532059,228.23962106758486,56.046030474967324,8.863670467328612,0.029432956,301.14783,-12.770581922076225,-1.687048242574712,1.5662686,1089.185,10.96054,20.671024,674954.20614121,43.804447,1.5590721,0,3,0,2,0.83827114,0.052440643,0.7858305,-5.8004966,1.3436625,1,42.24807,nan,nan,91.57008443173426,51.5837838861507,188.00248312264426,67.93575022833222,0,nan,nan,nan,nan,nan,nan,1,True,False,5.698607825444206
208,*,159871715,8.931,1.23,0.8,n,0.047,A,24,237.78907,52.90725,1404937579808394112,1404937579808394112,0.20616405,0.00543499,237.78899017170485,52.90725108259338,8.556157336974252,0.04037864,211.8981,-10.585804057222795,0.10862989643699164,1.4232106,2198.0386,8.936245,554.15625,3094608.729565609,722.7871,1.1996676,0,16,0,16,0.6521473,0.2372837,0.4148636,-1.9600443,7.0910587,1,79.80158,nan,nan,83.35057289899882,48.05030944908445,205.14281551645075,69.19876571988566,0,6199.848,6196.864,6204.8906,0.0019,0.0017,0.0009,1,True,False,3.5976387751112355
