Seq,KIC,dr2_source_id,Gmag,BP-RP,Teff,Mass,SpT,Per,e_Per,NQ,f_Seq,Simbad,_RA,_DE,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,nbhr_count,flag_nbhr_count,flag_bad_gaiamatch,M_G
12,9655357,2128108951750969088,13.722,0.658,6398,1.236,F5,1.81,0.1239,15,Y,Simbad,294.32423,46.31857,2128108951750969088,0.15978399,-0.013325691,294.3242089113133,46.318526981586345,0.7573339438491173,0.014958835,50.62787,-3.501693445081324,-8.76643927009896,1.301113,3624.8755,13.708821,1188.7909,37691.322986905856,1903.112,1.1848432,0,1,0,1,0.65248775,0.25095844,0.4015293,11.78486,8.590171,2,6.187658,-1,-1,79.1479380016341,11.981078913716955,314.47506982079796,66.04307945155149,0,6576.3086,6562.395,6591.1274,0.2151,0.1874,0.1012,0,False,False,3.105258408795944
34,9715126,2128165817117806464,14.297,0.756,6159,1.156,F8,7.18,0.6759,4,Y,Simbad,293.85641,46.40533,2128165817117806464,0.0533456,-0.011340141,293.8563934244162,46.40528838199193,0.6796489178675781,0.0139340535,48.776108,-3.334591817691401,-8.890444223721229,1.0591972,4753.7847,14.285917,948.7936,23352.234726366467,988.3654,1.1972961,0,23,0,4,0.74932384,0.2904806,0.45884323,11.273147,7.6596155,2,5.1369014,-1,-1,79.07851501158967,12.308411326526956,313.8300304392458,66.25216316030338,0,5985.8926,5957.283,6016.671,0.094,0.0801,0.0434,1,True,False,3.4473404308778584
75,9957187,2128158601573673728,15.414,0.978,5486,0.959,G8,10.93,0.3486,15,Y,Simbad,294.28048,46.81317,2128158601573673728,0.16246574,0.002541542,294.28046149694376,46.81313083299305,0.5318057413259881,0.08675376,6.1300597,-3.5093875371102423,-9.624932955016801,3.7748477,717.93585,15.416385,354.19193,9493.245348025097,484.36838,1.2610539,0,1,0,2,0.9702492,0.35822296,0.6120262,nan,nan,-1,nan,-1,-1,79.58533408875067,12.231353792929644,314.9070056542406,66.5071250756416,0,5176.395,5166.7617,5214.789,0.0087,0.0071,0.0038,0,False,False,4.045149805081628
78,9287620,2079958966750150272,15.632,0.985,5465,0.954,G8,12.17,0.0,1,Y,Simbad,294.46588,45.74018,2079958966750150272,3.0071652,0.08418083,294.4658553656534,45.74014099098963,1.9284577780868708,0.4755507,4.0552096,-1.2429242655549344,-7.637915591571234,18.022972,229.81679,15.715974,400.2899,7997.634417337158,787.9255,1.3967036,0,2,0,0,0.9763794,0.2508974,0.725482,nan,nan,-1,nan,-1,-1,78.6671829135552,11.630719453055574,314.13084223640845,65.47366871385096,0,nan,nan,nan,nan,nan,nan,0,False,True,7.14202452808764
131,9897050,2128155161299953024,16.975,1.39,4543,0.74,K4,12.1,0.2839,6,Y,Simbad,294.34314,46.72777,2128155161299953024,0.02356794,-0.020601273,294.3431228564157,46.72773370287425,0.7115307597888095,0.047200527,15.0746355,-3.3565284529538952,-8.834031414508615,0.98612016,1331.0923,16.954348,178.72484,2617.061475694041,231.73042,1.2493359,0,4,0,2,1.3736439,0.6226578,0.7509861,nan,nan,-1,nan,-1,-1,79.52718056476138,12.154518487116153,314.9173438074821,66.41163898881373,0,4466.5596,4447.084,4487.5913,0.0871,0.0663,0.0349,0,False,False,6.2153160083150425
144,9655566,2128132282013368960,17.119,1.511,4364,0.703,K5,11.26,0.6347,6,Y,Simbad,294.40004,46.35163,2128132282013368960,0.1669605,-0.021043777,294.40002194623133,46.35158596324213,0.8125113938691605,0.05284171,15.376327,-3.41972257857885,-9.037852059862963,1.028944,1295.4203,17.098497,96.87248,2403.3484405704558,220.95995,1.2671247,0,1,0,1,1.4886703,0.6860275,0.8026428,nan,nan,-1,nan,-1,-1,79.2023056383718,11.949392466087865,314.6259157118408,66.05216192110099,0,4342.942,4318.9233,4376.0596,0.3643,0.275,0.148,0,False,False,6.647644689831223
154,9836918,2128151695265618944,17.564,1.582,4271,0.681,K5,12.04,0.3328,5,Y,Simbad,294.25923,46.66406,2128151695265618944,0.06194181,-0.022993088,294.25920899381157,46.66402482390636,0.7691659570280407,0.066366516,11.589669,-3.3433678605895927,-8.698982089810753,0.9749386,1181.749,17.541357,99.933495,1633.9106830027044,233.79916,1.265045,0,0,0,0,1.5754356,0.7489033,0.82653236,nan,nan,-1,nan,-1,-1,79.44244996240666,12.177120714527232,314.7211361449092,66.37702458401648,0,4434.02,4417.8257,4450.0464,0.3819,0.2844,0.1499,1,True,False,6.971457311879929
157,9593943,2128118327657867776,17.622,1.598,4250,0.676,K5,13.16,0.0,1,Y,Simbad,294.18092,46.24495,2128118327657867776,0.061672635,-0.023265839,294.18090415661595,46.244908079462064,0.7786616445864888,0.06802383,11.446896,-3.3049351569691288,-8.693091991940513,1.0349938,1090.4048,17.598549,54.31573,1515.3818015969143,134.15656,1.2230996,0,3,0,1,1.617876,0.81591797,0.8019581,nan,nan,-1,nan,-1,-1,79.03502593589991,12.036136794853398,314.17899816033326,66.01550790319135,0,4473.173,4457.8535,4489.136,0.5311,0.3952,0.2077,0,False,False,7.055292802613339
158,9656537,2080097195977577472,17.545,1.653,4185,0.66,K7,13.35,0.1459,3,Y,Simbad,294.76569,46.38278,2080097195977577472,0.047190562,-0.021348953,294.7656670964983,46.38274298224264,0.8179417391711845,0.0638735,12.805651,-3.459055098446149,-8.54131681286798,1.0093957,1190.0588,17.523975,116.19377,1697.7174572163428,239.31409,1.2710844,0,2,0,2,1.6431255,0.7923813,0.85074425,nan,nan,-1,nan,-1,-1,79.34800452112377,11.738926325804012,315.22405064074724,65.97790986873761,0,4321.328,4303.5723,4335.5215,0.3427,0.2524,0.1346,0,False,False,7.087587225282499
162,9717490,2080097260396182016,17.945,1.737,4090,0.637,K7,13.91,0.0926,2,Y,Simbad,294.7424,46.40373,2080097260396182016,0.06814454,-0.024036407,294.74237702676595,46.4036895985485,0.725224517835861,0.075909205,9.553842,-3.434652925741794,-8.825017801700403,0.9766307,959.92224,17.921478,73.04603,1212.8795368002563,165.35033,1.2841576,0,2,0,1,1.7225723,0.8394451,0.8831272,nan,nan,-1,nan,-1,-1,79.35953949991574,11.762785342764257,315.2091047773473,66.00359660502667,0,4200.279,4179.215,4222.6733,0.4984,0.3639,0.195,1,True,False,7.223840661321198
