Cluster,Age,Av,dr2_source_id,OName,RA_ICRS,DE_ICRS,BP-RP,__BP-RP_0,Gmag,gmag_lc,Teff,Prot,R147,Simbad,_RA_icrs,_DE_icrs,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_possible_binary,flag_pass_author_quality,flag_benchmark_period
NGC 6819,2.5,0.44,2076489767049653632,KIC 5111207   ,295.03754,40.20462499999999,0.7896,0.594104,15.1142,2.74035,6523.08,5.420000000000002,0,Simbad,295.03754,40.20462499999999,0.7896,2076489767049653632,0.04412175,-0.012462616,295.03754418627625,40.204624680891015,0.343763490170224,0.020692963,16.61258,-2.9074243900393397,-3.8296141200615565,1.006266,4167.528,15.101714,767.48566,11201.86834950526,818.5404,1.2028787,0,23,0,20,0.7778988,0.30085373,0.47704506,,,,,,,73.88803763640703,8.682470574292717,310.52592352597736,60.16990822783497,0,6432.526,6369.8276,6594.794,0.3993,0.3431,0.1855,6375.238430730325,0,False,0.012462616,False,2.783012884284723,False,False,True,True
NGC 6819,2.5,0.44,2076487185762452096,KIC 5023899   ,295.23292,40.167961111111104,0.7853,0.589804,15.0678,2.69395,6538.39,4.810000000000001,0,Simbad,295.23292,40.167961111111104,0.7853,2076487185762452096,0.031147778,-0.011645317,295.2329190361309,40.16796044271645,0.3575365346625057,0.01836094,19.47267,-2.891861725603569,-3.797911692787253,1.0023212,4271.1836,15.056135,678.2273,11617.811881848605,1223.1993,1.1965884,0,1,0,1,0.77723885,0.30618858,0.47105026,,,,,,,73.92724956191489,8.533747042085794,310.782852173637,60.08478662839673,0,6569.5576,6542.0215,6600.571,0.4879,0.4202,0.2269,6384.015868807455,0,False,0.011645317,False,2.8227373102785975,False,False,True,True
NGC 6819,2.5,0.44,2076487155709622784,KIC 5023760   ,295.20556999999997,40.15192888888888,0.806,0.610503,15.1371,2.76325,6465.01,4.780000000000001,0,Simbad,295.20556999999997,40.15192888888888,0.806,2076487155709622784,0.010483664,-0.012341499,295.2055736643288,40.15192818149631,0.3705639714479035,0.018736854,19.777279,-2.9353405642444077,-3.923586710085103,0.9417209,4271.15,15.1247425,1145.6969,11030.131977012286,972.59106,1.2004709,0,1,0,0,0.7964287,0.31312943,0.48329926,,,,,,,73.90292502399713,8.544477737029364,310.7325234121703,60.07680974705898,0,6392.514,6364.0884,6426.43,0.4222,0.3616,0.1954,6339.812056526816,0,False,0.012341499,False,2.969058468952692,False,False,True,True
NGC 6819,2.5,0.44,2076299998219211136,KIC 5024227   ,295.28952999999996,40.19487194444444,0.8119,0.616404,15.1549,2.78105,6444.25,5.060000000000001,0,Simbad,295.28952999999996,40.19487194444444,0.8119,2076299998219211136,0.026476098,-0.011693001,295.2895287950572,40.194871258460175,0.39813581171409773,0.019077428,20.86947,-2.767740570745575,-3.9102962516938176,1.0179062,3501.0647,15.143193,680.4246,10878.801457070362,718.92865,1.1995887,0,1,0,1,0.8058386,0.31908798,0.4867506,,,,,,,73.97202511323438,8.508568956390532,310.8827804832713,60.095366562711455,0,6098.2856,6051.2734,6151.1177,0.2866,0.2438,0.1317,6326.360463148982,0,False,0.011693001,False,3.1433494622984597,False,False,True,True
NGC 6819,2.5,0.44,2076299482823091200,KIC 5024122   ,295.27289999999994,40.141211944444436,0.8732,0.677703,15.7334,3.35955,6232.73,6.360000000000001,0,Simbad,295.27289999999994,40.141211944444436,0.8732,2076299482823091200,0.0412131,-0.011405945,295.27289909683344,40.14121118593871,0.4127349004269752,0.023934083,17.24465,-2.944701675738581,-3.8358653954996713,1.0155909,3051.0957,15.721986,241.3822,6825.296506400121,230.15993,1.2535528,0,32,0,31,0.8618164,0.30242252,0.5593939,,,,,,,73.91821308547158,8.494131536452231,310.8222093278052,60.04923978608219,0,5660.0063,5586.143,5713.1265,0.1272,0.1068,0.0584,6168.875243427996,1,True,0.011405945,False,3.8003417865183273,False,True,True,True
NGC 6819,2.5,0.44,2076581748067801088,KIC 5112499   ,295.30794,40.25838888888888,0.8314,0.635903,15.4612,3.08735,6376.13,4.440000000000001,0,Simbad,295.30794,40.25838888888888,0.8314,2076581748067801088,0.039908577,-0.012914658,295.30793461807144,40.258387986590115,0.3555719446061,0.021980997,16.176332,-2.8630630071823346,-4.004684045957903,0.9558922,3639.5647,15.448254,635.788,8255.592578106895,865.86066,1.1976583,0,2,0,1,0.8219423,0.32971382,0.4922285,,,,,,,74.03524630763476,8.526530503522125,310.9528079327392,60.15027546542761,0,6664.977,6631.873,6704.8794,0.6209,0.5335,0.2874,6279.51724972364,0,False,0.012914658,False,3.2028910659815857,False,False,True,True
NGC 6819,2.5,0.44,2076390226890883456,KIC 5113601   ,295.50077,40.205303055555554,0.8377,0.642204,15.634,3.26015,6354.28,7.010000000000002,0,Simbad,295.50077,40.205303055555554,0.8377,2076390226890883456,0.021184001,-0.011892319,295.5007666289185,40.20530229132354,0.34584711867836737,0.025754225,13.428753,-2.8873055279251414,-3.6644301312857657,0.9222002,3168.5554,15.622066,457.21896,7091.273709150633,547.33435,1.2010775,0,1,1,0,0.8346386,0.33365822,0.5009804,,,,,,,74.05927568179708,8.371852045034903,311.193832797206,60.05000075840564,0,6194.068,6152.0664,6246.876,0.3829,0.3254,0.1757,6263.666137161604,0,False,0.011892319,False,3.3164863533055993,False,False,True,True
NGC 6819,2.5,0.44,2076384007778360576,KIC 5026583   ,295.73019999999997,40.16330388888888,0.8665,0.671004,15.678,3.30415,6255.47,4.900000000000001,0,Simbad,295.73019999999997,40.16330388888888,0.8665,2076384007778360576,0.0725982,-0.011618614,295.7301984004276,40.16330337912863,0.3952157716922889,0.025916252,15.249727,-2.922479416268917,-3.925705540405146,1.0174594,3035.723,15.666361,552.2741,6880.894270268564,727.36676,1.2021182,0,2,0,2,0.8587885,0.34621048,0.512578,,,,,,,74.10709787129299,8.197934349212824,311.494115995425,59.9502780154331,0,6309.5137,6254.851,6351.492,0.5033,0.4277,0.231,6187.40125134682,0,False,0.011618614,False,3.6505321923507665,False,False,True,True
NGC 6819,2.5,0.44,2076373115740869248,KIC 4938993   ,295.73274,40.00549305555555,0.8516,0.656103,15.6374,3.26355,6306.38,11.870000000000003,0,Simbad,295.73274,40.00549305555555,0.8516,2076373115740869248,0.014059843,-0.011083603,295.73273450256534,40.005492480868085,0.39981886089448887,0.025396852,15.742851,-2.822452082764416,-4.076582125827021,0.9169102,3216.7393,15.626287,565.26196,7133.593007996197,699.9643,1.2033073,0,2,0,0,0.85425854,0.34259605,0.5116625,,,,,,,73.96830662894412,8.120261745341267,311.3895450355973,59.80143667454464,0,6273.7065,6201.0156,6345.6924,0.4978,0.4232,0.2286,6227.589069909957,1,True,0.011083603,False,3.635603847821848,False,True,True,True
NGC 6819,2.5,0.44,2076488701897902592,KIC 5111834   ,295.18278,40.25509194444444,0.956,0.760503,16.6762,4.30235,5959.86,13.890000000000004,0,Simbad,295.18278,40.25509194444444,0.956,2076488701897902592,0.09018788,-0.012844086,295.18277921864023,40.25509180368401,0.31136359603984076,0.045827135,6.7943063,-2.92406160878141,-3.940726188563351,1.004429,1685.3925,16.66333,191.3324,2847.621929460021,266.37097,1.20511,0,3,0,3,0.9435539,0.39191437,0.55163956,,,,,,,73.98627420995862,8.608923391203936,310.77007092746936,60.17974709238642,0,5342.556,5281.608,5514.7236,0.0651,0.0535,0.0288,5924.035062484762,0,False,0.012844086,False,4.129669250255027,False,False,True,True
NGC 6819,2.5,0.44,2076488323940764032,KIC 5111908   ,295.19960999999995,40.21475888888888,0.9759,0.780403,16.7929,4.41905,5896.6,17.410000000000004,0,Simbad,295.19960999999995,40.21475888888888,0.9759,2076488323940764032,0.041719038,-0.010433197,295.19961009986775,40.214758754008656,0.3780569237880124,0.043386366,8.713726,-2.80016093969803,-3.737592731634942,0.94480264,1899.8817,16.78248,239.67422,2630.662915924198,241.29741,1.2359796,0,48,0,46,0.95706177,0.37231445,0.5847473,,,,,,,73.95659390608641,8.578417755556373,310.7667724521431,60.137448736128604,0,5230.762,5196.628,5275.702,0.0416,0.0341,0.0185,5862.6575164174355,1,True,0.010433197,False,4.670266220876581,False,True,True,True
NGC 6819,2.5,0.44,2076298761268673152,KIC 5024856   ,295.37751999999995,40.14520611111111,1.0405,0.845004,17.0115,4.63765,5697.79,18.190000000000005,0,Simbad,295.37751999999995,40.14520611111111,1.0405,2076298761268673152,0.048247896,-0.0126571655,295.3775146584346,40.14520576941515,0.3127370534044087,0.05126603,6.1002784,-2.87640557865517,-3.880829222737468,1.0574731,1661.943,16.998854,201.3233,2158.2787474559564,230.29938,1.2122157,0,2,0,1,1.0120449,0.4258175,0.5862274,,,,,,,73.96037752533623,8.42577884234872,310.9754801638979,60.02574986820273,0,5149.401,5104.497,5193.736,0.1115,0.0906,0.0489,5662.713804716571,0,False,0.0126571655,False,4.47475038319017,False,False,True,True
NGC 6819,2.5,0.44,2076299306716879744,KIC 5024280   ,295.29846999999995,40.14276888888888,1.0239,0.828404,16.9813,4.60745,5747.91,17.360000000000003,0,Simbad,295.29846999999995,40.14276888888888,1.0239,2076299306716879744,0.023593288,-0.014879227,295.2984673783049,40.14276864409517,0.3529889349155781,0.04600687,7.6725264,-2.8635042597468545,-3.9184659523988543,1.0140529,1827.2219,16.966427,228.4027,2221.108691476476,386.43683,1.2095407,0,0,0,1,1.0148335,0.42987823,0.5849552,,,,,,,73.92902856758337,8.477698925448843,310.86008111016974,60.0440531734572,0,5180.318,5136.1934,5241.375,0.1351,0.1099,0.0593,5713.904167693338,0,False,0.014879227,False,4.705232308592958,False,False,True,True
NGC 6819,2.5,0.44,2076582057305467392,KIC 5112507   ,295.30870999999996,40.29294694444444,1.0156,0.820103,16.9505,4.57665,5773.22,18.190000000000005,0,Simbad,295.30870999999996,40.29294694444444,1.0156,2076582057305467392,0.05485739,-0.014196396,295.30870922588196,40.29294597586717,0.424311102451818,0.047430046,8.94604,-2.9586759939068976,-3.884345017105466,0.9442967,1784.8069,16.936266,166.58327,2277.734828295757,255.85509,1.2096251,0,1,0,1,1.0076542,0.42552567,0.5821285,,,,,,,74.06624091567079,8.542502227304631,310.9776685439788,60.18254996634403,0,5209.5215,5176.5684,5248.4233,0.1087,0.0885,0.0475,5739.588438033769,0,False,0.014196396,False,5.07468792338711,False,False,True,True
NGC 6819,2.5,0.44,2076487155709634688,KIC 5023796   ,295.21289999999993,40.162503888888885,1.0177,0.822203,17.0083,4.63445,5766.8,18.300000000000004,0,Simbad,295.21289999999993,40.162503888888885,1.0177,2076487155709634688,0.007128334,-0.014860153,295.2129012789357,40.162503154802046,0.3606198997545425,0.046581265,7.741737,-3.006435056092778,-3.931199139939568,0.97994584,1710.6056,16.993456,192.44379,2161.2896341443866,439.37198,1.2149729,0,0,0,0,0.996397,0.41405487,0.58234215,,,,,,,73.91502512681826,8.544593607691336,310.75028568223416,60.08485365070129,0,5163.583,5125.915,5216.1494,0.0358,0.0291,0.0156,5733.085759155791,1,True,0.014860153,False,4.778704328433484,False,True,True,True
NGC 6819,2.5,0.44,2076487258788889344,KIC 5024008   ,295.25210999999996,40.17480694444444,1.0612,0.865704,17.1412,4.76735,5636.26,18.040000000000003,0,Simbad,295.25210999999996,40.17480694444444,1.0612,2076487258788889344,0.026680332,-0.016237259,295.25211052248983,40.17480607833192,0.40981721975251967,0.052045368,7.8742304,-2.724540056418276,-4.056339560875183,1.0185941,1549.2849,17.124996,121.039856,1985.0843613417237,169.20323,1.2363472,0,40,0,43,1.0468159,0.42526817,0.6215477,,,,,,,73.94040465890313,8.524120925669955,310.8151730990541,60.0862360123796,0,5054.832,5016.696,5177.8076,0.0403,0.0325,0.0175,5599.363844696592,1,True,0.016237259,False,5.187947198751868,False,True,True,True
NGC 6819,2.5,0.44,2076485639574178560,KIC 5023724   ,295.19791999999995,40.12783111111111,1.0264,0.830903,17.1949,4.82105,5740.32,18.000000000000004,0,Simbad,295.19791999999995,40.12783111111111,1.0264,2076485639574178560,0.04120245,-0.0152339935,295.1979230749071,40.12783082872192,0.3035866098302364,0.053706642,5.652683,-2.855740150933499,-3.8966597547116537,0.99992216,1467.7365,17.179625,151.12912,1832.0945645227848,252.8177,1.2123095,0,4,0,2,1.0189514,0.42985344,0.589098,,,,,,,73.87868355937393,8.53813710560069,310.70510647780844,60.0561283066296,0,5059.2104,5043.888,5089.427,0.0157,0.0127,0.0068,5706.177855730175,0,False,0.0152339935,False,4.591037619483803,False,False,True,True
NGC 6819,2.5,0.44,2076487121349903360,KIC 5023875   ,295.22841999999997,40.15568,1.062,0.866504,17.1997,4.82585,5633.91,18.330000000000005,0,Simbad,295.22841999999997,40.15568,1.062,2076487121349903360,0.017553842,-0.016248703,295.2284175840893,40.155679886169814,0.28675047264353526,0.05258375,5.4532146,-2.732878739213873,-3.9755760146983254,0.98099875,1500.3993,17.183445,137.60027,1833.9969923660403,244.57164,1.2086085,0,1,0,2,1.0396023,0.44555664,0.59404564,,,,,,,73.91467514821458,8.53091662682705,310.76799672400284,60.074406804778235,0,5045.8604,5008.7207,5084.213,0.0616,0.0497,0.0267,5596.928917828911,0,False,0.016248703,False,4.470965688859046,False,False,True,True
NGC 6819,2.5,0.44,2076488044756008576,KIC 5112268   ,295.26769999999993,40.23976611111111,1.0713,0.875804,17.3163,4.94245,5606.63,18.700000000000003,0,Simbad,295.26769999999993,40.23976611111111,1.0713,2076488044756008576,0.04127817,-0.017307281,295.26769739108306,40.23976582762186,0.2628978663811645,0.057293564,4.5886106,-2.7947586153930857,-3.8396572199307073,1.0044351,1381.5383,17.299007,169.66066,1648.1845679546818,233.32803,1.2018113,0,0,0,0,1.0539894,0.4603634,0.593626,,,,,,,74.00388139202113,8.544637143931203,310.8820480771727,60.14325491250127,0,4965.8643,4946.2695,5006.876,0.0212,0.017,0.0091,5568.706561220815,0,False,0.017307281,False,4.39794272320237,False,False,True,True
