EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,M_G
211054634,54.9499,23.84916,17.23,11.83,5.29,0.3847,0.447,0.0,0.0,0.029,1,best,0.0,0,40.0,1,1,Fig,33,2878.311406401088,68147391388599808,211054634,2MASS J03394797+2350570,0.2627025112626247,68147391388599808,0.16848694,-0.030887604,54.95000439198446,23.848945081679698,7.735459904904693,0.051293038,150.80916,21.781214122121135,-47.44800048113087,1.0551088,876.08875,15.734668,60.017246,12765.701244379328,380.39078,1.4819982,0,3,0,0,2.9731255,1.721242,1.2518835,152.89989,8.210202,2,2.9973462,nan,nan,165.41978245579438,-24.81496983110997,58.21961535607251,4.193602913338085,0,3288.045,3285.0732,3290.6633,1.1617,0.7279,0.488,False,10.177098474995354
211029757,55.16436,23.44309,0.0,14.04,6.49,0.3274,0.0,0.0,0.0,0.045,1,best,0.0,0,0.0,1,1,Fig,47,-9570.096490280393,65119469509073152,211029757,2MASS J03403944+2326351,0.15888896680333794,65119469509073152,0.21305196,-0.011003494,55.16450502269008,23.442866615958764,7.561025966869867,0.22838198,33.10693,21.117881060970202,-44.361757421866216,1.0336248,487.07123,18.559662,4.5744567,1043.247359684209,88.28494,1.5947026,0,1,0,0,3.2688656,1.9111309,1.3577347,nan,nan,-1,nan,nan,nan,165.87777998095527,-24.99086722713045,58.31841146256819,3.75338180856699,0,2895.4412,2887.6392,2904.7517,0.1606,0.0921,0.0732,False,12.952565513057
211065494,55.36201,24.01736,17.01,11.47,5.43,0.3591,0.3709,0.0,0.0,0.025,1,best,0.0,0,0.0,1,1,Fig,63,2561.644731794221,68167835432980480,211065494,2MASS J03412688+2401025,0.022799592905104943,68167835432980480,0.16472082,-0.034959793,55.36208894086606,24.0171827154947,7.331133587575553,0.046636347,157.19786,20.348207602315583,-45.023526762777635,1.1819943,1229.8726,15.505199,149.65436,15839.440438140005,512.41833,1.4848537,0,0,0,0,3.0001554,1.7435017,1.2566538,nan,nan,-1,nan,nan,nan,165.6095394815717,-24.440247438644082,58.625805027758716,4.271578782084062,0,3575.9424,3558.267,3581.5396,1.6187,1.0275,0.6798,False,9.831055098733328
211005163,55.45397,23.05651,19.37,13.15,6.11,0.2391,0.553,0.0,0.0,0.016,1,best,0.0,0,0.0,1,1,Fig,70,-2176.5958598920715,65042645428743680,211005163,2MASS J03414895+2303235,0.24476519782434963,65042645428743680,0.563016,0.0009860992,55.454107821741665,23.056386025893755,7.549815546589053,0.18030253,41.87304,20.471968097350988,-45.69571439724876,1.2290251,514.79785,17.786415,14.137124,2682.085444677661,126.19825,1.9816064,0,24,0,24,3.4955597,1.8858585,1.6097012,nan,nan,-1,nan,nan,nan,166.380496610629,-25.103750102653418,58.490224627075,3.3166201180882076,0,nan,nan,nan,nan,nan,nan,False,12.176096806536906
211030680,55.47359,23.45797,14.0,10.25,3.64,7.1503,0.0,0.0,0.0,0.05,3,ok,7.23,1,0.0,1,1,Fig,73,3879.419683527599,65131121756446592,211030680,2MASS J03415366+2327288,0.01378882565819416,65131121756446592,1.1840874,0.03654957,55.47365462561668,23.457797252389764,7.48613184109967,0.029138157,256.9185,21.753054575387118,-45.20610303839722,1.8494896,462.88245,13.487999,163.57394,84774.91760127692,132.74927,1.4685051,0,0,1,0,1.8508358,0.79006386,1.060772,nan,nan,-1,nan,nan,nan,166.10112671791433,-24.791834150496562,58.59861476177445,3.7035944579354836,0,4694.722,4663.8345,4717.6074,1.6681,1.2365,0.6606,False,7.859286319253133
211059979,55.51219,23.93164,16.32,11.13,5.08,0.8889,1.0991,0.0,0.0,0.028,1,best,0.0,0,0.0,1,1,Fig,79,3165.083395942679,65161250950264192,211059979,2MASS J03420291+2355538,0.35294291184081494,65161250950264192,1.3467678,0.05543232,55.51227170472401,23.9315503764995,7.128559860596797,0.070635475,100.920395,21.649997198461733,-44.00589987129682,0.9305524,1037.0011,15.541395,172.16618,26046.705742201073,570.70026,2.600617,0,25,0,24,2.7090015,0.8761196,1.8328819,nan,nan,-1,nan,nan,nan,165.78478921448843,-24.41372273822474,58.740405437853966,4.157116701043574,0,nan,nan,nan,nan,nan,nan,False,9.806404191637887
211069615,55.54549,24.08572,15.95,11.15,4.69,0.4774,0.0,0.0,0.0,0.03,1,best,0.48,1,40.0,1,1,Fig,82,3394.5403209003243,68259438496008832,211069615,2MASS J03421090+2405086,0.06255383468578639,68259438496008832,0.155302,-0.025996208,55.545600126360874,24.085530949016196,7.476423218470284,0.041031223,182.21303,21.50490821006327,-44.48195446349564,1.5789093,1495.473,14.768776,297.86575,28237.17597981543,803.8968,1.4190755,0,0,0,0,2.507063,1.359129,1.147934,7.397116,7.0458627,2,6.9928193,nan,nan,165.6979340050057,-24.27816782276,58.80500182818709,4.30024919439807,0,3501.955,3493.8496,3515.0254,0.8211,0.5423,0.3354,False,9.137245327662079
210974364,55.61376,22.57357,0.0,11.86,5.19,1.9793,1.5247,0.0,0.0,0.022,1,best,0.0,0,0.0,1,1,Fig,92,3037.4907652951906,64456262134709376,210974364,2MASS J03422730+2234248,0.02506352486845552,64456262134709376,0.18857165,-0.02882576,55.61385651221187,22.573392259376448,7.177752139311311,0.042132903,170.35977,19.000000967207146,-43.149520528650314,1.0479097,1058.5602,15.731763,130.27083,12721.51506144464,374.81244,1.4806291,0,1,0,2,2.9178953,1.6726809,1.2452145,nan,nan,-1,nan,nan,nan,166.85788973630892,-25.36544528617617,58.524851543205656,2.8128643697041142,0,3471.2935,3468.4495,3474.449,1.282,0.8143,0.5387,False,10.01170517248099
211076650,55.67456,24.19953,14.5,10.53,3.86,4.8225,0.0,0.0,0.0,0.061,3,best,4.78,1,0.0,1,1,Fig,100,3740.4256561307384,68267680536205440,211076650,2MASS J03424189+2411583,0.03190133463283851,68267680536205440,0.0501012,-0.034215927,55.674687877103224,24.199276473366776,6.8213044818894275,0.020507503,332.62482,20.123377100985664,-41.14435023565595,1.0886706,459.54767,13.848956,94.933365,58671.45180989531,145.23302,1.4008712,6,18,4,18,1.9044437,0.88231564,1.0221281,-2.557564,7.001981,2,7.5544224,nan,nan,165.71209813366966,-24.114928208469443,58.94580259681787,4.384527861977525,0,4276.3896,4269.7534,4282.6626,0.924,0.6709,0.3583,False,8.018293285710225
211074858,55.70457,24.17101,16.95,11.74,5.1,1.4585,0.0,0.0,0.0,0.031,1,ok,0.0,0,0.0,1,1,Fig,106,3144.9643107940146,68266787183070976,211074858,2MASS J03424910+2410156,0.05009033826371148,68266787183070976,0.50127804,-0.019379616,55.704707982598336,24.170868145420158,6.9290099064123885,0.10691896,64.80618,20.258479277082422,-43.75877144636193,3.040918,708.84216,15.7546625,94.646,13374.991528092289,86.09652,1.6093878,0,28,0,29,2.797762,1.4752607,1.3225012,nan,nan,-1,nan,nan,nan,165.75519513864032,-24.118044185378583,58.96615731675995,4.350689014091356,0,3565.631,3558.7554,3573.5796,1.277,0.826,0.5277,False,9.95801842495845
