EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,M_G
210991540,52.95768,22.84023,0.0,12.75,5.1,0.5749,0.0,0.0,0.0,0.059,2,best,0.57,0,0.0,1,1,Fig,1,3144.9643107940146,67656665605333888,210991540,2MASS J03314984+2250248,0.07610776408800256,67656665605333888,0.35369405,-0.026727676,52.95779386064385,22.839990849153867,8.083688638029253,0.0893519,90.47025,23.577732622963737,-49.76467708983897,1.1157457,705.5266,16.639168,32.745346,5611.29732348062,254.772,1.5083712,0,15,0,15,2.9042673,1.640337,1.2639303,,,,,,,164.60340186757105,-26.77029565476868,56.20014968586648,3.641937364525717,0,3265.089,3260.7756,3269.8174,0.9096,0.566,0.3846,False,11.177215672187716
211016313,53.03274,23.23265,0.0,12.25,5.05,0.3193,0.0,0.0,0.0,0.056,1,best,0.0,0,0.0,1,1,Fig,2,3193.038079973976,67878663874731136,211016313,2MASS J03320786+2313575,0.15174259836927786,67878663874731136,0.121578924,-0.02549553,53.03286449262046,23.232426220974702,7.168445713233685,0.05081612,141.06638,19.906129194404684,-42.53063851459348,1.0598495,584.7025,16.109005,52.009987,8886.431739097983,201.88951,1.4738487,0,4,0,4,2.8502302,1.617302,1.2329283,,,,,,,164.38108381502744,-26.424954385460495,56.36173999507211,4.00633130570284,0,3357.334,3353.843,3361.168,1.0242,0.6504,0.4266,False,10.38612997771087
211029135,53.15753,23.43315,0.0,13.06,5.76,0.286,0.0,0.0,0.0,0.032,4,best,0.0,0,0.0,1,1,Fig,3,1136.7739711182485,67899520235887616,211029135,2MASS J03323780+2325593,0.12787735378654702,67899520235887616,0.07591502,-0.030889511,53.15763413329577,23.432917294381728,7.2748694971298065,0.09032407,80.54187,21.09767049728122,-44.375770540667794,1.0421113,687.78827,17.188633,31.51814,3497.4005593491793,265.25964,1.5152929,0,0,0,0,3.2413683,1.941267,1.3001013,,,,,,,164.33570897618512,-26.197649161993954,56.5213907001689,4.173553788587942,0,3216.6292,3212.2773,3221.206,1.2309,0.7518,0.5206,False,11.497758999986033
211037397,53.17625,23.56679,0.0,12.54,5.58,0.499,0.3167,0.0,0.0,0.023,1,best,0.0,0,0.0,1,1,Fig,4,2057.1634554269995,67998201404864896,211037397,2MASS J03324230+2334004,0.13879478248374713,67998201404864896,0.1804887,-0.029708862,53.17636721373867,23.56656052165308,7.255933297286534,0.07610268,95.34399,20.55044920727818,-44.62603258252215,1.0198,1057.889,16.64228,56.05069,5773.411957283021,482.36154,1.5227023,0,1,0,1,3.1520405,1.8540745,1.297966,,,,,,,164.2549178758283,-26.084091059297428,56.57016103310182,4.29921236916306,0,3289.8975,3283.975,3314.028,1.1976,0.7397,0.5094,False,10.945746986942979
210946764,53.27427,22.13423,11.36,9.43,1.82,5.766,0.0,0.0,0.0,0.011,4,best,0.0,0,0.0,1,1,Fig,5,5425.028361026212,61554650949438208,210946764,2MASS J03330582+2208032,0.057778590560538946,61554650949438208,0.029433746,0.0069408417,53.2743726860314,22.13404726062533,7.557450189996425,0.018598074,406.3566,22.18273866580518,-45.97537760237573,1.04441,1075.4678,11.206782,312.27896,447774.1481137604,415.5286,1.2182046,0,16,0,16,0.9996071,0.4130726,0.5865345,5.7336173,0.51829726,1,48.079124,8.020803,3.364107,165.3650288103515,-27.120947631025793,56.31554252657458,2.886527840730936,0,5349.1216,5338.8154,5359.512,0.1678,0.1367,0.0725,False,5.598658808455811
211002011,53.30793,23.00647,11.98,9.67,2.2,7.6495,6.9112,0.0,0.0,0.028,3,best,7.07,1,0.0,1,1,Fig,6,5025.00176215421,67680854859714816,211002011,2MASS J03331390+2300233,0.25487742768409805,67680850564641792,0.04664055,-0.0011301041,53.30800661762213,23.006232598562264,7.941030580559142,0.01414083,561.5675,22.729875597843886,-48.59663074896117,0.8459248,980.02185,11.690367,297.25037,305760.8253706612,340.37888,1.2297058,0,32,0,32,1.1512814,0.4953556,0.65592575,,,,,,,164.75992184280852,-26.435493167706724,56.553832776985054,3.726217956804683,0,4968.5366,4936.4844,4977.1006,0.1918,0.1521,0.0802,False,6.189751087360918
210997742,53.45748,22.93891,0.0,13.29,5.21,0.3744,0.0,0.0,0.0,0.037,2,ok  ,0.0,0,0.0,1,1,Fig,7,3009.3422589044276,67667935599570432,210997742,2MASS J03334979+2256201,0.20631146685939913,67667935599570432,0.042989004,-0.036693573,53.45758590718418,22.938664370319767,7.228278661249061,0.08161502,88.56554,20.599604432459408,-44.495426010874446,0.96708107,940.7177,17.20123,48.92742,3342.59519505609,247.24983,1.4894683,0,0,0,0,3.0366163,1.7730732,1.2635431,,,,,,,164.92605750459288,-26.398164154768676,56.671778981224534,3.6278450869062846,0,3233.6704,3228.6382,3239.2532,0.965,0.5976,0.4052,False,11.49640353011512
210989751,53.58063,22.8118,0.0,13.93,6.39,0.713,0.0,0.0,0.0,0.033,1,best,0.0,0,0.0,1,1,Fig,8,-7107.87724341902,67662330666441088,210989751,2MASS J03341935+2248424,0.09973971607611382,67662330666441088,0.43389368,-0.036720276,53.58075523166277,22.811599643349542,7.2252593550689355,0.18083002,39.956085,20.54961580718694,-44.178935353406025,0.9782551,540.984,18.379122,8.21521,1254.1295796823028,102.500595,1.597235,0,6,0,3,3.5191135,2.1420307,1.3770828,,,,,,,165.11447595996057,-26.421525382458896,56.752075307056636,3.4775088241098655,0,3001.4702,3000.4685,3003.4941,2.0033,1.1837,0.8053,False,12.673388985257251
210943453,53.7289,22.07963,16.17,11.57,4.49,0.8275,0.0,0.0,0.0,0.021,2,best,0.83,1,0.0,1,1,Fig,9,3461.743872976778,64555694921236352,210943453,2MASS J03345493+2204466,0.1830353407790602,64555694921236352,0.16729002,-0.02279663,53.7290192463056,22.07944691146216,7.139342266293386,0.03577922,199.5388,19.489448525166097,-43.010217187360155,1.1119909,1149.4946,15.064295,159.47198,21276.63677745478,532.8149,1.4158628,0,1,0,2,2.444869,1.308712,1.136157,,,,,,,165.76392457231574,-26.888357471747764,56.712320072128925,2.7337016050700718,0,3514.1072,3497.947,3521.1711,0.6936,0.4605,0.2831,False,9.33258582963263
211051561,53.81775,23.7995,0.0,13.19,5.81,0.4725,0.0,0.0,0.0,0.038,1,best,0.0,0,0.0,1,1,Fig,10,803.3086944101478,68014964661425280,211051561,2MASS J03351626+2347582,0.1965961242431833,68014964661425280,0.0481017,-0.033283234,53.81787672859215,23.79924439729251,7.41927553409548,0.09845349,75.35818,21.212686658137393,-46.594055883247364,1.0343736,686.04785,17.378237,25.634415,2957.9874808632094,190.63657,1.5119926,0,1,0,2,3.374771,2.0669384,1.3078327,,,,,,,164.58783583482307,-25.5278107560504,57.197880836768064,4.385838093478591,0,3179.8147,3174.9832,3184.6277,1.2626,0.7639,0.5365,False,11.730044270808381
