EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff_Mamajek,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_rv_outlier,flag_fdwarf_outlier,flag_possible_binary,flag_benchmark_period
210946764,53.27427,22.13423,11.36,9.43,1.82,5.766,nan,0.0,0.0,0.011,4,best,0.0,0,0.0,1,1,Fig,5,5425.028361026212,61554650949438208,210946764,2MASS J03330582+2208032,0.057778590560538946,1.0155878,61554650949438208,0.029433746,0.0069408417,53.2743726860314,22.13404726062533,7.557450189996425,0.018598074,406.3566,22.18273866580518,-45.97537760237573,1.04441,1075.4678,11.206782,312.27896,447774.1481137604,415.5286,1.2182046,0,16,0,16,0.9996071,0.4130726,0.5865345,5.7336173,0.51829726,1,48.079124,8.020803,3.364107,165.3650288103515,-27.120947631025793,56.31554252657458,2.886527840730936,0,5349.1216,5338.8154,5359.512,0.1678,0.1367,0.0725,5342.4575,0,False,0.0069408417,False,5.598658808455811,False,False,False,False,False,False,True
210989751,53.58063,22.8118,0.0,13.93,6.39,0.713,nan,0.0,0.0,0.033,1,best,0.0,0,0.0,1,1,Fig,8,-7107.87724341902,67662330666441088,210989751,2MASS J03341935+2248424,0.09973971607611382,3.4226475,67662330666441088,0.43389368,-0.036720276,53.58075523166277,22.811599643349542,7.2252593550689355,0.18083002,39.956085,20.54961580718694,-44.178935353406025,0.9782551,540.984,18.379122,8.21521,1254.1295796823028,102.500595,1.597235,0,6,0,3,3.5191135,2.1420307,1.3770828,nan,nan,-1,nan,nan,nan,165.11447595996057,-26.421525382458896,56.752075307056636,3.4775088241098655,0,3001.4702,3000.4685,3003.4941,2.0033,1.1837,0.8053,nan,0,False,0.036720276,False,12.673388985257251,False,False,False,False,False,False,True
211065162,54.12626,24.01222,12.26,9.9,2.25,7.551,nan,0.0,0.0,0.035,3,best,7.41,1,0.0,1,1,Fig,17,4978.183621798722,68398732874994944,211065162,2MASS J03363030+2400440,0.01978958131221765,1.214345,68398732874994944,0.17788716,-0.010223389,54.12635880697465,24.011984796048488,7.033976866053791,0.0136597175,514.94305,19.756069206650054,-43.167536910950076,1.1092664,1228.1395,11.978131,376.3638,238692.0744323263,512.3977,1.2317127,0,0,0,0,1.1977539,0.52292347,0.67483044,5.3603106,0.8152642,1,30.350512,5.429602,5.037182,164.67318615666468,-25.18307303892972,57.522930868317495,4.52645532887656,0,4980.345,4972.357,4989.332,0.3088,0.2444,0.1293,4848.229,0,False,0.010223389,False,6.214135972442209,False,False,False,False,False,False,True
211049486,54.96112,23.76463,0.0,13.5,5.97,0.5572,nan,0.0,0.0,0.035,3,best,0.0,0,0.0,1,1,Fig,34,-551.4677943886636,68145707761492608,211049486,2MASS J03395067+2345526,0.13454333873700214,3.3077316,68145707761492608,0.06556571,-0.037733078,54.96121741847009,23.76440270472398,7.109772113525601,0.15251774,46.61603,20.354035697092193,-43.554027997180306,1.0817424,788.2366,17.778164,18.23279,2080.584879851245,114.43298,1.5440844,0,2,0,2,3.3081036,1.9823723,1.3257313,nan,nan,-1,nan,nan,nan,165.48955308580906,-24.87192593560378,58.210216061348035,4.108957916091114,0,3134.8433,3129.839,3148.9644,1.1591,0.6958,0.4954,nan,0,False,0.037733078,False,12.037442313403112,False,False,False,False,False,False,True
211088075,55.06632,24.37546,0.0,13.81,6.24,1.2224,nan,0.0,0.0,0.052,1,best,0.0,0,0.0,1,1,Fig,38,-4148.197362619785,68238543478364032,211088075,2MASS J03401591+2422316,0.07956371562268595,3.445406,68238543478364032,0.15261117,-0.013360977,55.066429602579376,24.375236744291815,6.77443576319599,0.20137885,33.640255,19.70564894856892,-45.36074149903795,0.9887101,427.17303,18.184603,7.537954,1457.6668735192127,86.39469,1.5466276,0,0,0,2,3.579712,2.233858,1.3458538,nan,nan,-1,nan,nan,nan,165.12780952382371,-24.348300935151574,58.44414984993141,4.6816211787960516,0,3022.4397,2993.062,3056.8748,1.0628,0.6195,0.468,nan,0,False,0.013360977,False,12.33896838266084,False,False,False,False,False,False,True
211028209,55.21012,23.41846,10.8,9.12,1.57,4.395,nan,0.0,0.0,0.039,3,best,4.34,1,0.0,1,1,Fig,49,5744.605116009077,65119164567417856,211028209,2MASS J03405042+2325064,0.10714859834431587,0.90125275,65119164567417856,0.084842525,-0.00077819824,55.21027734303729,23.418239557613678,7.563300505452855,0.017408878,434.45078,21.697122292421838,-45.497866176963164,1.0724381,1474.2096,10.658403,457.8367,703926.4995021527,554.892,1.204096,0,0,0,0,0.8932123,0.36388588,0.52932644,5.858396,0.4966556,1,52.709145,10.962899,3.5884752,165.93050570477666,-24.981575266339526,58.353778290075645,3.7198433408151352,0,5725.8022,5710.446,5738.172,0.1982,0.1653,0.0885,5682.558,0,False,0.00077819824,False,5.051960177356818,False,False,False,False,False,False,True
210854098,55.21276,20.68823,0.0,13.71,6.08,0.3451,nan,0.0,0.0,0.045,1,best,0.0,0,0.0,1,1,Fig,50,-1788.4594106448185,63410622280810368,210854098,2MASS J03405106+2041176,0.14972407418125747,3.3092136,63410622280810368,0.54700834,-0.04519081,55.212854271741854,20.687988090540305,7.484052999092938,0.16025919,46.69968,19.555896903791403,-45.21385900388517,1.0394826,424.44733,18.076988,15.281361,1622.1020576760156,103.97992,1.5641134,0,1,0,1,3.5184326,2.1641445,1.3542881,nan,nan,-1,nan,nan,nan,167.95924176393575,-27.013807211706062,57.73528214663127,1.0604307119695864,0,3092.8328,3054.2966,3098.5464,1.4398,0.8512,0.6145,nan,0,False,0.04519081,False,12.447672491914906,False,False,False,False,False,False,True
211039307,55.21359,23.59843,12.79,10.08,2.6,8.3247,nan,0.0,0.0,0.085,3,best,8.14,1,0.0,1,1,Fig,51,4674.065331367705,65125864716379264,211039307,2MASS J03405126+2335543,0.04507299306865452,1.3769703,65125864716379264,0.08935713,-0.005010605,55.21373303656764,23.59821916838355,7.522153825366353,0.017643074,426.35165,21.13498186162849,-45.75717959178242,1.1481409,833.7786,12.452076,241.87599,165034.15078583488,325.99457,1.2499839,0,0,0,0,1.3631744,0.61505985,0.7481146,4.40422,0.63143545,1,28.834753,nan,nan,165.80193658016472,-24.8444408188875,58.39789789160392,3.894384871709865,0,4578.545,4561.3647,4590.135,0.24,0.1838,0.0966,4544.4106,0,False,0.005010605,False,6.833787009975202,False,False,False,False,False,False,True
211053922,55.27173,23.83759,0.0,13.76,5.91,0.3446,nan,0.0,0.0,0.036,1,best,0.0,0,0.0,1,1,Fig,54,12.54746963933394,68156290560900480,211053922,2MASS J03410521+2350153,0.1916025882582407,3.339405,68156290560900480,0.27190956,-0.042352676,55.27187406487266,23.83735301337884,7.602452973629081,0.20951864,36.285328,21.337675933042124,-45.28576383275218,1.036338,547.1401,17.983885,16.078646,1748.260276694376,77.16958,1.5493863,0,1,0,2,3.4947357,2.1522312,1.3425045,nan,nan,-1,nan,nan,nan,165.67202153250682,-24.62974110802199,58.5043562712356,4.115157066085413,0,3093.1606,3091.5496,3095.68,1.1858,0.7041,0.5082,nan,0,False,0.042352676,False,12.388653523481848,False,False,False,False,False,False,True
211089510,55.34347,24.39775,0.0,13.35,5.88,0.3226,nan,0.0,0.0,0.026,1,best,0.0,0,0.0,1,1,Fig,58,268.36390991210465,68283421593270400,211089510,2MASS J03412243+2423519,0.06643385537357105,3.3571548,68283421593270400,0.16240075,0.0015068054,55.3435988820874,24.397548525073397,7.416619725713781,0.12550455,59.09443,20.12459547363482,-45.74648397558014,0.92650163,625.59186,17.57024,18.867603,2517.4038716471896,156.55637,1.5317352,0,0,0,0,3.4147701,2.090044,1.3247261,nan,nan,-1,nan,nan,nan,165.32032723903012,-24.165498861442178,58.695871542221376,4.645855309923189,0,3164.6672,3162.4219,3168.0083,1.3356,0.8044,0.5668,nan,0,False,0.0015068054,False,11.92127008019143,False,False,False,False,False,False,True
