EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,M_G
211093040,55.86237,24.45272,0.0,11.42,5.01,2.1623,0.4041,0.0,0.0,0.044,1,best,0.0,0,0.0,1,1,Fig,131,3226.537092832643,68297921402929792,211093040,2MASS J03432696+2427098,0.06568321871724475,68297921403225984,5.2614813,0.174016,55.862444674942175,24.45257885141954,8.186511781004615,0.35595277,22.99887,21.041824571381415,-49.689680167106786,3.2360976,421.1939,15.506282,149.0736,19356.607243614348,583.54346,1.8623507,0,1,0,0,2.7507992,1.2753401,1.4754591,27.76316,16.579134,2,4.1567593,nan,nan,165.66843710320634,-23.811875378064386,59.170066710521795,4.592966247382087,0,nan,nan,nan,nan,nan,nan,True,10.071776308433265
211056297,56.13325,23.87521,14.44,10.45,3.88,17.2827,7.7381,0.0,0.0,0.011,4,best,0.94,1,0.0,1,1,Fig,195,3728.7793559767815,65241313435901568,211056297,2MASS J03443198+2352309,0.6248609645964135,65241313435901568,0.08005207,-0.010765076,56.1334290890114,23.874849276465046,7.367449998542193,0.039420117,186.89569,19.57888027760635,-45.42340532837509,1.1024199,991.7952,14.320809,24.367743,57708.48904737454,38.959854,2.0152054,4,22,2,24,2.1890354,0.71302223,1.4760132,15.866132,14.526879,2,4.772243,nan,nan,166.29117851093545,-24.078284535826857,59.28251685900301,3.9746425566674723,0,4974.17,4957.649,4992.1157,2.7413,2.0202,1.1123,False,8.657395349615529
211121734,56.33691,24.92207,9.0,7.84,1.05,7.0681,0.0,0.0,0.0,0.002,3,best,0.0,0,80.0,1,1,Fig,237,6589.159142287774,69819404977607168,211121734,2MASS J03452085+2455194,0.025214251042115197,69819404977607168,0.12748419,0.0076141357,56.33701983849263,24.921874441485695,7.31021390474316,0.03550833,205.8732,20.356301638083206,-44.16034359248281,2.073626,3883.7263,8.900821,2732.131,3126529.188748127,2911.3777,1.1899511,0,0,0,0,0.6205778,0.22999668,0.39058113,10.631913,12.048621,1,113.51032,nan,nan,165.67947902669383,-23.17464148886341,59.696750607372906,4.954484933287592,0,6572.9844,6566.417,6579.1436,0.1348,0.1178,0.0636,False,3.220471157460345
211033155,56.66767,23.49778,12.18,9.32,2.24,0.5243,0.0,0.0,0.0,0.073,1,best,0.52,1,50.0,1,1,Fig,331,4987.461824019443,64980278208557696,211033155,2MASS J03464024+2329520,0.04267842182196877,64980278208557696,0.0844971,-0.0063028336,56.667776381106805,23.49753520641864,7.361204841283511,0.0162757,452.28192,16.022889853821308,-46.94145136941275,1.227622,494.57245,11.961676,134.69003,268008.7643187178,177.13133,1.2706808,0,0,0,0,1.419446,0.635293,0.784153,-1.4153668,6.987978,1,38.444603,88.30803,27.096745,166.96572524277926,-24.029376219243975,59.67740337274911,3.498680950331438,0,5633.938,5617.119,5672.346,1.385,1.1031,0.5991,False,6.296420159288315
211005924,56.70325,23.06875,16.04,11.42,4.51,0.2845,0.0,0.0,0.0,0.049,1,best,0.28,1,0.0,1,1,Fig,338,3455.1739151772354,64905618794174720,211005924,2MASS J03464878+2304074,0.17579212662164984,64905618794174720,0.11723884,-0.021508217,56.703355129215566,23.06855140288392,7.2387256119114145,0.042743936,169.35094,20.84081773712675,-45.29591983791391,1.2245486,784.63684,15.04029,149.81984,22018.62471095331,231.31174,1.4266105,0,0,0,0,2.477891,1.3285208,1.1493702,23.848179,17.224146,2,6.1777744,nan,nan,167.30980036122475,-24.323595619446632,59.615314667907704,3.072942954885672,0,3490.9756,3480.3784,3512.9478,0.7398,0.4897,0.3017,False,9.33860045262756
211015877,56.7806,23.22633,13.52,10.4,3.01,0.3889,0.0,0.0,0.0,0.12,1,best,0.39,1,85.0,1,1,Fig,368,4345.966113257664,64959662365552384,211015877,2MASS J03470734+2313349,0.03339969268701757,64959662365552384,0.06707357,-0.010632515,56.78069149429426,23.226156744121546,7.309612988988913,0.015793763,462.81647,19.295192861656584,-45.43850995081102,1.0686795,428.78845,13.143335,111.367805,95984.03363110774,168.30507,1.2865261,0,0,0,0,1.596879,0.7459421,0.8509369,-21.744072,13.518519,1,19.723259,nan,nan,167.2502824825011,-24.159428190102012,59.71929624445989,3.211205276203473,0,4374.448,4135.9907,4624.645,0.5444,0.4043,0.2151,False,7.4628072605782485
211083317,56.91822,24.30193,13.97,10.34,3.52,0.3067,0.0,0.0,0.0,0.049,1,best,0.31,1,105.0,1,1,Fig,419,3962.3040787863047,66730120901930240,211083317,2MASS J03474037+2418071,0.007629387375943965,66730120901930240,0.1087191,-0.013086319,56.91832612972476,24.3017365454314,7.389580808289402,0.029747551,248.40971,19.474561447511093,-47.06906627807897,1.7493252,922.9969,13.26761,224.3229,88808.52514870775,382.92627,1.2992648,0,0,0,0,1.7036057,0.81275463,0.890851,-4.709481,12.609408,1,19.762949,nan,nan,166.5585507517427,-23.280969741638373,60.07744853952517,4.2334622776785995,0,4900.6235,4891.8823,4908.324,1.5672,1.1891,0.6443,False,7.610708609735122
211104722,57.29885,24.6366,10.44,8.95,1.38,4.2628,0.0,0.0,0.0,0.018,3,best,4.67,1,10.3,1,1,Fig,520,6024.3033472959405,66771146429454592,211104722,2MASS J03491172+2438117,0.055772005113491674,66771146429454592,0.112795666,0.0018138885,57.29898892437124,24.636381429891678,7.122279602702367,0.028204342,252.52422,20.68263911903849,-44.73938013188233,1.4188898,2500.5498,10.304679,1186.2399,939020.3986675992,1205.018,1.2013636,0,0,0,0,0.8060932,0.31762218,0.48847103,-0.8148704,4.039652,1,73.32113,nan,nan,166.59098515781923,-22.800199853788516,60.48938229158296,4.485100474572892,2,5802.4233,5791.19,5810.1055,0.0973,0.082,0.0443,False,4.567774011816105
211020101,57.41415,23.29012,11.1,9.29,1.7,5.0132,0.0,0.0,0.0,0.04,3,best,5.03,1,8.8,1,1,Fig,549,5571.938076332181,64928605459180416,211020101,2MASS J03493939+2317244,0.10967719487436767,64928605459180416,0.102669016,0.0085430145,57.41426344137853,23.28990844525079,7.1996289578195904,0.031669732,227.33469,18.62159053782709,-44.54526737973093,1.9603938,1207.3562,10.937686,334.69547,559512.0712579335,499.8182,1.2141895,0,1,0,0,0.94241905,0.38310528,0.5593138,14.593108,4.7528152,1,59.413414,12.078091,6.2359715,167.670257890266,-23.71722102122247,60.302280996930854,3.1474776942132134,0,5614.6465,5607.0874,5619.9443,0.2447,0.2028,0.1089,False,5.224236541895435
211064196,57.55108,23.99589,15.49,10.85,4.53,1.8401,0.0,0.0,0.0,0.022,1,best,0.0,0,11.0,1,1,Fig,571,3448.627828390575,66511382510098560,211064196,2MASS J03501225+2359453,0.736435733937284,66511382510098560,29.055592,0.20225811,57.551108892945464,23.995691455115423,nan,nan,nan,nan,nan,nan,891.85876,14.779146,221.92503,39665.84812591149,436.54233,2.0305977,0,45,0,47,2.4424543,0.9151621,1.5272923,-13.234917,18.808996,2,3.5019455,nan,nan,167.246268733849,-23.115165578266414,60.57643033611666,3.810021243286406,0,nan,nan,nan,nan,nan,nan,True,nan
211149600,57.64882,25.42651,12.1,9.58,2.41,0.3144,0.0,0.0,0.0,0.115,1,best,0.31,1,0.0,1,1,Fig,584,4834.79962408071,66957994687842176,211149600,2MASS J03503571+2525354,0.027747874481211174,66957994687842176,0.18329991,-0.003317833,57.64893550920422,25.4263087706472,7.2922429808358755,0.024515567,297.45355,18.294899007126467,-44.33948783446367,1.3848734,624.2767,11.730169,180.34094,304487.91420267074,234.24908,1.2450558,0,0,0,0,1.2106409,0.5194416,0.6911993,7.3792014,6.5996675,1,50.412193,nan,nan,166.2660197081905,-22.003796366776506,60.97033557053128,5.18855812104039,0,5389.883,5370.5483,5453.664,0.7414,0.5952,0.3195,False,6.044474951828089
210964780,58.47009,22.41857,12.15,9.41,2.63,6.3353,0.0,0.0,0.0,0.029,4,best,0.0,0,0.0,1,1,Fig,659,4649.367175760907,63876402894075904,210964780,2MASS J03535282+2225068,0.02453770113895461,63876402894075904,0.049047742,-0.00023174286,58.470183837285894,22.41833148614529,7.449216493422733,0.016391812,454.4474,19.46628363123858,-45.26295888165422,1.1952622,1186.9788,11.673621,343.42596,331050.75685293425,495.86176,1.2504236,0,0,0,0,1.2946749,0.5692129,0.72546196,-7.464788,7.6798844,1,54.544273,nan,nan,169.09626943871848,-23.679798136896594,61.069920523452,2.0899462715684565,0,4827.3433,4810.904,4857.2705,0.457,0.3581,0.1924,False,6.034174158544131
211053776,58.61649,23.83542,13.07,9.66,3.3,3.0576,0.0,0.0,0.0,0.052,2,best,0.0,0,0.0,1,1,Fig,673,4123.232523823702,65800930496992512,211053776,2MASS J03542795+2350075,0.04196996423051661,65800930496992512,0.12593924,-0.0076065063,58.61658885428691,23.835174746032443,7.622049546859551,0.014963847,509.36432,19.62306986735035,-47.43860470284522,1.0911793,741.0565,12.519773,181.23157,176168.30110766116,283.58972,1.2954628,0,0,0,0,1.6999273,0.8132305,0.8866968,2.2314572,8.190568,1,32.85606,nan,nan,168.13512549660146,-22.564329571971943,61.496585036175524,3.4478718974241285,0,4193.201,4185.2554,4201.9004,0.3947,0.2885,0.1549,False,6.930131367407144
210784223,58.81555,19.62963,0.0,9.98,3.12,0.2684,0.0,0.0,0.0,0.096,2,best,0.0,0,0.0,1,1,Fig,685,4260.503727756382,50870902621391360,210784223,2MASS J03551573+1937466,0.036383663581988565,50870902621391360,0.10145956,-0.0008840561,58.81567399615866,19.62934261377893,8.856334055771406,0.015603229,567.5962,22.049032481595486,-53.56802971197763,1.1268839,466.3326,12.670413,120.69138,145940.26305734005,189.00218,1.2786112,0,0,0,0,1.5576067,0.72465134,0.83295536,1.2537253,9.407654,1,26.693365,nan,nan,171.49996292873877,-25.441514014376708,60.807953717004175,-0.7053760577400406,0,4280.982,4276.4155,4286.059,0.0963,0.0711,0.038,False,7.406682964847823
