dr2_source_id,_2MASS,EPIC,CWW,NOMAD1,RA_ICRS,DE_ICRS,pmRA,pmDE,e_pmRA,Source,plx,e_plx,epsi,sepsi,Gmag,BP-RP,e_BP-RP,Jmag,Kmag,eJ-K,RVGaia,e_RVGaia,RV,o_RV,eRV,dRV,delTrv,Member,pBin,WBin,SpBin,rad,drad,f_drad,pmd,dplx,dcmd,AO,nmag,nrad,Teff,Mass,SpT,K2_PTF,Prot,r_Prot,sigmaLC,RvarLC,Bench,Notes,Cl,O19,SimbadName,_RA_icrs,_DE_icrs,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_possible_binary,flag_benchmark_period
6772762864267173248,J19262764-2114454,217057859,0,0687-0872354,291.61521,-21.24604611111111,0.632,-26.228,0.145,GaiaDR2 ,3.1431,0.0509,0.0,0.0,6.4054,1.7775,0.004188,4.378,3.371,0.305,-30.88,0.94,,9.0,,-72.38,,No: RV non-member,   ,No ,RV-NM,5.478,31.446, ,1.597,-0.1085,,   ,,,4107.9,1.558,K7,N_N,,    ,0.0,0.0,No,,0,O19,Gaia DR2 6772762864267173248,291.6152069444444,-21.245933055555554,1.7775,6772762864267173248,0.95820665,0.0083322525,291.6152056067299,-21.24604910529964,2.911647839076249,0.15063217,19.329521,-0.5036935802387581,-23.983830032441904,4.823897,2261.6958,6.413755,601.375,49914162.89245643,651.82416,1.3030794,0,0,0,0,1.7709723,0.85955334,0.9114189,-30.65342,0.8646747,1,588.6205,7.3512893,0.18542463,17.296178724818372,-16.948052907864483,290.08171185625076,0.6989540431153577,1,,,,,,,4114.554869513082,0,False,0.0083322525,False,-1.2655508283187373,True,True,False
4184143881214538112,J19152612-1605571,219688088,1,0739-0788697,288.85882,-16.099296944444443,1.709,-25.438,0.111,GaiaDR2 ,3.163,0.049,0.0,0.0,7.0413,1.4023,0.00314,5.306,4.544,0.038,40.56,1.89,37.6228,4.0,1.438,-1.481,2984.33,Yes,   ,Yes,No,0.368,8.528, ,2.879,-0.0886,,No ,,,4646.4,1.56,K4,A_N,0.0,K2  ,44.27890000000001,48.95400000000001,No,,0,O19,Gaia DR2 4184143881214538112,288.8588122222222,-16.0991875,1.4023,4184143881214538112,0.048330527,0.012757301,288.85881895110373,-16.099300355540546,3.167731396676992,0.089580715,35.361755,0.4438537472168633,-26.437820224502012,2.9838943,5530.1924,7.054052,1221.3401,24123311.77009102,1946.397,1.2548102,0,0,0,0,1.393681,0.63143253,0.7622485,39.329597,1.4472036,1,396.66168,9.494884,0.7349122,21.052157649315863,-12.46343656093898,288.20165758251227,6.156273470242921,1,,,,,,,4628.18341861014,0,False,0.012757301,False,-0.4422063784837693,True,True,False
4183949198935967232,J19172384-1604243,219697419,2,0739-0791715,289.34934,-16.073543888888885,-0.537,-26.453,0.101,GaiaDR2 ,3.2373,0.0489,0.0,0.0,7.181,1.5511,0.00272,5.273,4.444,0.045,38.51,0.17,39.0971,7.0,0.904,-2.375,4306.63,Yes,   ,No ,No,0.404,2.143, ,0.414,-0.0143,,No ,,,4397.0,1.559,K5,A_N,0.0,K2  ,1.9757000000000005,3.3631000000000006,No,,0,O19,Gaia DR2 4183949198935967232,289.3493425,-16.07343,1.5511,4183949198935967232,0.27932757,0.010259628,289.3493406388807,-16.07354766408022,3.2969754694051097,0.02212682,149.00359,-0.48757004995005415,-26.507340898467895,1.0885457,4489.806,7.191264,1351.3622,22455124.63178562,2357.3752,1.2715157,0,0,0,0,1.5396476,0.7179904,0.8216572,38.29899,0.14975914,1,544.46826,9.528663,0.35468975,21.279748619867703,-12.879965410138027,288.67500072367574,6.120091862779079,2,4519.807,4508.7295,4524.4297,0.6478,0.4878,0.2541,4394.0738029117365,0,False,0.010259628,False,-0.21815726817477632,False,True,False
4184137077986034048,J19171130-1603082,219704882,4,0739-0791406,289.29713,-16.052401944444444,-0.797,-26.997,0.118,GaiaDR2 ,3.2498,0.0562,0.0,0.0,8.025,1.3494,0.004465,6.401,5.633,0.029,41.33,0.18,40.3986,6.0,1.048,-0.329,3334.35,Yes,   ,No ,No,0.391,1.808, ,0.392,-0.0018,,No ,,,4748.2,1.54,K2,A_N,0.0,K2  ,1.6810000000000003,2.4896000000000003,No,,0,O19,Gaia DR2 4184137077986034048,289.29713361111106,-16.052285833333332,1.3494,4184137077986034048,0.14189127,0.009578705,289.29712794145905,-16.052405545609744,3.193992702442945,0.025534103,125.08733,-0.8349857964147591,-27.168303372346855,1.0645518,3525.8337,8.034533,900.25305,9572750.153252207,2802.9734,1.2482651,0,0,0,0,1.340879,0.60165024,0.7392287,41.06213,0.12384779,1,335.55505,7.3856196,0.25886476,21.27775196915052,-12.825553537949116,288.62779666868363,6.147690031558852,0,4757.7646,4754.0312,4760.55,0.414,0.3204,0.1676,4725.807815144173,0,False,0.009578705,False,0.5562021446875676,False,False,False
4087762027643173248,J19170343-1703138,219310397,6,0729-1030607,289.26428999999996,-17.05393694444444,-1.365,-26.523,0.143,GaiaDR2 ,3.2907,0.0677,0.0,0.0,8.0278,1.2825,0.002953,6.425,5.718,0.028,41.77,0.19,41.5174,5.0,0.166,0.053,3334.35,Yes,   ,No ,No,0.692,5.531, ,0.461,0.0391,,No ,,,4887.4,1.557,K2,A_N,0.0,K2  ,1.4390000000000003,1.9098000000000004,No,,0,O19,Gaia DR2 4087762027643173248,289.2642961111111,-17.053822777777775,1.2825,4087762031955829120,0.26807287,0.010672569,289.26428872984457,-17.053940561343147,3.2362578754133313,0.03851418,84.0277,-1.373356438448126,-26.559818638416957,1.1074783,3163.8389,8.038519,1178.5736,9290482.106291026,1323.5151,1.2421703,0,0,0,0,1.2728233,0.5621042,0.7107191,41.385128,0.15505543,1,286.2848,7.1410246,0.43245703,20.33105764143402,-13.217135323381509,288.46360247104985,5.15907190256136,0,4758.138,4754.5063,4762.913,0.2746,0.2137,0.1121,4862.2485854590595,0,False,0.010672569,False,0.5887345071252703,False,False,False
4084757199808535296,J19183747-1712575,219239754,7,0727-1082961,289.65612,-17.216101944444443,-0.928,-25.977,0.201,GaiaDR2 ,3.2495,0.0687,0.0,0.0,8.0374,1.2801,0.000707,6.406,5.735,0.03,42.24,0.13,41.4696,3.0,0.051,-0.049,1886.2,Yes,   ,No ,No,1.005,5.434, ,0.646,-0.0021,,No ,,,4892.7,1.557,K2,A_N,0.0,K2  ,1.5213000000000003,1.8803000000000003,No,,0,O19,Gaia DR2 4084757199808535296,289.65612416666664,-17.215990277777774,1.2801,4084757199808535296,0.17140582,0.012046814,289.6561151278532,-17.216105200323568,3.2560374318780227,0.023836333,136.59976,-1.1252378233346159,-26.0469223112743,0.94113386,4372.502,8.049439,1193.531,9198594.034508962,2396.8728,1.2420646,0,7,0,0,1.273457,0.5626097,0.7108474,41.816536,0.12552845,1,251.39153,7.3804765,0.37656045,20.340045124476895,-13.625083761927584,288.81449881935896,4.948535136518107,0,,,,,,,4867.429027795686,0,False,0.012046814,False,0.6128863750275322,False,False,False
4184200643491196928,J19140272-1554055,219757320,9,0740-0785901,288.51138,-15.901708055555554,0.055,-26.412,0.136,GaiaDR2 ,3.2145,0.068,0.125,4.14,8.0569,1.3822,0.004319,6.312,5.562,0.028,54.98,5.14,36.9929,18.0,27.758,-6.095,3278.37,Yes,   ,Yes,SB1-Short,0.755,5.126, ,0.993,-0.0371,,No ,,,4684.2,1.539,K4,A_N,0.0,K2  ,1.6257000000000004,2.7617000000000007,No,,0,O19,Gaia DR2 4184200643491196928,288.51137972222216,-15.901594166666664,1.3822,4184200643505162112,0.21940452,0.011236191,288.51137965373596,-15.90171183615899,3.3044279858294674,0.04778921,69.145905,-0.4556613957030127,-26.357785212805943,2.1421993,3606.105,8.068089,836.9219,9411038.602606127,1198.1814,1.2534286,0,13,0,0,1.3728743,0.6185875,0.75428677,46.529907,7.49551,1,198.89674,7.45447,0.44622624,21.090772527490653,-12.07722491016932,287.89392153619707,6.395048390205276,0,,,,,,,4664.269080352721,0,False,0.011236191,False,0.6635699896368799,True,True,False
4184125807991900928,J19155129-1617591,219614490,10,0737-0794847,288.96374,-16.299853888888887,-0.629,-26.895,0.104,GaiaDR2 ,3.1967,0.044,0.0,0.0,8.1237,1.319,0.002404,6.448,5.787,0.032,40.8,0.22,40.3321,5.0,0.721,-0.754,2984.33,Yes,   ,No ,No,0.153,5.051, ,0.395,-0.0549,,No ,,,4810.0,1.535,K2,S_N,0.0,K2  ,34.767100000000006,37.53340000000001,No,,0,O19,Gaia DR2 4184125807991900928,288.9637427777777,-16.29973833333333,1.319,4184125807991900928,0.13855949,0.009137154,288.9637383261093,-16.299858143351763,3.2777995632718318,0.022482311,145.7946,-0.8129271167200471,-26.953402982265793,0.94709545,4863.916,8.1328535,1488.9901,8641044.427413816,6643.8076,1.2458795,0,0,0,0,1.3089046,0.582531,0.7263737,40.695713,0.1313517,1,190.19629,7.5075927,0.44809958,20.909396620243154,-12.639381192459583,288.275973917097,5.944346236390625,0,4514.275,4502.4146,4522.5693,0.0917,0.0706,0.0372,4785.93225867035,0,False,0.009137154,False,0.7107654731636437,False,False,False
4087842738668571008,J19161966-1634094,219511589,3,0734-0820974,289.08189999999996,-16.569408888888887,-1.036,-26.588,0.192,GaiaDR2 ,3.1293,0.0908,0.172,6.74,8.1773,0.0855,0.002302,8.052,8.072,0.037,,,50.994,7.0,7.439,9.494,2102.27,Yes,   ,No ,SB1-Short,0.185,11.782, ,0.126,-0.1223,,No ,,,9150.2,1.534,A2,A_N,0.0,K2  ,0.5107,0.6036000000000001,No,,0,O19,Gaia DR2 4087842738668571008,289.0819047222222,-16.56929444444444,0.0855,4087842738668571008,0.21114606,0.013127327,289.0819009477475,-16.56941258303123,3.1949863636327565,0.031119348,102.66881,-1.0151072669891295,-26.733658966471786,0.92264354,2292.4866,8.190447,1137.6964,4460281.906446247,1981.638,1.1633672,0,4,0,6,0.07974148,0.013784409,0.06595707,41.951607,1.8383459,1,103.62008,,,20.707558986866225,-12.855597461894643,288.35361142319897,5.662320680625131,0,10436.347,10390.954,10474.355,0.2652,0.2552,0.1362,,0,False,0.013127327,False,0.7127918981728811,False,False,False
4183930438518525184,J19180978-1616222,219624547,11,0737-0798216,289.54076,-16.27298611111111,-1.243,-27.019,0.114,GaiaDR2 ,3.3677,0.0418,0.0,0.0,8.2467,1.3497,0.002484,6.537,5.834,0.029,41.62,0.14,41.5157,4.0,0.846,0.226,1858.33,Yes,   ,No ,No,0.463,11.116, ,0.514,0.1161,,No ,,,4747.6,1.534,K2,A_N,0.0,K2  ,1.9739000000000004,2.3074000000000003,No,,0,O19,Gaia DR2 4183930438518525184,289.54076555555554,-16.27286972222222,1.3497,4183930438518525184,0.16946524,0.009799004,289.5407612041529,-16.272989845373004,3.3538610965463005,0.021741811,154.25859,-1.2853794901925872,-27.214749625479964,1.1196979,4862.696,8.256478,1539.8601,7804046.143920793,1532.0981,1.2487583,0,0,0,0,1.340055,0.6006727,0.73938227,41.44482,0.1328175,1,282.24487,7.175624,0.7322014,21.173313769238526,-13.13060742595171,288.83151225063995,5.897946207988764,0,4765.2773,4763.8154,4766.238,0.4222,0.3267,0.1708,4725.229557059616,0,False,0.009799004,False,0.8842036691798771,False,False,False
