NGTS_ID,Gaia_ID,RA,Dec,NGTS_mag,G_mag,BP_mag,RP_mag,Ks_mag,GmK,SpT,mult,amp_data,amp_GP,P_GP,P_GPue,P_GPle,P_LS,P_GACF,method,Prot,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
626,2321422436144254464,00:06:53.699,-28:31:08.255,11.87,12.25,12.64,11.71,10.66,1.59,G8,--,17.78,15.33,5.37994,0.02861,0.02901,5.36998,5.3753,GP,5.37994,2321422436144254464,0.9299999999999997,2321422436144254464,0.2203708,0.0010480881,1.7237875870346318,-28.519087180920067,4.314306649115637,0.012142925,355.29385,19.001441965961675,2.8761013345179904,0.9803129,934.88434,12.24948,352.12357,165711.70614220607,494.266,1.2116431,0,0,0,0,0.92565536,0.3756876,0.54996777,5.849659,0.8160917,1,28.122135,18.411457,31.496613,22.31317516358735,-80.05779115647988,349.31764498793524,-26.651781450942,0,5422.7495,5410.311,5435.4883,0.0745,0.0613,0.0327,5483.507965341511,0,False,0.0010480881,False,5.424035299134774,False,False,False,False,True
1221,2333096436428744192,00:01:08.420,-28:36:56.806,11.15,11.49,11.82,11.03,10.2,1.29,G0,--,15.95,20.85,3.03852,0.01165,0.01176,2.97678,3.0341,GP,3.03852,2333096436428744192,0.7900000000000009,2333096436428744192,0.18248916,0.0043535233,0.2851562521454859,-28.615687303931526,4.163822029146939,0.026569538,156.71413,18.467255250231787,2.1295335562404007,1.2014942,1061.0891,11.495463,474.75613,309377.0950984426,671.99536,1.1989826,0,0,0,0,0.7784796,0.3046913,0.47378826,5.609977,0.9614973,1,46.92969,17.829494,9.193834,22.39190858869358,-78.79070809597864,348.00570281692546,-26.17726171777524,0,5839.4087,5796.355,5872.766,0.0417,0.0352,0.0189,5912.551598265493,0,False,0.0043535233,False,4.592924163976541,True,False,False,False,True
1283,2333061733093062784,00:03:38.490,-28:37:25.335,11.71,12.07,12.44,11.54,10.57,1.49,G5,--,34.0,34.08,5.02679,0.0269,0.02528,4.95986,5.0012,GP,5.02679,2333061733093062784,0.9000000000000004,2333061733093062784,0.21395619,-0.006828308,0.9105498704409846,-28.623710204969523,4.273252049432987,0.013772972,310.2636,18.46932991455591,2.4672459940762086,0.99285716,1418.4694,12.060509,411.33084,193523.8604114411,586.7512,1.2062693,0,0,0,0,0.88895893,0.35950947,0.52944946,6.2225356,0.9719254,1,36.968304,9.735506,18.07761,22.10083252055927,-79.33696570195009,348.55053922286,-26.42802992739215,0,5492.8965,5484.137,5522.2188,0.0065,0.0053,0.0029,5573.444665210215,0,False,0.006828308,False,5.21430127595325,False,False,False,False,True
3450,2321022630524596736,00:05:56.387,-28:56:10.291,11.01,11.34,11.65,10.89,10.12,1.22,F9,--,21.75,18.67,3.10021,0.01852,0.01888,3.19632,3.1459,GP,3.10021,2321022630524596736,0.7599999999999998,2321022630524596736,0.108611636,0.00198555,1.4851165630817689,-28.93627419658907,4.186108054120419,0.02162868,193.54431,18.834934556810143,2.7636490528789945,1.0739503,1289.2554,11.338227,480.53314,351374.52992000274,705.8998,1.1938634,0,0,0,0,0.7472372,0.29247952,0.4547577,5.2281337,1.128213,1,49.653168,17.874382,22.282944,20.076621705665264,-79.80289729897197,348.8995467222204,-26.932066411446566,0,5889.8394,5887.302,5895.6235,0.0019,0.0016,0.0008,6004.065103706463,0,False,0.00198555,False,4.447279444009027,False,False,False,False,True
5862,2320987549231653888,00:04:34.814,-29:15:19.849,12.28,12.67,13.11,12.08,10.92,1.75,K0,--,16.99,16.38,6.38175,0.04343,0.04522,6.43548,6.3801,GP,6.38175,2320987549231653888,1.0299999999999994,2320987549231653888,0.15675147,-0.007940292,1.1452867242110074,-29.255538957946232,4.259807149575101,0.016073141,265.02643,18.707152676057397,2.536996771146871,1.0283631,1814.616,12.660482,534.91943,117731.37307052808,745.00494,1.2142465,0,0,0,0,1.0164337,0.42661667,0.58981705,6.682382,1.4090992,1,19.13419,nan,nan,18.554610935699657,-79.46360637681173,348.44134623973497,-27.085220887090316,0,nan,nan,nan,nan,nan,nan,5201.430102637707,0,False,0.007940292,False,5.807432097234038,False,False,False,False,True
6001,2320987858469300864,00:05:00.949,-29:16:08.658,12.26,12.67,13.12,12.08,10.91,1.76,K0,--,13.06,15.2,6.79839,0.04021,0.03634,6.82941,6.9306,GP,6.79839,2320987858469300864,1.0399999999999991,2320987858469300864,0.1416911,-0.0115299225,1.25417611462053,-29.26910845670295,4.211025299604778,0.016910126,249.02386,18.421390272533724,2.2486112706929298,1.1350913,2536.504,12.661598,678.0559,118177.798398862,886.0864,1.2158022,0,0,0,2,1.0259695,0.43092728,0.5950422,6.6052585,1.0344638,1,22.585054,nan,nan,18.39999964245266,-79.55534281975235,348.53001246100996,-27.13980271305835,0,5232.796,5225.702,5239.229,0.1101,0.0893,0.0473,5174.999908550782,0,False,0.0115299225,False,5.783537458791862,False,False,False,False,True
6278,2333005344467248768,00:02:48.773,-29:18:42.202,11.8,12.18,12.57,11.64,10.59,1.59,G8,--,22.51,20.2,5.26442,0.04609,0.04229,5.20561,5.292,GP,5.26442,2333005344467248768,0.9299999999999997,2333005344467248768,0.17124134,-0.008684158,0.7034277027139929,-29.311722983957704,4.2708838929529165,0.014296424,298.7379,18.682265065146787,2.1189154156340813,1.0879166,2575.9976,12.172879,782.025,176345.52717739638,984.277,1.2057738,0,0,0,0,0.9167013,0.3758068,0.5408945,5.0345645,1.0705261,1,34.741886,nan,nan,18.569847983740452,-79.07414970347438,348.0260701840214,-26.963426426465332,0,5525.0205,5513.8306,5541.025,0.1107,0.0915,0.0488,5483.507965341511,0,False,0.008684158,False,5.325468043954142,False,False,False,False,True
6292,2320959820922837760,00:06:17.762,-29:18:40.308,11.52,11.89,12.24,11.39,10.44,1.44,G3,--,18.45,17.39,4.53201,0.01218,0.01224,4.52757,4.5511,GP,4.53201,2320959820922837760,0.8499999999999996,2320959820922837760,0.21668635,-0.010092735,1.5741915903413435,-29.311243682829165,4.281838229965256,0.017686516,242.09619,18.537487033268068,2.4526728008132936,1.019191,1748.143,11.876925,376.98315,223692.4023067045,579.9177,1.2017181,0,0,0,0,0.8382416,0.33508396,0.5031576,5.3915854,1.1017394,1,36.517765,6.9570384,9.701108,17.914369424667544,-79.82389458231651,348.78955672639165,-27.302299769090336,0,5681.2153,5675.0156,5686.498,0.008,0.0067,0.0036,5726.78693356637,0,False,0.010092735,False,5.035076745450185,False,False,False,False,True
6650,2320994592977961216,00:03:06.484,-29:21:43.949,11.18,11.51,11.83,11.05,10.21,1.3,G0,--,14.38,12.37,3.36032,0.0233,0.02318,3.44631,3.3964,GP,3.36032,2320994592977961216,0.7799999999999994,2320994592977961216,0.1399008,-0.0055036545,0.7772500301620716,-29.36222268434237,4.218298761900826,0.015924092,264.90042,18.3344103739646,2.3954722945696783,0.9284845,1821.9658,11.50574,638.1118,305011.6870259142,954.4819,1.1939445,0,0,0,0,0.7772093,0.30857372,0.46863556,3.6065893,0.6922109,1,46.033813,14.947265,8.674319,18.25396443907736,-79.13005345348452,348.0654009293087,-27.037343251015024,0,5817.2607,5804.1406,5834.1694,0.0151,0.0127,0.0068,5943.248499183068,0,False,0.0055036545,False,4.631426843166402,False,False,False,False,True
6897,2332909347653323136,00:02:18.006,-29:24:05.199,13.26,13.74,14.37,13.01,11.43,2.31,K4,--,16.62,17.25,9.39168,0.05983,0.05744,9.44925,9.4815,GP,9.39168,2332909347653323136,1.3599999999999994,2332909347653323136,0.03969778,-0.006747246,0.575243832883654,-29.401473128824094,4.152834786316955,0.015600362,266.20117,18.012783910167936,2.605762161925663,0.9838797,2143.512,13.73345,467.1114,50234.218571671256,721.92444,1.2457165,0,0,0,0,1.3440094,0.6059561,0.7380533,5.732488,2.61137,2,10.236797,nan,nan,18.193611395932738,-78.95007379904752,347.86893449998473,-26.993876693519013,0,4633.26,4626.58,4639.4062,0.1379,0.1055,0.0553,4512.396896326391,0,False,0.006747246,False,6.825173204732261,False,False,False,False,True
