ID,GaiaDR2,CLHW,RA_ICRS,DE_ICRS,__B-V_0,Vmag,__V-Ks_0,Prot,e_Prot,P90,Class,Binary,_RA_icrs,_DE_icrs,Teff_Mamajek,dr2_bp_rp,dr2_source_id,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
615023.0,5339393292496121856,38427,167.21753999999999,-58.84441999999999,1.102,15.517,2.581,10.4707,0.3513,0.0207,1,0,167.21753999999999,-58.84441999999999,4689.788755260104,1.3708467,5339393292496121856,5339393292501472768,0.07340101,-0.015609741,167.2174453659632,-58.844383422478124,2.096867979644967,0.024899978,84.21164,-9.911254896438379,5.155043041033591,0.94382334,3364.8735,15.172483,495.23706,13436.594782894656,976.6718,1.2475271,2,0,0,1,1.3611498,0.615839,0.7453108,4.927515,7.911405,2,2.4507554,-1,-1,289.990347463006,1.4260012478001258,205.01024881218996,-56.16885015731192,0,4587.887,4571.914,4604.6875,0.1992,0.1526,0.0799,4497.3354,0,False,6.780338883339343,False,False,False,False,True
614028.0,5339394873021033600,42959,167.19216999999998,-58.805499999999995,0.962,14.979,2.222,8.9009,0.2568,0.021,2,0,167.19216999999998,-58.805499999999995,5004.2688543188015,1.2216702,5339394873021033600,5339394873021033600,0.057223257,-0.0111961365,167.1920597993279,-58.805465904890745,2.137693544290455,0.020974701,101.91771,-10.581536986856038,5.011833693765075,1.0145509,2429.4768,14.738667,538.46454,18921.146192838845,731.3908,1.2373092,0,41,0,39,1.2070904,0.5239506,0.6831398,-4.0647936,8.073645,2,3.6450286,-1,-1,289.96321292407794,1.4568466803275675,204.94463929086126,-56.15008005668583,0,4849.493,4833.2354,4860.749,0.1853,0.1458,0.0769,4759.7163,0,False,6.388393762915179,False,False,False,False,True
607456.0,5340146801547783168,72253,167.03203999999997,-58.712579999999996,1.425,16.894,3.416,11.6002,0.448,0.02,2,0,167.03203999999997,-58.712579999999996,4037.1766887808417,1.7682867,5340146801547783168,5340146801547783168,0.050507087,-0.01994896,167.03193520393413,-58.712565696918546,2.0723359110342416,0.04031845,51.399197,-10.652619643253475,5.315578402771228,0.9302841,1966.6625,16.28831,168.12772,5660.493280908434,434.046,1.3102813,0,0,0,0,1.7915239,0.8689747,0.92254925,nan,nan,-1,nan,-1,-1,289.8506618499161,1.5103999598014732,204.72153073433137,-56.14118236069926,0,4310.202,4302.526,4318.8594,0.7536,0.5475,0.2935,4006.7676,0,False,7.8706098615472655,False,False,False,False,True
nan,5340146973346422400,75186,167.01711999999998,-58.72663999999999,0.864,14.437,1.949,7.7074,0.274,0.041,1,0,167.01711999999998,-58.72663999999999,5279.149486450417,1.0859747,5340146973346422400,5340146973346422400,0.050818067,-0.011857033,167.01702864751553,-58.726611444852445,2.0702502174688404,0.016989792,121.8526,-10.72082102473796,4.7864603882768755,0.9414919,2356.6409,14.264432,447.8752,27521.283037042198,981.97284,1.2191305,0,1,0,0,1.0706444,0.45493603,0.61570835,12.396437,5.5819726,2,3.6066353,-1,-1,289.8489770195225,1.4944515378194354,204.7290981071619,-56.156655566720595,0,5151.185,5136.825,5163.793,0.1723,0.1388,0.0736,5061.133,0,False,5.844546148103008,False,False,False,False,True
nan,5338640470625323264,91700,166.93699999999998,-59.00835999999999,1.349,16.48,3.165,12.1241,0.3113,0.0275,2,0,166.93699999999998,-59.00835999999999,4225.849841444232,1.6715736,5338640470625323264,5338640470625323264,0.034161177,-0.01654625,166.93689799300176,-59.00830687195709,2.046936509275926,0.03593774,56.95785,-10.638590284927133,5.065460172083108,0.9372131,2560.1587,15.968784,414.8797,7244.081435175279,641.44415,1.2832696,0,2,0,2,1.6789885,0.8081417,0.87084675,nan,nan,-1,nan,-1,-1,289.92029487378863,1.2187972659306452,205.02976925998294,-56.38730105869985,0,4425.6836,4413.9204,4436.3257,0.6507,0.4803,0.254,4109.6104,0,False,7.524306193123959,False,False,False,False,True
nan,5338642772728010880,100275,166.89220999999998,-58.91949999999999,1.352,16.602,3.167,12.734,1.582,0.0192,2,0,166.89220999999998,-58.91949999999999,4224.314209856432,1.6913071,5338642772728010880,5338642772728010880,0.045096166,-0.018867493,166.89211043754926,-58.919482281348685,2.0576021039414627,0.036226947,56.797558,-10.17456504139883,4.86853793953304,0.95002276,2302.9758,16.059546,379.91156,6757.2417696014545,655.9,1.2923073,0,2,0,1,1.7076015,0.8215275,0.88607407,nan,nan,-1,nan,-1,-1,289.86441877650896,1.291614735504702,204.88781286197965,-56.3399728531898,0,4418.258,4411.096,4425.9727,0.7231,0.5321,0.2816,4088.0625,0,False,7.626352493565797,False,False,False,False,True
nan,5340158140262144256,102441,166.8755,-58.51299999999999,0.661,13.537,1.619,5.6298,0.0875,0.021,1,0,166.8755,-58.51299999999999,5677.799257197285,0.8870573,5340158140262144256,5340158140262144256,0.06017879,-0.010246277,166.87539252060083,-58.512969679825005,2.0999431958600177,0.013511151,155.42297,-9.94240847344379,5.295394284288567,0.95171744,2270.9146,13.352955,712.7189,58403.15068733427,935.9049,1.203257,0,1,0,0,0.87606525,0.35491562,0.52114964,9.355291,3.458369,2,9.764231,-1,-1,289.69785502661324,1.6625633908862323,204.36778967945813,-56.05426274940285,0,5653.6123,5626.313,5699.318,0.1264,0.1053,0.0564,5616.601,0,False,4.963992599937734,False,False,False,False,True
nan,5340150374960612096,103456,166.87232999999998,-58.642529999999994,0.96,14.872,2.273,8.2882,0.0894,0.0306,1,0,166.87232999999998,-58.642529999999994,4956.9985035108675,1.2017202,5340150374960612096,5340150374960612096,0.059677187,-0.010576248,166.8722242375485,-58.64250276766686,2.120793207974592,0.020715157,102.378815,-10.586029916456747,5.308025081022548,0.9189298,1998.8307,14.624854,389.5859,20768.217787305435,737.8903,1.2303969,0,2,0,0,1.188942,0.51848507,0.6704569,8.09714,6.159081,2,3.0787263,-1,-1,289.7468838803807,1.5426484139719419,204.52697759727792,-56.148598045032955,0,4913.023,4902.233,4922.837,0.2065,0.1629,0.0859,4799.9805,0,False,6.257345707135936,False,False,False,False,True
nan,5338646586659199360,112775,166.82799999999997,-58.81741999999999,0.723,13.785,1.588,6.1783,0.1329,0.022,1,0,166.82799999999997,-58.81741999999999,5719.816838950336,0.9364538,5338646586659199360,5338646586659199360,0.060730007,-0.00730896,166.82789182188685,-58.817398666075235,2.076081451626428,0.015523817,133.73524,-10.316995925143322,5.788435297837847,0.9827636,1674.6953,13.65462,362.7449,45257.222539653034,590.7117,1.2086031,0,0,0,1,0.92259884,0.37665462,0.5459442,-0.49907735,5.3063636,2,6.181047,-1,-1,289.7939934333597,1.3726477107674588,204.7164196759367,-56.290101399773384,0,5366.372,5339.973,5433.7817,0.0438,0.036,0.0193,5468.0996,0,False,5.240842112279726,False,False,False,False,True
nan,5338644147117395328,113128,166.82791999999998,-58.95005999999999,1.322,16.569,3.227,13.0016,1.442,0.0231,2,0,166.82791999999998,-58.95005999999999,4178.447255715115,1.6824522,5338644147117395328,5338644147117395328,0.056616154,-0.016674042,166.8278476184142,-58.9500035138598,2.070344522320369,0.037670817,54.958843,-10.433673906124982,6.116950587590644,1.0028782,2193.3352,16.013363,317.4272,6955.8321085413,590.8288,1.2831601,1,1,0,1,1.6811733,0.8098335,0.8713398,nan,nan,-1,nan,-1,-1,289.8457932153275,1.2505729973759632,204.88355021470647,-56.384979404183774,0,4412.898,4402.701,4421.7905,0.6415,0.473,0.2504,4097.7183,0,False,7.593575992706063,False,False,False,False,True
