#Table 8 
#Gaia DR2 Dereddening Relations as a Function of Uncorrected G - G _RP
G-G_RP_uncorrected,R(G),R(G_RP),R(G_BP)
-0.18,1.938,3.112,3.670
-0.08,1.930,3.05,3.59
0.02,1.923,2.99,3.53
0.12,1.919,2.961,3.504
0.22,1.908,2.90,3.47
0.32,1.90,2.80,3.40
0.42,1.881,2.68,3.34
0.52,1.865,2.570,3.257
0.62,1.860,2.507,3.206
0.72,1.842,2.397,3.124
0.82,1.823,2.30,3.04
0.92,1.796,2.211,3.000
1.02,1.769,2.157,3.000
1.12,1.735,2.057,2.965
1.22,1.687,1.930,2.944
1.32,1.656,1.852,2.924
1.42,1.641,1.818,2.912
