Cluster,SourceID,Prot,GaiaDR2,RA_ICRS,DE_ICRS,plx,e_plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,BPmag,RPmag,BP-RP,Delta,Pmemb,Class,MG0proj,Mass,Teff,FlagMT,SimbadName,_RA_icrs,_DE_icrs,recno
M37,Hartman08 26,8.35987638,3451197365562819200,87.8264234814,32.6755375958,0.619,0.1147,1.7060000000000002,0.20900000000000002,-5.831,0.17600000000000002,17.388048,18.04976,16.584396,1.4653645,0.683,0.999,probable-member,6.143,0.811,4988,bright,Cl* NGC 2099 HGH V26,87.8264147542753,32.67556270026246,2102
M37,Hartman08 47,1.7010734,3451196098550397568,87.8390584267,32.5941654202,1.0859,0.2604,2.345,0.528,-5.263000000000001,0.42200000000000004,18.957153,19.844091,17.929274,1.9148178,1.125,0.996,probable-member,7.628,0.649,4145,faint,Cl* NGC 2099 HGH V47,87.83904644517769,32.59418807976391,2103
M37,Hartman08 57,7.77483129,3451192280320874240,87.8419347694,32.5173728848,0.7546,0.0885,1.61,0.18900000000000003,-5.468000000000001,0.15000000000000002,16.993053,17.596394,16.246084,1.3503094,0.995,0.999,probable-member,5.679,0.878,5276,bright,Cl* NGC 2099 HGH V57,87.84192654739115,32.51739642802723,2104
M37,Hartman08 71,8.47374013,3451196437849548288,87.8509889757,32.6336928631,0.5501,0.1157,2.164,0.20600000000000002,-6.1530000000000005,0.17500000000000002,17.49417,18.121199,16.696377,1.4248219,1.408,0.997,probable-member,5.985,0.833,5084,bright,Cl* NGC 2099 HGH V71,87.85097791344613,32.63371935439621,2106
M37,Hartman08 81,11.22594731,3451198018402785664,87.8544341753,32.6579980131,0.4131,0.1867,2.193,0.323,-5.867000000000001,0.264,18.344425,19.101316,17.434765,1.6665516,0.964,0.993,probable-member,6.96,0.714,4500,intermediate,Cl* NGC 2099 HGH V81,87.8544229599343,32.658023272145904,2108
M37,Hartman08 86,8.96199942,3451196472209286016,87.855915845,32.633311012,0.7228,0.1656,1.9430000000000003,0.29000000000000004,-6.297000000000001,0.23900000000000002,18.09631,18.82777,17.235022,1.5927486,1.296,0.996,probable-member,6.68,0.743,4676,intermediate,Cl* NGC 2099 HGH V86,87.85590591099682,32.633338122456585,2109
M37,Hartman08 98,3.53048462,3451193070594989056,87.8587208392,32.5686108795,0.6318,0.3028,2.0020000000000002,0.651,-6.139000000000001,0.544,19.146154,20.149317,18.137556,2.0117607,0.509,0.992,probable-member,7.827,0.63,4054,faint,Cl* NGC 2099 HGH V98,87.85871060927636,32.56863731179101,2111
M37,Hartman08 99,5.94668323,3451199220988925568,87.8589306723,32.7394887665,0.7971,0.1798,2.1940000000000004,0.31400000000000006,-5.742000000000001,0.254,18.196478,18.989452,17.297815,1.691637,0.612,0.999,probable-member,6.851,0.726,4569,intermediate,Cl* NGC 2099 HGH V99,87.8589194440096,32.73951349002092,2112
M37,Hartman08 103,7.24938243,3451185064775598336,87.8597731992,32.4177663661,0.741,0.1057,1.9020000000000001,0.22100000000000003,-5.613,0.18100000000000002,16.975723,17.521622,16.230024,1.2915974,0.4,1.0,probable-member,5.423,0.918,5437,bright,Cl* NGC 2099 HGH V103,87.8597634981541,32.417790533646716,2113
M37,Hartman08 106,9.87210482,3451196059892305664,87.862139584,32.5927281805,0.6586,0.1291,2.1260000000000003,0.24300000000000002,-5.655,0.19700000000000004,17.651976,18.32286,16.814915,1.507946,0.368,0.999,probable-member,6.298,0.791,4897,intermediate,Cl* NGC 2099 HGH V106,87.86212871962577,32.59275252638619,2114
M37,Hartman08 140,3.61248403,3451173421123564544,87.8753908047,32.4225619406,0.7749,0.0454,1.8560000000000003,0.09400000000000001,-5.744000000000001,0.07700000000000001,15.601611,16.04119,15.004199,1.0369902,1.193,1.0,probable-member,4.214,1.144,6206,bright,Cl* NGC 2099 HGH V140,87.87538133693116,32.42258667225,2118
M37,Hartman08 161,6.81353174,3451191082029079040,87.8825905627,32.4526760641,0.6751,0.0746,1.8810000000000002,0.14,-5.503000000000001,0.11500000000000002,16.36328,16.85481,15.691806,1.1630049,0.424,1.0,probable-member,4.848,1.019,5809,bright,Cl* NGC 2099 HGH V161,87.88258096660233,32.45269975549054,2124
M37,Hartman08 164,7.16588344,3451197679098316288,87.8829387365,32.6325742743,0.6371,0.0827,1.9180000000000001,0.15700000000000003,-5.630000000000001,0.127,17.029505,17.602295,16.307755,1.2945404,0.203,1.0,probable-member,5.436,0.916,5429,bright,Cl* NGC 2099 HGH V164,87.88292893050824,32.6325985132114,2125
M37,Hartman08 182,11.3488143,3451197674800137088,87.8887135894,32.6359342241,0.7835,0.1445,1.8410000000000002,0.274,-5.944000000000001,0.22400000000000003,18.114685,18.845165,17.222153,1.6230125,0.78,0.999,probable-member,6.728,0.738,4645,intermediate,Cl* NGC 2099 HGH V182,87.88870417424368,32.635959818086555,2128
M37,Hartman08 198,10.33115244,3451191971083267840,87.8936378299,32.532187358,0.775,0.1691,1.7620000000000002,0.335,-5.346000000000001,0.28200000000000003,18.047028,18.780518,17.205465,1.5750523,0.688,0.997,probable-member,6.617,0.75,4715,intermediate,Cl* NGC 2099 HGH V198,87.89362883356425,32.53221037602783,2131
M37,Hartman08 208,12.53807965,3451193242393806336,87.8977457915,32.6055221072,0.4003,0.194,1.9520000000000002,0.37100000000000005,-6.136000000000001,0.30100000000000005,18.56154,19.320654,17.620296,1.7003574,1.134,0.99,probable-member,7.211,0.69,4362,faint,Cl* NGC 2099 HGH V208,87.89773581235968,32.605548526671285,2132
M37,Hartman08 214,9.59799445,3451192761357324672,87.8993848835,32.5606223949,0.683,0.1982,1.9870000000000003,0.29600000000000004,-6.013000000000001,0.24400000000000002,18.108152,18.8569,17.25923,1.5976696,0.72,0.999,probable-member,6.696,0.742,4666,intermediate,Cl* NGC 2099 HGH V214,87.89937473366702,32.560648285105785,2133
