Cluster,SourceID,Prot,GaiaDR2,RA_ICRS,DE_ICRS,plx,e_plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,BPmag,RPmag,BP-RP,Delta,Pmemb,Class,MG0proj,Mass,Teff,FlagMT,SimbadName,_RA_icrs,_DE_icrs,recno
M37     ,Hartman08 26  ,8.35987638,3451197365562819200,87.8264234814,32.6755375958,0.619,0.1147,1.7060000000000002,0.20900000000000002,-5.831,0.17600000000000002,17.388048,18.04976,16.584396,1.4653645,0.683,0.999,probable-member,6.143,0.811,4988,bright,Cl* NGC 2099 HGH V26,87.8264147542753,32.67556270026246,2102
M37     ,Hartman08 47  ,1.7010734,3451196098550397568,87.8390584267,32.5941654202,1.0859,0.2604,2.345,0.528,-5.263000000000001,0.42200000000000004,18.957153,19.844091,17.929274,1.9148178,1.125,0.996,probable-member,7.628,0.649,4145,faint,Cl* NGC 2099 HGH V47,87.83904644517769,32.59418807976391,2103
M37     ,Hartman08 57  ,7.77483129,3451192280320874240,87.8419347694,32.5173728848,0.7546,0.0885,1.61,0.18900000000000003,-5.468000000000001,0.15000000000000002,16.993053,17.596394,16.246084,1.3503094,0.995,0.999,probable-member,5.679,0.878,5276,bright,Cl* NGC 2099 HGH V57,87.84192654739115,32.51739642802723,2104
M37     ,Hartman08 58  ,16.71526061,3451192181540275584,87.8422894188,32.4950947982,0.5871,0.0759,2.2140000000000004,0.15000000000000002,-5.634,0.11800000000000001,16.737804,17.349089,15.997553,1.3515358,0.884,0.999,probable-member,5.684,0.877,5273,bright,Cl* NGC 2099 HGH V58,87.84227811881722,32.495119053878284,2105
M37     ,Hartman08 71  ,8.47374013,3451196437849548288,87.8509889757,32.6336928631,0.5501,0.1157,2.164,0.20600000000000002,-6.1530000000000005,0.17500000000000002,17.49417,18.121199,16.696377,1.4248219,1.408,0.997,probable-member,5.985,0.833,5084,bright,Cl* NGC 2099 HGH V71,87.85097791344613,32.63371935439621,2106
M37     ,Hartman08 78  ,1.25985582,3451191425622078720,87.8534310259,32.4936878043,2.4716,0.5818,1.2730000000000001,1.338,-6.655000000000001,1.1660000000000001,19.938044,21.240273,18.73866,2.5016117,1.877,0.919,probable-member,8.662,0.55,3711,faint,Cl* NGC 2099 HGH V78,87.8534245277745,32.4937164586351,2107
M37     ,Hartman08 81  ,11.22594731,3451198018402785664,87.8544341753,32.6579980131,0.4131,0.1867,2.193,0.323,-5.867000000000001,0.264,18.344425,19.101316,17.434765,1.6665516,0.964,0.993,probable-member,6.96,0.714,4500,intermediate,Cl* NGC 2099 HGH V81,87.8544229599343,32.658023272145904,2108
M37     ,Hartman08 86  ,8.96199942,3451196472209286016,87.855915845,32.633311012,0.7228,0.1656,1.9430000000000003,0.29000000000000004,-6.297000000000001,0.23900000000000002,18.09631,18.82777,17.235022,1.5927486,1.296,0.996,probable-member,6.68,0.743,4676,intermediate,Cl* NGC 2099 HGH V86,87.85590591099682,32.633338122456585,2109
M37     ,Hartman08 98  ,3.53048462,3451193070594989056,87.8587208392,32.5686108795,0.6318,0.3028,2.0020000000000002,0.651,-6.139000000000001,0.544,19.146154,20.149317,18.137556,2.0117607,0.509,0.992,probable-member,7.827,0.63,4054,faint,Cl* NGC 2099 HGH V98,87.85871060927636,32.56863731179101,2111
M37     ,Hartman08 99  ,5.94668323,3451199220988925568,87.8589306723,32.7394887665,0.7971,0.1798,2.1940000000000004,0.31400000000000006,-5.742000000000001,0.254,18.196478,18.989452,17.297815,1.691637,0.612,0.999,probable-member,6.851,0.726,4569,intermediate,Cl* NGC 2099 HGH V99,87.8589194440096,32.73951349002092,2112
M37     ,Hartman08 103 ,7.24938243,3451185064775598336,87.8597731992,32.4177663661,0.741,0.1057,1.9020000000000001,0.22100000000000003,-5.613,0.18100000000000002,16.975723,17.521622,16.230024,1.2915974,0.4,1.0,probable-member,5.423,0.918,5437,bright,Cl* NGC 2099 HGH V103,87.8597634981541,32.417790533646716,2113
M37     ,Hartman08 106 ,9.87210482,3451196059892305664,87.862139584,32.5927281805,0.6586,0.1291,2.1260000000000003,0.24300000000000002,-5.655,0.19700000000000004,17.651976,18.32286,16.814915,1.507946,0.368,0.999,probable-member,6.298,0.791,4897,intermediate,Cl* NGC 2099 HGH V106,87.86212871962577,32.59275252638619,2114
M37     ,Hartman08 133 ,12.29043856,3451185167854829568,87.8721794125,32.4265857541,0.5006,0.1575,2.5780000000000003,0.31800000000000006,-5.406000000000001,0.262,18.073565,18.828894,17.209423,1.6194706,1.256,0.977,probable-member,6.697,0.742,4665,intermediate,Cl* NGC 2099 HGH V133,87.87216626428628,32.42660903080676,2117
M37     ,Hartman08 140 ,3.61248403,3451173421123564544,87.8753908047,32.4225619406,0.7749,0.0454,1.8560000000000003,0.09400000000000001,-5.744000000000001,0.07700000000000001,15.601611,16.04119,15.004199,1.0369902,1.193,1.0,probable-member,4.214,1.144,6206,bright,Cl* NGC 2099 HGH V140,87.87538133693116,32.42258667225,2118
M37     ,Hartman08 144 ,2.27374461,3451199598946048512,87.8760831865,32.7397830473,1.5125,0.7524,1.6390000000000002,1.3990000000000002,-5.946000000000001,1.1500000000000001,20.366177,21.311634,19.110804,2.2008305,0.676,0.953,probable-member,9.064,0.511,3586,faint,Cl* NGC 2099 HGH V144,87.87607479535255,32.73980864751104,2121
M37     ,Hartman08 161 ,6.81353174,3451191082029079040,87.8825905627,32.4526760641,0.6751,0.0746,1.8810000000000002,0.14,-5.503000000000001,0.11500000000000002,16.36328,16.85481,15.691806,1.1630049,0.424,1.0,probable-member,4.848,1.019,5809,bright,Cl* NGC 2099 HGH V161,87.88258096660233,32.45269975549054,2124
M37     ,Hartman08 164 ,7.16588344,3451197679098316288,87.8829387365,32.6325742743,0.6371,0.0827,1.9180000000000001,0.15700000000000003,-5.630000000000001,0.127,17.029505,17.602295,16.307755,1.2945404,0.203,1.0,probable-member,5.436,0.916,5429,bright,Cl* NGC 2099 HGH V164,87.88292893050824,32.6325985132114,2125
