dr2_source_id,dr3_source_id,n_sectors,period,uncertainty,pdm_period,lsp_period,pdm_power,lsp_power,teff_curtis20,p2p_rms,a_90_10,snr,ra,dec,pmra,pmdec,parallax,radial_velocity,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,phot_bp_mean_mag_0,phot_rp_mean_mag_0,phot_g_mean_mag_0,X,Y,Z,U,V,W,v_l,v_b,in_meingast,in_kerr,in_kc,in_cg,in_jaehnig,in_lodieu,in_moranta,in_heyl,manual_check,flag_quality_period,flag_benchmark_period,in_gyro_sample,flag_nbhr_count
3448544866778118400,3448544866778118400,1,0.843,,1.682,0.843,0.773,0.185,3417.0,6031.14,41485.93,36.31,85.907,33.418,1.544,-58.176,11.048,-5.83,15.937,13.407,14.558,11.149,8.623,9.773,-89.99,6.37,3.35,-7.29,-34.13,-19.91,21.56,-12.483,False,False,True,False,False,False,False,False,f,False,False,False,True
934171231015568000,934171231015568000,1,5.224,,5.224,5.224,0.228,0.729,3521.0,7268.99,38176.36,11.02,118.468,49.855,-7.499,-33.731,5.732,,16.857,14.489,15.604,10.621,8.269,9.38,-147.02,29.01,87.72,,,,26.747,-9.686,False,False,False,False,False,False,False,True,f,False,False,False,True
254409986895937280,254409986895937280,1,3.885,,0.105,3.885,0.792,0.126,5859.0,556.94,1969.51,8.69,69.971,47.431,13.405,-23.458,4.338,-29.49,10.459,9.525,10.08,3.322,2.52,3.009,-211.74,87.51,2.58,5.1,-50.02,-13.57,28.719,-6.047,False,False,False,False,False,False,False,True,f,False,False,False,True
443970258291343872,443970258291343872,2,3.796,,3.796,3.753,0.869,0.12,5799.0,619.17,2411.32,12.9,54.615,52.79,11.349,-13.945,3.18,-29.21,11.419,10.271,10.929,3.144,2.303,2.824,-260.54,171.15,-11.29,-0.66,-49.92,-12.77,25.743,-6.648,False,False,True,False,False,False,False,False,f,False,False,False,True
452320087032817792,452320087032817792,1,1.51,,1.51,1.51,0.267,0.665,3467.0,6034.24,30537.53,18.63,38.477,53.296,32.697,-20.092,6.55,,16.564,14.077,15.228,10.549,8.108,9.248,-112.3,101.07,-17.06,,,,27.34,-4.223,False,True,False,False,False,False,False,False,f,False,False,False,True
462484350477522560,462484350477522560,2,5.833,,0.104,5.833,0.727,0.317,3735.0,5820.29,34155.32,11.65,50.328,60.028,22.397,-24.323,5.556,6.29,16.033,13.901,14.938,9.566,7.514,8.528,-138.34,113.51,7.9,-33.46,-29.08,-13.95,27.177,-7.053,True,True,True,False,False,True,False,False,f,False,False,False,True
3389509338700825472,3389509338700825472,1,1.646,,1.646,1.652,0.434,0.542,3314.0,8942.48,29306.28,10.77,81.337,14.168,2.945,-15.57,11.084,45.56,16.78,14.015,15.227,12.002,9.24,10.451,-86.75,-15.43,-18.23,-53.45,-26.15,-18.88,6.29,-2.48,False,False,True,False,False,False,False,False,f,False,False,False,True
218122048726423808,218122048726423808,1,7.224,,0.104,7.224,0.368,0.46,5077.0,555.64,3973.71,12.16,57.064,34.601,37.786,-41.988,9.266,-0.07,8.542,7.465,8.088,3.337,2.278,2.893,-97.19,36.37,-28.4,-20.08,-39.36,-11.02,28.54,-3.982,False,False,True,False,False,False,False,False,f,False,False,False,True
978170628342390272,978170628342390272,1,7.91,,7.91,7.848,0.414,0.726,3742.0,6018.34,29643.72,7.86,107.523,48.006,-0.893,-33.766,5.593,-3.77,15.991,13.909,14.935,9.668,7.614,8.632,-161.0,30.58,69.34,-16.03,-39.0,-16.5,27.203,-8.489,False,False,False,False,False,False,False,True,f,False,False,False,True
523210102803416832,523210102803416832,3,6.648,,13.807,6.648,0.881,0.125,4426.0,260.76,2494.27,30.14,17.921,63.363,24.976,-8.056,4.944,10.01,8.131,6.679,7.465,1.475,0.074,0.839,-115.95,164.42,2.33,-36.84,-18.05,-12.84,24.354,-5.79,True,False,True,False,False,False,False,False,f,False,False,False,True
444826777848777984,444826777848777984,2,7.121,,14.0,7.121,0.889,0.122,3446.0,10785.52,30521.52,6.84,53.531,53.707,18.11,-29.445,6.067,,17.548,14.894,16.079,11.096,8.612,9.76,-135.39,92.59,-4.91,,,,24.768,-10.479,False,True,False,False,False,False,False,False,f,False,False,False,True
966332152287326080,966332152287326080,1,2.643,,5.279,2.643,0.188,0.66,3869.0,6040.99,64478.42,29.49,100.252,46.364,3.815,-35.687,5.826,-2.54,15.354,13.422,14.397,9.104,7.206,8.17,-159.87,30.39,52.02,-16.24,-39.85,-15.17,28.074,-7.548,False,False,False,False,False,False,False,True,f,False,False,False,True
