dr2_source_id,dr3_source_id,n_sectors,Prot,uncertainty,pdm_period,lsp_period,pdm_power,lsp_power,Teff_Curtis20,p2p_rms,a_90_10,snr,ra,dec,pmra,pmdec,parallax,radial_velocity,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,phot_bp_mean_mag_0,phot_rp_mean_mag_0,phot_g_mean_mag_0,X,Y,Z,U,V,W,v_l,v_b,in_meingast,in_kerr,in_kc,in_cg,in_jaehnig,in_lodieu,in_moranta,in_heyl,manual_check,flag_quality_period,flag_benchmark_period_Andy,in_gyro_sample,flag_nbhr_count,Unnamed: 0,dr2_source_id_supp,dr2_bp_rp,angular_distance,magnitude_difference,ra_supp,dec_supp,parallax_supp,parallax_error,parallax_over_error,pmra_supp,pmdec_supp,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag_supp,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity_supp,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20_fixedreddening,nbhr_count,flag_nbhr_count_supp,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period_supp,flag_in_core,flag_pass_author_quality,flag_benchmark_period
3448544866778118400,3448544866778118400,1,0.843,,1.682,0.843,0.773,0.185,3417.0,6031.14,41485.93,36.31,85.907,33.418,1.544,-58.176,11.048,-5.83,15.937,13.407,14.558,11.149,8.623,9.773,-89.99,6.37,3.35,-7.29,-34.13,-19.91,21.56,-12.483,False,False,True,False,False,False,False,False,f,False,False,False,True,62.0,3.448544866778118e+18,2.541709,0.04875497,-0.027449608,85.90671028088262,33.41819824178981,11.047626027576348,0.025570426,432.047,1.5436303067068684,-58.17591092855018,1.0810151,2325.808,14.557551,426.75958,34391.253353361004,1039.4823,1.4183912,0.0,1.0,0.0,1.0,2.5303087,1.3795328,1.1507759,-5.828545,2.4699574,2.0,10.610578,,,175.95510771903812,1.9787489172052832,86.53127944703213,10.028190937780764,0.0,3494.3503,3488.5789,3501.7358,0.746,0.4911,0.3058,3473.6797,0.0,False,0.027449608,False,9.773896206706976,False,True,False,True,False,False,False,False
934171231015568000,934171231015568000,1,5.224,,5.224,5.224,0.228,0.729,3521.0,7268.99,38176.36,11.02,118.468,49.855,-7.499,-33.731,5.732,,16.857,14.489,15.604,10.621,8.269,9.38,-147.02,29.01,87.72,,,,26.747,-9.686,False,False,False,False,False,False,False,True,f,False,False,False,True,64.0,9.34171231015568e+17,2.358798,0.033014055,-0.023264885,118.46818731945126,49.85524570542954,5.732317289840264,0.04833432,118.59725,-7.498578849012391,-33.73133396368362,0.9469974,708.2449,15.60423,115.12784,12693.677837266465,206.2787,1.4045279,0.0,1.0,0.0,1.0,2.3681688,1.2528658,1.115303,,,,,,,168.85643764490538,30.195414296963047,110.45212842994847,28.417629066881037,0.0,3541.1533,3518.375,3571.679,0.6174,0.4136,0.2504,3583.0742,0.0,False,0.023264885,False,9.39588103231645,False,True,False,True,False,False,False,False
254409986895937280,254409986895937280,1,3.885,,0.105,3.885,0.792,0.126,5859.0,556.94,1969.51,8.69,69.971,47.431,13.405,-23.458,4.338,-29.49,10.459,9.525,10.08,3.322,2.52,3.009,-211.74,87.51,2.58,5.1,-50.02,-13.57,28.719,-6.047,False,False,False,False,False,False,False,True,f,False,False,False,True,66.0,2.5440998689593728e+17,0.9413328,0.13391724,0.004529953,69.97110576036236,47.43053909957101,4.337909730230789,0.02321264,186.87704,13.405173860314896,-23.457553259426582,1.468953,7275.614,10.080303,2881.509,1227447.332467275,5094.5444,1.2134179,0.0,0.0,0.0,0.0,0.93360233,0.37868786,0.5549145,-29.4908,0.75394094,1.0,106.08957,26.897594,7.0167665,157.54878470649274,0.5093960114071348,75.18632527825062,25.016027208924477,1.0,6126.9937,6115.9644,6146.4287,0.5936,0.4997,0.2711,5762.6855,0.0,False,0.004529953,False,3.2667057437262343,True,True,False,True,False,False,False,False
443970258291343872,443970258291343872,2,3.796,,3.796,3.753,0.869,0.12,5799.0,619.17,2411.32,12.9,54.615,52.79,11.349,-13.945,3.18,-29.21,11.419,10.271,10.929,3.144,2.303,2.824,-260.54,171.15,-11.29,-0.66,-49.92,-12.77,25.743,-6.648,False,False,True,False,False,False,False,False,f,False,False,False,True,68.0,4.439702582913439e+17,1.1591349,0.22516957,0.0035600662,54.61450165170808,52.79046357740677,3.1796264037954725,0.01542979,206.07062,11.349120199828516,-13.944827469690953,0.9836354,4524.8984,10.929333,2286.4478,617482.9492238123,4266.9956,1.2334474,0.0,0.0,0.0,0.0,1.1480074,0.4900074,0.658,-29.206501,0.21197174,1.0,73.72833,9.035329,4.016766,146.69875467892322,-2.197305640319896,65.52052628614055,32.31656380370495,0.0,6262.42,6260.028,6264.93,1.0887,0.8984,0.4844,5132.883,0.0,False,0.0035600662,False,3.4412132068159345,False,True,False,True,False,False,False,False
452320087032817792,452320087032817792,1,1.51,,1.51,1.51,0.267,0.665,3467.0,6034.24,30537.53,18.63,38.477,53.296,32.697,-20.092,6.55,,16.564,14.077,15.228,10.549,8.108,9.248,-112.3,101.07,-17.06,,,,27.34,-4.223,False,True,False,False,False,False,False,False,f,False,False,False,True,71.0,4.523200870328178e+17,2.4859314,0.22559923,-0.016870499,38.477426368919545,53.295750853301946,6.550234431627335,0.036435824,179.77457,32.69707316398777,-20.091582958275563,1.2616502,1389.6376,15.228261,301.85678,18550.658915687232,638.96356,1.427329,0.0,3.0,0.0,3.0,2.48693,1.3356657,1.1512642,,,,,,,138.00895657034008,-6.549713123126283,54.67007165226557,35.990249921932275,0.0,3497.7397,3492.3462,3521.809,0.8391,0.5552,0.3406,3504.211,0.0,False,0.016870499,False,9.309545211886046,True,False,False,False,True,False,False,False
462484350477522560,462484350477522560,2,5.833,,0.104,5.833,0.727,0.317,3735.0,5820.29,34155.32,11.65,50.328,60.028,22.397,-24.323,5.556,6.29,16.033,13.901,14.938,9.566,7.514,8.528,-138.34,113.51,7.9,-33.46,-29.08,-13.95,27.177,-7.053,True,True,True,False,False,True,False,False,f,False,False,False,True,73.0,4.6248435047752256e+17,2.1314735,0.13320126,-0.017251015,50.32758605516533,60.0284435852613,5.5563054009774495,0.025804475,215.32332,22.396919797921942,-24.32260551943765,1.0637453,2581.4177,14.938259,401.3025,21821.711961585614,824.35394,1.3590491,0.0,1.0,0.0,1.0,2.132802,1.0952168,1.0375853,6.2919307,3.5313423,2.0,6.369237,,,140.64005056318345,2.414135614495306,65.42444020889019,39.92887830162429,0.0,3928.5784,3885.1875,3945.0188,0.8839,0.6147,0.3475,3758.6992,3.0,True,0.017251015,False,8.662189667817831,False,True,False,True,False,False,False,False
3389509338700825472,3389509338700825472,1,1.646,,1.646,1.652,0.434,0.542,3314.0,8942.48,29306.28,10.77,81.337,14.168,2.945,-15.57,11.084,45.56,16.78,14.015,15.227,12.002,9.24,10.451,-86.75,-15.43,-18.23,-53.45,-26.15,-18.88,6.29,-2.48,False,False,True,False,False,False,False,False,f,False,False,False,True,76.0,3.3895093387008256e+18,2.7541857,0.13302858,-0.026133537,81.33715110641232,14.167934113513748,11.08444387769443,0.034052026,325.51498,2.945439465204497,-15.569745187772655,1.0536389,1169.4298,15.226527,146.07242,19639.293347782037,609.1942,1.4580517,0.0,5.0,0.0,1.0,2.7650843,1.5536375,1.2114468,45.559586,4.407372,2.0,6.703921,,,190.0846104736612,-11.827402191246202,81.49677768210861,-9.016006891252283,0.0,3384.435,3382.9155,3385.853,0.8631,0.5521,0.3593,3369.5312,0.0,False,0.026133537,False,10.450096758178248,False,True,False,True,False,False,False,False
218122048726423808,218122048726423808,1,7.224,,0.104,7.224,0.368,0.46,5077.0,555.64,3973.71,12.16,57.064,34.601,37.786,-41.988,9.266,-0.07,8.542,7.465,8.088,3.337,2.278,2.893,-97.19,36.37,-28.4,-20.08,-39.36,-11.02,28.54,-3.982,False,False,True,False,False,False,False,False,f,False,False,False,True,81.0,2.181220487264238e+17,1.0852556,0.11284286,0.010795593,57.06442526523968,34.60064319910436,9.266356002999592,0.023075359,401.5693,37.78616370517842,-41.98799431739627,1.0114232,6550.942,8.088279,4403.3535,8188795.375513275,4277.666,1.2251065,0.0,15.0,0.0,0.0,1.0768299,0.4533968,0.6234331,-0.06512435,0.13069636,1.0,356.87567,6.137329,1.0800036,159.4726531899945,-15.43919609080688,62.50027242982389,14.252479602485591,0.0,,,,,,,5332.0557,0.0,False,0.010795593,False,2.9228236769183606,False,True,False,True,False,False,False,False
978170628342390272,978170628342390272,1,7.91,,7.91,7.848,0.414,0.726,3742.0,6018.34,29643.72,7.86,107.523,48.006,-0.893,-33.766,5.593,-3.77,15.991,13.909,14.935,9.668,7.614,8.632,-161.0,30.58,69.34,-16.03,-39.0,-16.5,27.203,-8.489,False,False,False,False,False,False,False,True,f,False,False,False,True,83.0,9.781706283423903e+17,2.0662727,0.07617929,-0.009428024,107.5229366137474,48.00613970715446,5.592872504433879,0.028046906,199.41139,-0.8926919789806202,-33.76570995306838,0.9752754,615.4701,14.935191,95.635155,21661.929867819155,248.75555,1.3576595,0.0,3.0,0.0,1.0,2.0826845,1.0561457,1.0265388,-3.7720299,9.026823,2.0,4.541324,,,169.25852204083876,22.78698914809964,102.87954056744398,25.34731617231326,0.0,3835.6328,3832.2463,3841.5164,0.6049,0.4201,0.2394,3816.4785,0.0,False,0.009428024,False,8.673365750627797,False,True,False,True,False,False,False,False
523210102803416832,523210102803416832,3,6.648,,13.807,6.648,0.881,0.125,4426.0,260.76,2494.27,30.14,17.921,63.363,24.976,-8.056,4.944,10.01,8.131,6.679,7.465,1.475,0.074,0.839,-115.95,164.42,2.33,-36.84,-18.05,-12.84,24.354,-5.79,True,False,True,False,False,False,False,False,f,False,False,False,True,85.0,5.232101028034168e+17,1.4627943,0.1413404,0.010829449,17.921069993770793,63.362778413106525,4.943806748200307,0.014545732,339.88022,24.97643740784642,-8.055942194614415,0.8840721,8012.2734,7.4650316,2217.4038,16891984.442076392,2543.4348,1.2613524,0.0,0.0,0.0,0.0,1.4518108,0.665473,0.78633785,10.0097275,0.11991754,1.0,616.7123,7.004414,0.44056395,125.19898977199124,0.5801841742071643,48.49779610795356,49.92721567969675,0.0,,,,,,,4512.6,0.0,False,0.010829449,False,0.9353390537520524,False,True,False,True,False,False,False,False
