NGTS_ID,Gaia_ID,RA,Dec,NGTS_mag,G_mag,BP_mag,RP_mag,Ks_mag,GmK,SpT,mult,amp_data,amp_GP,P_GP,P_GPue,P_GPle,P_LS,P_GACF,method,Prot,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_pass_author_quality,flag_benchmark_period
626,2321422436144254464,00:06:53.699,-28:31:08.255,11.87,12.25,12.64,11.71,10.66,1.59,G8,--,17.78,15.33,5.37994,0.02861,0.02901,5.36998,5.37530,GP,5.37994,2321422436144254464,0.9299999999999997,2321422436144254464,0.2203708,0.0010480881,1.7237875870346318,-28.519087180920067,4.314306649115637,0.012142925,355.29385,19.001441965961675,2.8761013345179904,0.9803129,934.88434,12.24948,352.12357,165711.70614220607,494.266,1.2116431,0,0,0,0,0.92565536,0.3756876,0.54996777,5.849659,0.8160917,1,28.122135,18.411457,31.496613,22.31317516358735,-80.05779115647988,349.31764498793524,-26.651781450942,0,5422.7495,5410.311,5435.4883,0.0745,0.0613,0.0327,5483.507965341511,0,False,0.0010480881,False,5.424035299134774,False,False,False,False,True,True
1221,2333096436428744192,00:01:08.420,-28:36:56.806,11.15,11.49,11.82,11.03,10.2,1.29,G0,--,15.95,20.85,3.03852,0.01165,0.01176,2.97678,3.03410,GP,3.03852,2333096436428744192,0.7900000000000009,2333096436428744192,0.18248916,0.0043535233,0.2851562521454859,-28.615687303931526,4.163822029146939,0.026569538,156.71413,18.467255250231787,2.1295335562404007,1.2014942,1061.0891,11.495463,474.75613,309377.0950984426,671.99536,1.1989826,0,0,0,0,0.7784796,0.3046913,0.47378826,5.609977,0.9614973,1,46.92969,17.829494,9.193834,22.39190858869358,-78.79070809597864,348.00570281692546,-26.17726171777524,0,5839.4087,5796.355,5872.766,0.0417,0.0352,0.0189,5912.551598265493,0,False,0.0043535233,False,4.592924163976541,True,False,False,False,True,True
1283,2333061733093062784,00:03:38.490,-28:37:25.335,11.71,12.07,12.44,11.54,10.57,1.49,G5,--,34.0,34.08,5.02679,0.0269,0.02528,4.95986,5.00120,GP,5.02679,2333061733093062784,0.9000000000000004,2333061733093062784,0.21395619,-0.006828308,0.9105498704409846,-28.623710204969523,4.273252049432987,0.013772972,310.2636,18.46932991455591,2.4672459940762086,0.99285716,1418.4694,12.060509,411.33084,193523.8604114411,586.7512,1.2062693,0,0,0,0,0.88895893,0.35950947,0.52944946,6.2225356,0.9719254,1,36.968304,9.735506,18.07761,22.10083252055927,-79.33696570195009,348.55053922286,-26.42802992739215,0,5492.8965,5484.137,5522.2188,0.0065,0.0053,0.0029,5573.444665210215,0,False,0.006828308,False,5.21430127595325,False,False,False,False,True,True
2442,2321365197116041984,00:09:14.695,-28:47:13.643,15.44,16.01,17.22,14.93,12.57,3.44,M2.5,--,36.83,21.43,2.11056,0.0008,0.0008,2.1117,2.11025,GP,2.11056,2321365197116041984,2.289999999999999,2321365197116041984,0.07865818,-0.020318985,2.311032191496028,-28.787428699691127,4.207122325803122,0.041493338,101.392715,18.722497364723086,2.716733232735047,1.0484387,1219.1965,15.994583,145.72473,8659.986930034438,427.90994,1.3858407,0,1,0,0,2.30653,1.2160492,1.0904808,,,,,,,20.384788270996246,-80.53950337414777,349.70076832668104,-27.121681909583426,0,3346.887,3340.6162,3351.8625,0.231,0.1544,0.0926,3560.5849295246444,0,False,0.020318985,False,9.114508828366828,False,False,False,False,True,True
2895,2333042143747087616,00:04:02.367,-28:51:22.382,15.87,16.39,17.7,15.25,12.83,3.56,M3,--,79.78,65.67,1.64759,0.00035,0.00033,1.64787,1.64900,GP,1.64759,2333042143747087616,2.4499999999999993,2333042143747087616,0.07540994,-0.0122795105,1.010036324287991,-28.85633013237327,4.157282278987776,0.06046757,68.752266,18.544083929316926,2.1937346961152744,1.0447463,1086.0513,16.376144,80.75999,6404.015144414741,275.88907,1.4251776,0,1,0,0,2.4520788,1.3076992,1.1443796,,,,,,,20.79807157597884,-79.39986032677041,348.52226554806396,-26.675176743188082,0,3509.8308,3508.3533,3512.132,0.6738,0.4456,0.2764,3467.540111210168,0,False,0.0122795105,False,9.470191979443088,False,False,False,False,True,True
3201,2321349700873987712,00:07:29.909,-28:53:41.825,14.84,15.45,16.61,14.37,12.09,3.36,M2,c,42.15,38.92,0.32369,5e-05,4e-05,0.32363,0.32364,GP,0.32369,2321349700873987712,2.24,2321349700873987712,0.12570818,-0.019787788,1.874629114784254,-28.895168558502657,4.204150692452439,0.039889947,105.393745,18.832244150614773,3.852775300874266,1.0598806,1116.5995,15.429172,155.46443,14402.308778842103,408.1131,1.3836262,0,0,0,0,2.2414694,1.164113,1.0773563,,,,,,,20.051578106899814,-80.14629115439294,349.2625536585635,-27.047413510227198,0,,,,,,,3593.946801013677,0,False,0.019787788,False,8.547562934046791,False,True,False,True,True,False
3450,2321022630524596736,00:05:56.387,-28:56:10.291,11.01,11.34,11.65,10.89,10.12,1.22,F9,--,21.75,18.67,3.10021,0.01852,0.01888,3.19632,3.14590,GP,3.10021,2321022630524596736,0.7599999999999998,2321022630524596736,0.108611636,0.00198555,1.4851165630817689,-28.93627419658907,4.186108054120419,0.02162868,193.54431,18.834934556810143,2.7636490528789945,1.0739503,1289.2554,11.338227,480.53314,351374.52992000274,705.8998,1.1938634,0,0,0,0,0.7472372,0.29247952,0.4547577,5.2281337,1.128213,1,49.653168,17.874382,22.282944,20.076621705665264,-79.80289729897197,348.8995467222204,-26.932066411446566,0,5889.8394,5887.302,5895.6235,0.0019,0.0016,0.0008,6004.065103706463,0,False,0.00198555,False,4.447279444009027,False,False,False,False,True,True
3723,2321019228910500864,00:06:54.315,-28:58:28.160,13.95,14.42,15.18,13.57,11.76,2.66,K6,--,22.98,20.05,6.98666,0.07929,0.0788,6.92922,6.93060,GP,6.98666,2321019228910500864,1.6099999999999994,2321019228910500864,0.09656617,-0.0036745071,1.7264019116952685,-28.974642334823177,4.185174048414439,0.025647903,163.17802,18.301996323218933,2.8082534757852144,1.0056933,606.4483,14.412207,145.15977,29757.1156466404,174.23465,1.2820544,0,1,0,1,1.6008711,0.75258255,0.84828854,2.507952,3.6890283,2,6.5798826,,,19.697498411282787,-80.00693095713447,349.09237331169226,-27.06061550428584,0,4271.315,4264.551,4277.038,0.3234,0.2387,0.127,4177.700596175013,0,False,0.0036745071,False,7.520774268110314,False,False,False,False,True,True
4124,2320972018629984384,00:06:55.585,-29:01:52.517,12.42,12.91,13.38,12.22,10.77,2.14,K3,c,23.41,21.64,6.93064,0.05036,0.04814,6.88627,6.96600,GP,6.93064,2320972018629984384,1.1600000000000001,2320972018629984384,0.1887825,0.010119438,1.731746471049425,-29.03137237551086,4.186405006842475,0.022187019,188.68713,17.795895331158462,2.2143887635161352,1.2738639,740.6891,12.923096,580.761,103522.5591970133,401.93762,1.2970315,0,33,0,32,1.1485777,0.43579006,0.7127876,4.3394012,2.5134034,2,11.309267,,,19.370116110154147,-80.00351780200924,349.06861534414986,-27.113461845098044,0,5313.6836,5160.33,5386.4453,0.4745,0.3835,0.2063,4885.863444859414,1,True,0.010119438,False,6.032301908814812,True,True,False,True,True,False
4702,2332964632472270592,23:59:05.756,-29:06:36.676,15.5,16.11,17.36,15.01,12.66,3.45,M2.5,--,37.6,21.39,1.26534,0.00054,0.0009,1.26389,1.26493,GP,1.26534,2332964632472270592,2.3499999999999996,2332964632472270592,0.06987826,-0.019098282,359.77401076842847,-29.110222943544404,4.235931120395926,0.04355938,97.24498,18.79412686408846,2.3232724047273225,0.94141793,1364.9707,16.09277,130.08168,8024.467182822608,418.9885,1.3972018,0,13,0,12,2.3455791,1.2396641,1.1059151,,,,,,,20.134856778067746,-78.29664417799145,347.3134497375602,-26.42182849555506,0,3619.8677,3616.8901,3622.9133,0.6106,0.4101,0.2483,3523.3767593947414,0,False,0.019098282,False,9.227514070401151,False,False,False,False,True,True
