Seq,n_Seq,TIC,Gmag,__G-K_0,Per,n_Per,e_Per,Grade,Sect,_RA,_DE,dr2_source_id,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,nbhr_count,flag_nbhr_count,flag_bad_gaiamatch,M_G
17,*a,524500866,16.566,3.723,0.517,n,0.005,A,15,201.06196,57.49073,1565932436033063552,1565932436033063552,0.58847797,0.04186821,201.06182105134468,57.490683641668156,10.320562969853222,0.09466016,109.02753,-17.324875099373152,-8.155800283530073,1.2755277,362.0874,16.5828,65.709885,11766.273786568134,116.83463,2.9537737,0,21,0,22,3.085907,1.0744057,2.0115013,nan,nan,-1,nan,nan,nan,114.34826689335699,59.08744177159614,162.4885110796829,58.270849972719,0,nan,nan,nan,nan,nan,nan,2,True,False,11.651316851458967
17,*a,524500866,16.566,3.723,0.405,n,0.004,A,nan,201.06196,57.49073,1565932436033063552,1565932436033063552,0.58847797,0.04186821,201.06182105134468,57.490683641668156,10.320562969853222,0.09466016,109.02753,-17.324875099373152,-8.155800283530073,1.2755277,362.0874,16.5828,65.709885,11766.273786568134,116.83463,2.9537737,0,21,0,22,3.085907,1.0744057,2.0115013,nan,nan,-1,nan,nan,nan,114.34826689335699,59.08744177159614,162.4885110796829,58.270849972719,0,nan,nan,nan,nan,nan,nan,2,True,False,11.651316851458967
27,*,288454252,15.519,3.93,1.17,n,0.03,A,16/22/23,203.51969,46.64028,1551723103671639808,1551723103671639808,0.13823837,-0.0138196945,203.51956691581566,46.64025541831046,11.12531993224885,0.038424537,289.53687,-19.537926092831455,-6.156297638945443,1.4722006,1406.0386,15.505052,213.87904,16138.007457622707,630.619,1.5331955,0,2,0,0,2.859189,1.582408,1.2767811,1.9512265,5.3059607,2,5.950485,nan,nan,102.41633956704774,68.75287341674257,176.56128317183968,50.90012370597107,0,nan,nan,nan,nan,nan,nan,2,True,False,10.736614157326676
27,*,288454252,15.519,3.93,0.587,n,0.004,A,nan,203.51969,46.64028,1551723103671639808,1551723103671639808,0.13823837,-0.0138196945,203.51956691581566,46.64025541831046,11.12531993224885,0.038424537,289.53687,-19.537926092831455,-6.156297638945443,1.4722006,1406.0386,15.505052,213.87904,16138.007457622707,630.619,1.5331955,0,2,0,0,2.859189,1.582408,1.2767811,1.9512265,5.3059607,2,5.950485,nan,nan,102.41633956704774,68.75287341674257,176.56128317183968,50.90012370597107,0,nan,nan,nan,nan,nan,nan,2,True,False,10.736614157326676
29,*a,1001374231,15.71,3.602,1.97,*,0.08,A,15/16/22,204.02304,58.81558,1662057686768790272,1662057686768790272,0.07821241,-0.034290314,204.0228754579751,58.81556215946556,10.356809932026763,0.032439813,319.26233,-19.372382136932586,-4.496748933801338,1.2291471,852.0494,15.675353,111.58452,13573.604865150215,153.44574,1.5048109,0,0,0,0,2.883996,1.6248007,1.2591953,14.156905,4.7849402,2,4.7660236,nan,nan,112.21609213980841,57.374028020184056,162.74489056385184,60.31485036933223,0,nan,nan,nan,nan,nan,nan,1,True,False,10.751483081011969
30,*a,1001374230,15.444,3.512,0.487,*,0.005,A,15/16/22,204.02392,58.81592,1662057686768790144,1662057686768790144,0.097340524,-0.022704124,204.0237770852934,58.81589457080261,10.234070283829642,0.030367106,337.0117,-16.74120718925411,-5.6825101182188344,1.2587428,1579.2021,15.421317,101.26552,18634.857702696136,71.30517,1.6226511,0,11,0,16,2.9623013,1.6130648,1.3492365,nan,nan,-1,nan,nan,nan,112.21546870142834,57.37356383522605,162.74503872459726,60.3154187598247,0,3407.403,3405.2786,3409.5325,1.125,0.7125,0.4727,1,True,False,10.471559076630236
37,na,288512352,15.273,3.977,0.496,n,0.005,A,16/22/23,205.35055,47.87874,1552233483225261568,1552233483225261568,0.15172547,-0.02607441,205.35041711196996,47.87871667911601,11.482753299487818,0.059476975,193.06216,-20.54460571500598,-9.216264851303375,2.5152862,1664.0468,15.247057,197.51143,20384.468583427217,1176.3988,1.5038912,0,11,0,2,3.019948,1.7475376,1.2724104,nan,nan,-1,nan,nan,nan,101.06934219587528,67.07322124752592,177.01798745547393,52.63146632414633,0,nan,nan,nan,nan,nan,nan,1,True,False,10.54728713281854
38,na,332313010,14.343,3.61,4.23,n,0.37,A,15/16/22/23,205.39718,53.56218,1561672378233017728,1561672378233017728,0.04608853,-0.021793365,205.39703779302997,53.56215895126103,10.573745830135238,0.016812166,628.93414,-18.367209659140936,-4.73164049885615,1.168802,1798.1389,14.321616,322.50296,43492.5358219212,845.57416,1.4310194,0,2,0,2,2.5972614,1.4275036,1.1697578,-0.330776,4.6993055,2,11.330943,nan,nan,106.99834930994031,61.987263664698425,170.86326393000672,57.081567637200315,0,3444.6504,3443.631,3445.7283,0.8375,0.5476,0.3442,0,False,False,9.442760506286916
40,na,310995545,14.387,3.685,0.481,n,0.005,A,16/22,205.56735,48.07972,1552239530539219328,1552239530539219328,0.08375451,-0.021486282,205.56722646828499,48.079699109334236,10.730632827261509,0.022701832,472.67697,-18.355303334498487,-5.830740677427246,1.4190738,1452.9802,14.365506,278.1567,42378.32149183504,657.67725,1.4421245,0,7,0,1,2.652234,1.4667645,1.1854696,-0.770586,3.86788,2,14.006851,nan,nan,101.00195450628082,66.82672366416888,177.01393434503902,52.87935979034953,0,3442.4648,3425.4663,3465.136,0.8926,0.5804,0.3686,0,False,False,9.518632845981745
48,na,165407465,13.281,3.249,0.79,n,0.01,A,16/22/23,206.30495,46.31114,1503770755884281344,1503770755884281344,0.061203253,-0.01611042,206.30482000403407,46.31111695711512,11.586558842323232,0.0123310285,939.6263,-19.357874171441285,-6.026048502369181,1.204145,2073.9045,13.264823,390.86948,107931.45866752155,1217.4706,1.3936914,0,1,0,0,2.3253098,1.2255125,1.0997972,-20.362606,12.456176,1,29.539278,nan,nan,97.46438047415369,68.06767142056154,179.3716048332852,51.73844214907473,0,3612.6494,3605.3643,3622.0066,0.6788,0.4575,0.2747,0,False,False,8.584595317588967
