EPIC,Gaia,2MASS,RAdeg,DEdeg,Prot,C5Prot,C5Power,C5SProt,C5SPower,C5Clean,C5Q,C5Rvar,C5thresh,C5SNR,C16Prot,C16Power,C16SProt,C16SPower,C16Clean,C16Q,C16Rvar,C16thresh,C16SNR,C18Prot,C18Power,C18SProt,C18SPower,C18Clean,C18Q,C18Rvar,C18thresh,C18SNR,QFClean,Multi,Neigh,Harm,LCEvol,Previous,Bin,EPIC_t4,2MASS_t4,RAdeg_t4,DEdeg_t4,pmRA,pmDE,e_pmRA,e_pmDE,plx,e_plx,D,e_D,epsi,sepsi,RUWE,Bp-Rp,Gmag,Ksmag,RVel,e_RVel,Flag,dPM,dCMD-B-R,dCMD-grp,dRV,Multi_t4,AstBin,PhoBin,LitBin,WideBin,Binary,Tail,k2data,Teff,Mass,SpType,Prot_t4,QFClean_t4,Previous_t4,LCEvol_t4,dr3_source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,M_G
211998019,Gaia EDR3 663805754152866688,2MASS J08252503+2013177,126.3543,20.2216,18.32,18.32,0.35,0.51,0.16,1.0,0.0,0.002,0.008,93.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.99,0.18,20.42,0.13,0.0,1.0,0.015,0.01,89.0,1,1,0,1,0,18.55,1,211998019,2MASS J08252503+2013177,126.3543,20.2216,-32.727,-11.974,0.033,0.025,5.266,0.037,189.9,1.32,0.061,0.674,1.087,2.37,15.42,11.93,nan,nan,0,3.31,0.134,0.217,nan,1,1,0,0,0,1,0,1,3505,0.5,M2.5,18.32,1,18.55,0,663805754152866688,126.35411555105567,20.221548839225395,5.265900709302501,0.036632888,143.7479,-32.72679343041739,-11.974371523100814,1.0866117,2093.5923,15.41893,254.49492,15093.986195255353,886.699,1.4068642,0,1,0,3,2.3739386,1.2558937,1.1180449,41.026455,10.805495,2,3.4499125,nan,nan,203.88353319416038,29.37658672907533,123.80122913707288,0.9464240406999087,0,3695.861,3686.5115,3707.3872,0.7855,0.5275,0.3203,9.026293383952599
212019518,Gaia EDR3 663890171733055488,2MASS J08285400+2034416,127.225,20.57822,23.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.83,0.27,-9999.0,-9999.0,1.0,0.0,0.001,0.007,374.0,nan,nan,nan,nan,nan,nan,0.001,nan,nan,1,0,0,0,0,nan,1,212019518,2MASS J08285400+2034416,127.225,20.57822,-33.666,-16.601,0.017,0.013,5.619,0.017,177.97,0.55,0.081,8.993,1.158,1.51,12.36,9.82,44.0,7.13,0,4.32,0.954,0.968,9.0,0,1,1,0,0,1,0,1,4336,0.9,K5.5,23.83,1,nan,0,663890171733055488,127.22481717185988,20.578136998622952,5.619048695721571,0.017253153,325.68243,-33.6655609334792,-16.601457831042538,1.1578668,5116.539,12.363141,1576.5831,189245.12528722908,2786.221,1.2673483,0,0,0,0,1.5051012,0.69729424,0.80780697,45.549118,5.894593,1,34.566387,45.117985,10.1339,203.82508562260256,30.2657370927865,124.5090134627988,1.487192527779041,0,4339.469,4336.1377,4342.6104,0.1714,0.1279,0.0676,6.1114550388154925
211889082,Gaia EDR3 662291383044141824,2MASS J08295706+1834000,127.48777,18.56668,12.37,12.37,0.55,5.67,0.14,1.0,0.0,0.015,0.008,139.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.87,0.69,5.39,0.07,1.0,0.0,0.023,0.012,135.0,1,1,0,0,1,12.37,1,211889082,2MASS J08295706+1834000,127.48777,18.56668,-33.356,-12.913,0.047,0.036,5.573,0.048,179.42,1.56,0.33,40.26,2.1,2.19,14.66,11.3,nan,nan,0,2.54,0.318,0.401,nan,1,1,0,0,1,1,0,1,3602,0.6,M1.5,12.37,1,12.37,1,662291383044141824,127.48762418413952,18.566634820877173,5.573446638992111,0.048374556,115.214424,-33.35590185943501,-12.913110131394298,2.0999932,1169.1768,14.6616125,276.90524,29042.699567473366,478.906,1.3874372,0,0,1,0,2.192048,1.120739,1.0713091,41.453705,6.4714437,2,11.331454,nan,nan,206.09955261667918,29.786403567357286,125.23490270070123,-0.40506235881330027,0,3659.8455,3638.2124,3671.4707,0.5454,0.3729,0.2189,8.39223174810218
212009427,Gaia EDR3 663140171661012480,2MASS J08312987+2024374,127.87448,20.41041,1.55,1.56,0.92,0.78,0.03,1.0,0.0,0.022,0.008,183.0,1.55,0.89,0.78,0.03,1.0,0.0,0.025,0.008,172.0,1.55,0.81,0.78,0.02,1.0,0.0,0.064,0.012,178.0,1,0,0,0,0,1.55,1,212009427,2MASS J08312987+2024374,127.87448,20.41041,-34.448,-13.36,0.021,0.015,5.434,0.019,184.02,0.66,0.0,0.0,1.08,2.03,13.99,10.77,nan,nan,0,1.52,0.665,0.628,nan,0,0,1,0,0,1,0,1,3749,0.7,M1,1.55,1,1.55,0,663140171661012480,127.87430358666995,20.410364008210834,5.434233003065411,0.01941475,279.90228,-34.44830979797944,-13.359666222305432,1.0798485,909.1928,13.990405,206.62787,50925.35524839106,374.56607,1.3503147,0,0,0,0,2.0302038,1.020359,1.0098448,55.29411,5.333926,2,15.22463,nan,nan,204.2513792242947,30.77898279461509,125.140127653329,1.471961862027337,0,4044.0813,4033.6602,4048.6838,0.7691,0.5395,0.3073,7.666096361113603
212045786,Gaia EDR3 665426846608828928,2MASS J08313281+2101280,127.88674,21.02445,9.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.57,0.79,4.76,0.16,1.0,0.0,0.047,0.007,186.0,nan,nan,nan,nan,nan,nan,0.096,nan,nan,1,0,0,0,0,9.64,1,212045786,2MASS J08313281+2101280,127.88674,21.02445,-34.075,-13.872,0.032,0.024,5.397,0.031,185.29,1.05,0.15,13.39,1.531,1.72,13.93,11.12,nan,nan,0,2.07,0.017,-0.019,nan,0,0,0,0,1,1,0,1,3996,0.6,K8,9.57,1,9.64,0,665426846608828928,127.88658873165656,21.02435538527077,5.39694358463509,0.030689098,175.85866,-34.07521963436694,-13.871965476505192,1.5308992,1214.6753,13.931628,302.35605,48462.231511948376,425.6868,1.3007376,0,0,0,0,1.7232809,0.8260393,0.8972416,35.38702,3.891984,2,12.371804,nan,nan,203.58357642808622,30.99965498327529,125.00116847783984,2.0701477979169605,1,nan,nan,nan,nan,nan,nan,7.592367618829428
211898294,Gaia EDR3 662633228081183872,2MASS J08324972+1842062,128.20718,18.70175,18.21,18.21,0.59,8.3,0.16,1.0,0.0,0.002,0.008,401.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.09,0.28,5.39,0.08,1.0,1.0,0.004,0.014,394.0,1,0,0,0,1,17.81,1,211898294,2MASS J08324972+1842062,128.20718,18.70175,-34.076,-12.17,0.018,0.012,5.364,0.017,186.44,0.59,0.048,2.549,1.024,1.39,12.38,10.06,38.39,2.6,0,1.96,0.713,0.745,3.39,0,0,1,0,0,1,0,1,4525,0.9,K4.5,18.21,1,17.81,1,662633228081183872,128.20700625332148,18.701699153052562,5.363839977932667,0.017094404,313.77756,-34.07593006649068,-12.169697796853594,1.0235454,3730.5234,12.377144,1189.7697,178129.6210658199,1901.1401,1.2499176,0,0,0,0,1.3877535,0.6316652,0.75608826,36.71347,3.6622362,1,31.246876,26.04364,8.645655,206.23817282941988,30.470905155620567,125.86300203120113,-0.10771348550118029,0,4550.9297,4542.0044,4558.6235,0.1639,0.1246,0.065,6.024522924126597
211923569,Gaia EDR3 662661540505500160,2MASS J08331440+1904364,128.31001,19.07679,15.65,15.65,0.85,7.44,0.03,1.0,0.0,0.019,0.008,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.11,0.54,5.23,0.02,1.0,1.0,0.02,0.014,88.0,1,0,0,0,0,15.57,0,211923569,2MASS J08331440+1904364,128.31001,19.07679,-33.528,-12.718,0.037,0.031,5.308,0.036,188.41,1.28,0.089,1.181,1.102,2.29,15.45,12.09,nan,nan,0,2.38,-0.129,-0.114,nan,0,0,0,0,0,0,0,1,3536,0.5,M2,15.65,1,15.57,0,662661540505500160,128.30983838772445,19.07673781165812,5.3074669851032645,0.036125995,146.91545,-33.52835532893346,-12.718418068770319,1.1021917,1764.1711,15.448019,239.57805,14311.267952734173,607.6474,1.3883792,0,2,0,1,2.2882156,1.1988964,1.0893192,25.239595,10.106371,2,4.3284035,nan,nan,205.87174933217003,30.695875517284165,125.86492359386891,0.2797351263673936,0,3680.465,3674.8606,3686.1511,0.6529,0.442,0.2634,9.07245553438053
212034371,Gaia EDR3 664625302630788608,2MASS J08355696+2049346,128.98734,20.8263,1.22,1.21,0.37,-9999.0,-9999.0,1.0,0.0,0.012,0.009,552.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.22,0.13,-9999.0,-9999.0,1.0,0.0,0.06,0.011,532.0,1,0,0,0,0,1.21,1,212034371,2MASS J08355696+2049346,128.98734,20.8263,-35.56,-14.211,0.02,0.015,5.324,0.019,187.85,0.67,0.098,14.5,0.897,1.0,11.64,9.83,32.34,7.76,0,1.35,0.192,0.378,2.66,0,0,1,1,0,1,0,1,5237,1.0,K0.5,1.22,1,1.21,0,664625302630788608,128.9871150226711,20.826251463129406,5.323526676549206,0.019121679,278.40268,-35.55976878084927,-14.211436452853569,0.89686835,1146.5804,11.636927,239.41348,305526.02094693476,380.35855,1.2349243,0,37,0,37,1.0003843,0.39873314,0.6016512,34.104748,6.002735,1,36.815353,nan,nan,204.20985928869007,31.89991277715093,126.04686511758786,2.1325608685653443,0,5671.387,5654.0527,5683.6675,0.3888,0.3204,0.171,5.267923824438487
211933636,Gaia EDR3 662768914687563776,2MASS J08360898+1913481,129.03743,19.23003,18.89,18.89,0.79,6.36,0.01,1.0,0.0,0.009,0.008,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.88,0.44,9.34,0.34,0.0,0.0,0.021,0.011,89.0,1,0,0,1,1,18.21,0,211933636,2MASS J08360898+1913481,129.03743,19.23003,-35.023,-13.211,0.047,0.03,5.493,0.05,182.05,1.67,0.0,0.0,0.939,2.34,15.47,12.04,nan,nan,0,0.93,-0.102,-0.096,nan,0,0,0,0,0,0,0,1,3519,0.5,M2.5,18.89,1,18.21,1,662768914687563776,129.03722785773323,19.22995147831003,5.492878688358722,0.05025532,109.299446,-35.02278811183794,-13.211240605619796,0.9385614,1397.3497,15.466321,161.4822,14223.73329562762,601.87805,1.3927557,0,1,0,1,2.3365946,1.2356348,1.1009598,37.293293,13.048645,2,2.7755208,nan,nan,205.9887040436188,31.392705714834918,126.49241581942053,0.5989379058538443,0,3599.8008,3590.8972,3608.3958,0.661,0.4449,0.2673,9.165321029624753
211955417,Gaia EDR3 662784307849089536,2MASS J08364957+1933230,129.20655,19.55641,11.61,12.02,0.75,5.66,0.05,1.0,0.0,0.019,0.01,251.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.22,0.85,5.45,0.05,1.0,0.0,0.021,0.011,253.0,1,1,0,0,0,12.23,1,211955417,2MASS J08364957+1933230,129.20655,19.55641,-38.439,-13.608,0.085,0.066,5.172,0.087,193.36,3.23,0.62,204.9,2.076,1.9,13.8,10.29,nan,nan,0,2.64,0.63,6.221,nan,1,1,1,0,1,1,0,1,3840,0.8,M0,11.61,1,12.23,0,662784307849089536,129.20634695588996,19.556216849846603,5.171824920802242,0.08651705,59.7781,-38.43905487446853,-13.607729017703196,2.0763626,662.9311,13.803733,80.05618,86683.41211020977,96.164764,1.9891189,0,33,0,32,1.8952999,0.49462223,1.4006777,33.95286,5.3220944,2,6.7655277,nan,nan,205.69604793623566,31.65664618083133,126.56494333649411,0.954799627019751,0,nan,nan,nan,nan,nan,nan,7.37195194452779
