EPIC,Gaia,2MASS,RAdeg,DEdeg,Prot,C5Prot,C5Power,C5SProt,C5SPower,C5Clean,C5Q,C5Rvar,C5thresh,C5SNR,C16Prot,C16Power,C16SProt,C16SPower,C16Clean,C16Q,C16Rvar,C16thresh,C16SNR,C18Prot,C18Power,C18SProt,C18SPower,C18Clean,C18Q,C18Rvar,C18thresh,C18SNR,QFClean,Multi,Neigh,Harm,LCEvol,Previous,Bin,EPIC_t4,2MASS_t4,RAdeg_t4,DEdeg_t4,pmRA,pmDE,e_pmRA,e_pmDE,plx,e_plx,D,e_D,epsi,sepsi,RUWE,Bp-Rp,Gmag,Ksmag,RVel,e_RVel,Flag,dPM,dCMD-B-R,dCMD-grp,dRV,Multi_t4,AstBin,PhoBin,LitBin,WideBin,Binary,Tail,k2data,Teff,Mass,SpType,Prot_t4,QFClean_t4,Previous_t4,LCEvol_t4,dr3_source_id,source_id,dr2_source_id,angular_distance,magnitude_difference,proper_motion_propagation,abs_magnitude_difference,dr2_bp_rp,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,Teff_Curtis20,nbhr_count,flag_nbhr_count,M_G
211593813,Gaia EDR3 653781747161312512,2MASS J08130630+1427235,123.27625,14.45653,15.57,15.57,0.61,7.87,0.12,1.0,0.0,0.005,0.008,129.0,,,,,,,,,,,,,,,,0.012,,,1,0,0,0,1,,0,211593813,2MASS J08130630+1427235,123.27625,14.45653,-27.816,-9.07,0.028,0.017,4.942,0.025,202.36,1.0,0.0,0.0,1.047,1.96,14.67,11.6,,,0,8.95,0.028,-0.052,,0,0,0,0,0,0,1,1,3804,0.6,M0.5,15.57,1,,1,653781747161312512,6.537817471613125e+17,6.537817471613125e+17,0.07042243,-0.017830849,True,0.017830849,2.8397722,123.27609905787138,14.45646730366398,4.941628253869705,0.02454136,201.35919,-27.815977573782632,-9.069736064053634,1.046875,3372.2576,14.671682,479.25604,26480.673257633076,980.97406,1.3331956,0,5,0,0,1.9610434,0.97993374,0.9811096,44.381977,5.072803,2,7.29879,,,208.63732196712232,24.48597928889867,122.24994653091221,-5.335194566134817,0,,,,,,,False,3274.0312,0,False,8.141032714913674
211687388,Gaia EDR3 655617072585794560,2MASS J08132978+1544434,123.37409,15.74541,11.92,11.93,0.83,6.04,0.07,1.0,0.0,0.015,0.008,262.0,,,,,,,,,,12.79,0.47,5.72,0.07,1.0,1.0,0.01,0.011,254.0,1,0,0,0,1,,1,211687388,2MASS J08132978+1544434,123.37409,15.74541,-31.54,-10.24,0.019,0.015,5.165,0.019,193.61,0.71,0.056,2.557,1.134,1.38,13.18,10.83,44.23,9.48,0,5.11,-0.047,-0.005,9.23,0,1,0,0,0,1,0,1,4543,0.7,K4.5,11.92,1,,1,655617072585794560,6.556170725857946e+17,6.556170725857946e+17,0.058958102,-0.011985779,True,0.011985779,0.7495012,123.37390877288178,15.7453276480926,5.164959025734297,0.018893247,273.37595,-31.540147507955346,-10.240231734695119,1.1342623,2854.1677,13.177042,681.0498,84992.83782649267,897.5565,1.2501229,0,0,0,0,1.3764915,0.62388897,0.7526026,41.173355,1.6714096,2,14.260004,,,207.37464376807827,25.082576789430895,122.0588190546344,-4.056994799026012,0,4567.9756,4530.0786,4585.936,0.1576,0.1201,0.0627,False,6040.543,0,False,6.742376410230701
211960425,Gaia EDR3 669553515609864704,2MASS J08134619+1937525,123.44246,19.63128,0.86,0.86,0.06,24.61,0.06,0.0,1.0,0.025,0.008,25.0,,,,,,,,,,,,,,,,0.06,,,0,0,0,0,0,,0,211960425,2MASS J08134619+1937525,123.44246,19.63128,-27.773,-11.799,0.138,0.097,4.676,0.133,213.84,6.09,0.181,0.408,1.013,3.02,17.87,13.79,,,0,8.2,0.062,0.46,,0,0,0,0,0,0,1,1,3158,0.3,M4,0.86,0,,0,669553515609864704,6.695535156098647e+17,6.695535156098647e+17,0.12789662,-0.03154564,True,0.03154564,0.8702202,123.44234428332881,19.631196678220523,4.676306495924268,0.13319905,35.107655,-27.772570370550962,-11.79851644690947,1.0134972,642.53644,17.865131,16.619059,1867.396203965753,159.34975,1.5353591,0,4,0,1,3.0244446,1.7291183,1.2953262,,,,,,,203.40275206043518,26.60861082220131,121.26989333546801,-0.2513500237165888,0,,,,,,,False,5669.4956,0,False,11.214646218602297
211813482,Gaia EDR3 657043414045814528,2MASS J08141796+1730283,123.57486,17.50788,27.54,27.54,0.73,10.29,0.02,1.0,0.0,0.009,0.008,78.0,,,,,,,,,,,,,,,,0.019,,,1,0,0,0,0,,0,211813482,2MASS J08141796+1730283,123.57486,17.50788,-29.535,-12.995,0.047,0.033,6.887,0.053,145.2,1.11,0.067,0.542,1.013,2.56,15.7,12.16,,,0,6.37,-0.186,-0.153,,0,0,0,0,0,0,1,1,3355,0.4,M3,27.54,1,,0,657043414045814528,6.570434140458145e+17,6.570434140458145e+17,0.08878877,-0.028313637,True,0.028313637,1.4665613,123.57469912806843,17.50780854261511,6.8868595031103315,0.052675717,130.74069,-29.535044722835018,-12.99482288537697,1.0134463,1454.3424,15.697168,141.55318,12157.67676267312,590.12286,1.4259107,0,3,0,1,2.5647955,1.4033966,1.1613989,,,,,,,205.65408005081443,25.938268326563904,121.85889323453617,-2.2953175604966494,0,3510.8328,3508.2666,3513.6365,0.8228,0.5396,0.3375,False,4358.9277,0,False,9.88727446599844
211690043,Gaia EDR3 655606489786539136,2MASS J08143531+1546521,123.64714,15.78114,17.47,17.47,0.43,8.44,0.35,0.0,0.0,0.004,0.008,138.0,,,,,,,,,,,,,,,,0.009,,,1,0,0,1,1,,1,211690043,2MASS J08143531+1546521,123.64714,15.78114,-28.948,-10.451,0.025,0.016,5.604,0.023,178.43,0.73,0.0,0.0,1.042,1.94,14.56,11.52,,,0,7.37,-0.174,-0.261,,0,1,0,0,0,1,0,1,3813,0.5,M0.5,17.47,1,,1,655606489786539136,6.556064897865391e+17,6.556064897865391e+17,0.030287657,-0.017810822,True,0.017810822,0.82912445,123.64698497953052,15.781080337049383,5.604294324025045,0.023038363,243.25923,-28.94771105926042,-10.451346098158641,1.0417838,2847.6096,14.564494,459.95462,29042.868392589837,1058.078,1.3293326,0,1,0,0,1.9440947,0.9698973,0.9741974,-6.30228,3.4534216,2,8.030522,,,207.4517842136782,25.338456655469777,122.30791722850543,-3.9642630977633506,0,,,,,,,False,5796.6353,0,False,8.307098809554141
211761307,Gaia EDR3 656149304932599808,2MASS J08171969+1645598,124.33208,16.76662,17.42,8.71,0.35,16.42,0.24,0.0,0.0,0.003,0.007,95.0,,,,,,,,,,,,,,,,0.006,,,1,0,0,1,1,,0,211761307,2MASS J08171969+1645598,124.33208,16.76662,-25.465,-8.982,0.038,0.026,4.298,0.035,232.66,1.87,0.08,1.219,1.088,2.09,15.32,12.12,,,0,11.15,-0.018,-0.08,,0,0,0,0,0,0,1,1,3698,0.5,M1,17.42,1,,1,656149304932599808,6.561493049325998e+17,6.561493049325998e+17,0.018523162,-0.019407272,True,0.019407272,0.86596775,124.33194433712276,16.766564472096928,4.29806930994348,0.034506805,124.55715,-25.46531646680682,-8.981911617291495,1.0880737,2569.564,15.317301,337.17862,15220.777395788107,842.7973,1.3540728,0,0,0,0,2.0917835,1.0662861,1.0254974,3.8458192,7.1369944,2,4.4224205,,,206.7241845104497,26.325687268499934,122.73012084115007,-2.857071933535443,0,3946.8318,3935.9893,3952.1873,0.7122,0.4963,0.2838,False,5682.59,0,False,8.483667869367451
211977115,Gaia EDR3 663570183787134336,2MASS J08174411+1953132,124.4338,19.88701,26.11,26.11,0.56,12.27,0.21,1.0,0.0,0.007,0.009,66.0,,,,,,,,,,,,,,,,0.016,,,1,0,0,0,0,,1,211977115,2MASS J08174411+1953132,124.4338,19.88701,-29.931,-12.882,0.049,0.035,5.055,0.053,197.82,2.06,0.114,1.06,1.061,2.52,16.16,12.62,,,0,5.97,-0.105,0.045,,0,1,0,0,0,1,0,1,3386,0.4,M3,26.11,1,,0,663570183787134336,6.635701837871343e+17,6.635701837871343e+17,0.04244304,-0.018070221,True,0.018070221,0.73242855,124.43362459547792,19.886937706216088,5.055005519667942,0.052524712,96.24052,-29.93102372282678,-12.881627342133179,1.0607967,1539.261,16.156013,134.15616,7960.975735223993,621.82684,1.4328454,0,2,0,3,2.5216274,1.3610935,1.1605339,,,,,,,203.51253629393472,27.570992728660567,122.12272097850887,0.2051810950601337,0,3461.9968,3458.454,3464.885,0.6597,0.4338,0.2717,False,6090.921,0,False,9.674621659482792
211592804,Gaia EDR3 652212469190268928,2MASS J08174779+1426323,124.44916,14.44232,25.45,25.45,0.8,-9999.0,-9999.0,1.0,0.0,0.015,0.009,54.0,,,,,,,,,,,,,,,,0.03,,,1,0,0,0,0,,0,211592804,2MASS J08174779+1426323,124.44916,14.44232,-27.522,-8.36,0.069,0.045,4.653,0.067,214.93,3.08,0.0,0.0,0.994,2.59,16.53,12.94,,,0,9.53,-0.108,-0.015,,0,0,0,0,0,0,1,1,3336,0.4,M3,25.45,1,,0,652212469190268928,6.522124691902689e+17,6.522124691902689e+17,0.106775425,-0.024986267,True,0.024986267,0.76196766,124.44901443570541,14.442307776638923,4.652581846133439,0.06663568,69.821175,-27.52228604955221,-8.35983494940684,0.9943839,1113.9724,16.534348,98.940475,5682.188242206185,434.20895,1.4361049,0,2,0,1,2.5908947,1.4181538,1.1727409,,,,,,,209.15221422380526,25.521610560536615,123.3650413947643,-5.0962117775488,0,3432.0884,3426.3523,3444.6086,0.7491,0.4879,0.3099,False,6003.1377,0,False,9.872817643098566
211635844,Gaia EDR3 652408491498497280,2MASS J08184994+1502228,124.7081,15.03969,19.5,19.51,0.87,6.49,0.01,1.0,0.0,0.021,0.009,57.0,,,,,,,,,,,,,,,,0.044,,,1,0,0,0,0,,0,211635844,2MASS J08184994+1502228,124.7081,15.03969,-29.573,-9.702,0.054,0.038,4.996,0.053,200.16,2.13,0.0,0.0,0.981,2.68,16.4,12.62,,,0,7.09,0.166,0.21,,0,0,0,0,0,0,1,1,3272,0.4,M3.5,19.5,1,,0,652408491498497280,6.524084914984973e+17,6.524084914984973e+17,0.059519973,-0.021778107,True,0.021778107,0.9097233,124.70796774788592,15.039651883580879,4.995936939696466,0.053239528,93.83887,-29.572848006505588,-9.702223444192583,0.9811698,1075.6016,16.397373,75.38878,6555.317352294831,431.44156,1.4447572,0,1,0,0,2.6794853,1.4885235,1.1909618,,,,,,,208.65362717905944,25.988390994576914,123.47401650934793,-4.457665425930305,0,3414.365,3410.6294,3418.9565,0.7701,0.4973,0.3208,False,5549.089,0,False,9.890457939131615
211576111,Gaia EDR3 652026136329044736,2MASS J08194638+1412297,124.94326,14.20826,15.57,15.57,0.72,7.01,0.01,1.0,0.0,0.003,0.009,144.0,,,,,,,,,,,,,,,,0.007,,,1,0,0,0,0,,0,211576111,2MASS J08194638+1412297,124.94326,14.20826,-27.171,-7.629,0.024,0.018,4.42,0.021,226.25,1.06,0.0,0.0,1.015,1.78,14.49,11.61,,,0,10.2,0.031,-0.035,,0,0,0,0,0,0,1,1,3939,0.6,K9,15.57,1,,0,652026136329044736,6.520261363290447e+17,6.520261363290447e+17,0.023358008,-0.014740944,True,0.014740944,0.85789585,124.9431589203429,14.208220527379751,4.419796934591177,0.02084977,211.983,-27.171179342774618,-7.628913588180129,1.0147755,4826.864,14.486419,633.45154,29584.21094388199,1627.2498,1.3058641,0,2,0,1,1.7806654,0.8644924,0.916173,32.858704,3.2698019,2,8.779279,,,209.60257455825226,25.867053284908113,123.88661239772489,-5.215321842411404,0,4263.961,4249.4814,4276.7607,0.6117,0.4445,0.2398,False,5707.503,0,False,7.713430305859349
