Seq,f_Seq,Source,RA_ICRS,DE_ICRS,GBP-GRP,Teff,Gmag,gmag_lc,Prot,Note,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_pass_author_quality,flag_benchmark_period
1, ,3198972700981234048,04 22 31.5,-07 33 03.2,0.432,7187,8.903,2.802,0.52,Warm ,3198972700981234048,0.432,3198972700981234048,0.06049137,0.0076990128,65.63128230883834,-7.550894923656239,6.22792095511195,0.019378984,321.375,-9.881476401065889,-7.486483841095714,0.9219642,4167.9204,8.910613,1710.0841,2790413.7691525253,2768.2249,1.1750604,0,31,0,39,0.42652702,0.14963818,0.27688885,21.804201,0.5452734,1,103.62712,55.159496,3.1517916,201.71569335516816,-36.418958385092964,62.21317635426412,-28.66973608591326,0,7144.6743,7137.7944,7153.085,0.0053,0.0048,0.0026,,0,False,0.0076990128,False,2.882328519284849,False,True,False,True,True,False
2, ,5181474045115843072,03 10 47.3,-06 34 29.8,0.446,7161,8.562,2.954,0.87,Warm ,5181474045115843072,0.446,5181474045115843072,0.08867749,0.00910759,47.697095503511306,-6.57493616943283,7.627479922634417,0.032717958,233.12825,-0.6899400232333391,-6.378080886049671,1.0805563,1543.2336,8.571576,525.40466,3849951.16634986,847.7522,1.1769592,0,0,0,0,0.4427185,0.15540028,0.28731823,20.571976,1.1880543,1,124.93564,47.85376,2.2540338,187.49685817140067,-51.06745407578371,43.230894621281664,-23.41036326056492,0,7082.03,7076.208,7088.3228,0.0027,0.0024,0.0013,,0,False,0.00910759,False,2.983481484210218,False,True,False,True,True,False
3, ,2516948215250061568,02 20 22.6,+05 52 59.1,0.597,6622,9.183,3.534,0.82,Warm ,2516948215250061568,0.597,2516948215250061568,0.04759673,0.008004189,35.094028468870754,5.883069113773628,7.4763805247308435,0.0161747,462.22684,4.000975787460032,-16.951409762700447,1.0280943,4529.29,9.191337,2226.681,2354341.1654600273,2530.4116,1.1874206,0,0,0,0,0.59006023,0.21694565,0.3731146,20.343233,0.96469086,1,92.377556,,,159.3033803090701,-50.60006434985665,34.79036942922456,-7.66870665900692,0,6471.7227,6469.119,6477.2534,0.0015,0.0013,0.0007,6395.302029929903,0,False,0.008004189,False,3.559793619375993,False,False,False,False,True,True
4, ,3245408684793798528,04 02 15.4,-05 53 48.2,0.604,6573,9.425,3.513,0.56,Conv.,3245408684793798528,0.604,3245408684793798528,0.051749606,0.007320404,60.56418522436799,-5.8967199476378225,6.632036463518333,0.0155225545,427.25162,-6.644970692981356,-5.999653411210981,1.0224341,5206.9336,9.432089,2664.0469,1892017.768508176,3427.8027,1.1875308,0,0,0,0,0.5966511,0.22014427,0.3765068,18.664766,1.2836393,1,121.4704,106.29611,5.0917687,196.7293122631281,-39.98565246365254,57.041271479457336,-26.0306415417877,0,6557.9077,6547.6196,6568.4756,0.0408,0.0356,0.0192,6381.3857057575315,0,False,0.007320404,False,3.5403233786184387,False,False,False,False,True,True
5, ,6628071944405827712,22 36 31.1,-21 35 06.0,0.647,6320,8.967,3.835,0.94,Conv.,6628071944405827712,0.647,6628071944405827712,0.10788646,0.016515732,339.1297480751391,-21.5849863304466,9.36720960178012,0.019966273,469.15164,31.417762535803362,-4.96099969615711,1.055121,2191.8816,8.983912,731.42737,2929213.2372871386,1004.0591,1.1912917,0,0,0,0,0.6431875,0.2402935,0.40289402,12.541101,0.65710557,1,128.90627,,,35.72854804889584,-58.87199029022387,332.60559017817866,-11.87356444105054,0,6312.3027,6260.416,6416.042,0.0308,0.0266,0.0143,6283.985004619898,0,False,0.016515732,False,3.8419636587716504,False,False,False,False,True,True
6, ,2988966044497883392,05 22 51.9,-11 47 47.8,0.648,6487,10.345,3.688,0.79,Conv.,2988966044497883392,0.648,2988966044497883392,0.08795536,0.0030508041,80.71605886642537,-11.796596698945713,4.816677439696265,0.015068171,319.65906,-11.406141502153373,-2.0953563155414345,0.98537344,2769.9673,10.34771,1138.1562,832663.4431900028,1478.7861,1.189631,0,1,0,0,0.6423836,0.24139595,0.40098763,21.46924,1.501721,1,117.77238,97.449104,10.617998,213.79791536131367,-24.935342135065756,78.90129528667714,-34.87887589557365,0,6250.773,6246.3755,6258.588,0.0035,0.003,0.0016,6281.506341938118,0,False,0.0030508041,False,3.761447474368879,False,False,False,False,True,True
7, ,2456987757379368064,01 32 34.4,-12 51 09.7,0.654,6259,9.043,3.865,1.24,Conv.,2456987757379368064,0.654,2456987757379368064,0.06714218,0.009000778,23.143395450819426,-12.852693670616276,9.291217772171613,0.017618971,527.34174,12.332484520946464,-3.968697189411056,1.0601606,4505.695,9.051681,1918.6986,2757403.1150665237,2877.496,1.1912253,0,0,0,0,0.6477051,0.2426691,0.40503597,21.771322,0.61782366,1,137.98537,47.060093,3.274541,158.94553430859207,-72.78129116539202,16.354887445324497,-20.886158595961806,0,6244.836,6243.084,6247.778,0.0011,0.0009,0.0005,6266.457292917554,0,False,0.009000778,False,3.892043761906713,False,False,False,False,True,True
8, ,3186195241994234880,04 43 02.6,-07 53 54.5,0.655,6206,9.999,3.766,1.71,Conv.,3186195241994234880,0.655,3186195241994234880,0.08110915,0.0060796738,70.7608024305935,-7.898487176000749,5.855857231744291,0.02379901,246.05466,-9.819656813154266,-4.750623399564564,1.2842388,3479.2983,10.004718,1975.8512,1145553.995627385,2139.9683,1.1900767,0,0,0,0,0.64847183,0.24411106,0.40436077,20.701023,0.7175701,1,93.600174,26.274773,3.2421381,204.94709775817321,-32.07946970933475,67.88929711963455,-29.872899342608115,0,6226.4326,6222.1577,6234.9463,0.0035,0.003,0.0016,6263.920282038284,0,False,0.0060796738,False,3.842670226332068,True,False,False,False,True,True
9, ,2988096919213031808,05 02 35.2,-12 31 20.4,0.661,6387,10.28,3.869,0.91,Conv.,2988096919213031808,0.661,2988096919213031808,0.09265205,0.003320694,75.64684513726742,-12.522332343848435,5.280088599241718,0.013967156,378.03604,-9.843529867998646,-4.194394943822424,0.80994177,2025.9867,10.283725,802.6408,887236.4322656203,1147.2114,1.1889763,0,0,0,0,0.65376186,0.2478342,0.40592766,19.113035,1.2874334,1,100.57589,50.870075,7.6274095,212.23298255207672,-29.74700733470968,72.79329774418831,-35.108200177789236,0,6304.2236,6298.8647,6310.903,0.0183,0.0158,0.0085,6248.531695881875,0,False,0.003320694,False,3.8969308348676233,False,False,False,False,True,True
10, ,2987729922847457280,05 07 09.2,-13 34 07.7,0.668,6240,10.156,3.896,0.97,Conv.,2987729922847457280,0.668,2987729922847457280,0.14483155,0.0065336227,76.78824153084906,-13.568798165443004,5.639923786698072,0.01606074,351.16217,-12.330787089447805,-2.8758912762878204,1.1341764,2318.4526,10.162022,1018.7111,995467.963591879,1374.4406,1.1889441,0,0,0,0,0.66055965,0.25136566,0.409194,21.594252,0.8666638,1,124.765854,71.568924,7.995747,213.8502512727313,-29.156833309666517,74.00276491613123,-36.27725201887165,0,6250.255,6245.316,6257.547,0.0048,0.0041,0.0022,6230.2323871957515,0,False,0.0065336227,False,3.9183878135816315,False,False,False,False,True,True
