Seq,f_Seq,Source,RA_ICRS,DE_ICRS,GBP-GRP,Teff,Gmag,gmag_lc,Prot,Note,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G
1,n,3198972700981234048,04 22 31.5,-07 33 03.2,0.432,7187,8.903,2.802,0.52,Warm,3198972700981234048,0.432,3198972700981234048,0.06049137,0.0076990128,65.63128230883834,-7.550894923656239,6.22792095511195,0.019378984,321.375,-9.881476401065889,-7.486483841095714,0.9219642,4167.9204,8.910613,1710.0841,2790413.7691525253,2768.2249,1.1750604,0,31,0,39,0.42652702,0.14963818,0.27688885,21.804201,0.5452734,1,103.62712,55.159496,3.1517916,201.71569335516816,-36.418958385092964,62.21317635426412,-28.66973608591326,0,7144.6743,7137.7944,7153.085,0.0053,0.0048,0.0026,nan,0,False,0.0076990128,False,2.882328519284849
2,n,5181474045115843072,03 10 47.3,-06 34 29.8,0.446,7161,8.562,2.954,0.87,Warm,5181474045115843072,0.446,5181474045115843072,0.08867749,0.00910759,47.697095503511306,-6.57493616943283,7.627479922634417,0.032717958,233.12825,-0.6899400232333391,-6.378080886049671,1.0805563,1543.2336,8.571576,525.40466,3849951.16634986,847.7522,1.1769592,0,0,0,0,0.4427185,0.15540028,0.28731823,20.571976,1.1880543,1,124.93564,47.85376,2.2540338,187.49685817140067,-51.06745407578371,43.230894621281664,-23.41036326056492,0,7082.03,7076.208,7088.3228,0.0027,0.0024,0.0013,nan,0,False,0.00910759,False,2.983481484210218
24,n,5070969209513725568,02 38 36.5,-25 15 07.6,0.775,5852,9.435,4.462,5.69,Slow,5070969209513725568,0.775,5070969209513725568,0.09621488,0.00641346,39.65225463698327,-25.252105257454115,10.110089846799786,0.014034196,720.3897,0.8717472862708606,6.206367539233298,0.98801357,3921.949,9.440966,633.95233,2079741.278707333,333.89938,1.2225646,0,30,0,30,0.7635603,0.27546692,0.48809338,20.783308,0.3576562,1,75.16133,nan,nan,214.5527526861947,-65.92997649895105,27.326841615621987,-38.387402611471686,0,5855.71,5853.5854,5858.308,0.0009,0.0007,0.0004,5919.1182438724045,0,False,0.00641346,False,4.46474072804495
40,n,5045955865443216640,03 00 46.9,-37 08 01.5,0.976,5434,10.323,5.363,3.9,Rapid,5045955865443216640,0.976,5045955869739712128,0.15088655,0.010596275,45.19524784561981,-37.13375153007051,10.21874456138418,0.014433087,708.00824,-3.6990351933006447,15.60005258996578,1.2226461,1312.7765,10.3337145,350.64752,985718.7516698018,407.5475,1.2128179,0,43,0,44,0.9715109,0.401309,0.5702019,21.466095,0.26804215,1,112.594246,16.258297,14.163092,241.28508675136993,-61.017040808941545,26.396579056320785,-51.156636692241136,0,5195.983,5170.028,5283.0693,0.0444,0.0362,0.0194,5313.724061499678,0,False,0.010596275,False,5.380702201170557
43,n,3245140743257978496,03 54 01.0,-06 14 14.6,1.017,5344,11.146,5.434,5.66,Conv.,3245140743257978496,1.017,3245140743257978496,0.17557476,0.027129173,58.50436786307051,-6.2373940554483704,7.300413997731856,0.040272363,181.27603,-6.907143132021041,-7.317123382309226,2.0549843,1114.7555,11.172784,580.91895,479643.1766374597,636.64307,1.2636282,0,0,0,0,1.0018234,0.3746395,0.6271839,22.864822,1.2015862,1,34.219448,nan,nan,195.71930284358106,-41.91691459558644,54.73602636096978,-25.903163382304946,0,5515.783,5466.163,5551.374,0.2816,0.2319,0.1246,5201.789290746392,0,False,0.027129173,False,5.489521297316454
46,n,5103353606523787008,03 18 03.8,-19 44 14.2,1.058,5077,10.473,5.227,1.26,Rapid,5103353606523787008,1.058,5103353606523787008,1.3461442,-0.01376152,49.5159699460814,-19.737277227341746,9.261815716780063,0.120076835,77.132416,-0.46830926355712355,4.651124150340396,7.924772,638.2622,10.45909,194.29189,911578.2066211565,264.87988,1.2264211,0,1,0,0,1.0414839,0.43080425,0.6106796,18.348316,1.5578463,1,97.6274,nan,nan,208.47941794620246,-55.69188236261324,40.531034172702235,-36.484885101523034,0,4973.1978,4968.024,4985.11,0.0058,0.0047,0.0025,5095.654115390606,0,False,0.01376152,False,5.2925709105772025
60,n,4871041608622321664,04 28 28.9,-33 53 45.1,1.193,4924,11.63,6.037,6.5,Rapid,4871041608622321664,1.193,4871041608622321664,0.27734882,-0.0034542084,67.12058039306149,-33.89586779568461,7.615987149023296,0.02255455,337.66965,-12.050538095918865,9.208007896188002,1.9085093,1708.59,11.626949,495.36935,329198.67366602476,843.79816,1.2369841,0,2,0,1,1.179246,0.506547,0.672699,15.10115,2.628653,1,62.317844,33.132248,14.045909,235.1545443835578,-43.297454306832236,56.07528893151954,-54.6730338580271,3,4915.0356,4908.6636,4921.756,0.2757,0.2188,0.1174,4788.978537538342,0,False,0.0034542084,False,6.035580323113802
68,n,3199896668704440064,04 38 55.5,-06 40 25.0,1.242,4890,12.458,6.305,4.28,Rapid,3199896668704440064,1.242,3199896668704440064,0.17321233,-0.01587677,69.73110654443497,-6.673612118201191,5.905574600048193,0.014592909,404.68796,-8.866406892494847,-4.956684998970329,1.0074211,741.1785,12.441821,207.73126,158040.9450425168,285.2162,1.2408477,0,1,0,0,1.2198792,0.52902985,0.6908493,18.919258,2.6180665,1,32.317047,17.51432,15.063545,203.10426540163417,-32.417802250190334,66.94934062126956,-28.50535231271663,0,4889.117,4882.157,4897.1274,0.2785,0.2199,0.1172,4693.305228775587,0,False,0.01587677,False,6.298131898075054
70,n,2433715455609798784,23 36 52.1,-11 25 01.7,1.249,4810,11.737,6.442,6.3,Rapid,2433715455609798784,1.249,2433715455609798784,0.17161527,0.005712509,354.2169697921,-11.417147061861066,8.738606914807622,0.018814594,464.45898,24.032744691642325,-6.6858749247011655,1.0153829,587.4949,11.742958,156.69441,301995.64731454436,244.96298,1.2379639,0,1,0,0,1.23876,0.54369545,0.69506454,12.680728,1.0091636,1,39.074837,nan,nan,71.21807013252885,-66.47226971013906,350.14824547829426,-8.182625983350599,0,4895.8267,4888.9453,4902.5693,0.367,0.2881,0.1526,4680.265339847818,0,False,0.005712509,False,6.450169089323001
71,n,5106733402188456320,03 24 25.2,-15 50 05.4,1.278,4944,11.517,6.197,0.62,Rapid,5106733402188456320,1.278,5106733402188456320,0.2985397,0.012587547,51.104971103054375,-15.83482222958036,8.544446567727695,0.08895968,96.04853,-0.43190685434377263,-4.57958390011881,4.692701,530.42914,11.529411,152.17215,375222.2733659054,217.53897,1.2524254,0,1,0,1,1.265914,0.5486765,0.7172375,11.317054,3.3619256,1,49.62829,nan,nan,203.24313152899626,-52.83166676375236,43.75831322810919,-33.242896120130915,1,5525.451,5500.6187,5540.1826,1.0084,0.8099,0.4391,4627.830347186981,0,False,0.012587547,False,6.187831007336483
