Seq,n_Seq,TIC,Gmag,__G-K_0,Prot,n_Per,e_Per,Grade,Sect,_RA,_DE,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,Teff_Mamajek,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
39,na,332312964,9.58,1.341,4.98,n,0.52,A,15/16/22/23,205.40225,53.33753,1561660249245388672,0.81090355,1561660249245388672,0.18305083,0.00578022,205.40211544452362,53.337506753678326,10.504028683629615,0.012202885,860.7824,-18.27646955475405,-4.8302592657512475,0.9509496,2477.613,9.585494,786.7512,1813809.4654502003,1078.2192,1.1988834,0,1,0,2,0.80132866,0.3172512,0.48407745,-4.775722,0.25495994,1,144.65118,13.611961,3.1377609,106.79434531371847,62.19063206545965,171.13954567451586,56.914734508981205,0,5758.327,5742.2847,5773.2993,0.0282,0.0237,0.0127,5828.0483,5834.8478134127345,0,False,0.00578022,False,4.692273536555362,False,False,False,False,True
45,na,311001628,6.009,0.01,0.602,n,0.008,A,16,205.97824,52.06441,1559292485314843008,0.01041317,1559292485314843008,0.13006476,0.013758659,205.97810999022136,52.064389143767265,10.788256585918775,0.029746177,362.6771,-18.291861137549343,-5.4500554582432015,0.876659,2902.5642,6.023171,1326.4039,31294850.983385276,997.4746,1.1583867,0,0,0,0,0.003841877,-0.0101156235,0.0139575,-2.7959075,0.6909684,1,634.5171,145.85982,5.068613,104.91155375235664,63.188976097002566,173.12240883793447,56.17452415767873,0,9680.803,9638.855,9716.978,0.0425,0.0408,0.0217,nan,8274.022760798347,0,False,0.013758659,False,1.1879272834490937,False,False,False,False,True
51,na,141861147,5.655,-0.121,1.38,n,0.04,A,15/16/22/23,206.64857,54.43268,1561439694084279552,-0.051988125,1561439694084279552,0.2142857,0.015491009,206.64842814288883,54.432657688820136,10.741709768261495,0.041760836,257.21973,-18.558572174463578,-4.74245002224005,0.82475185,2221.0613,5.6708803,879.85474,42170739.77350291,711.8823,1.1554419,0,0,0,3,-0.036522865,-0.022035599,-0.014487267,nan,nan,-1,nan,nan,nan,106.37618042459654,60.887116032982505,170.79911472436413,58.22069272883509,0,10724.708,10668.066,10789.988,0.0403,0.0391,0.0208,nan,8003.47048607544,0,False,0.015491009,False,0.8262473873653224,False,False,False,False,True
77,na,10728867,11.047,1.923,7.6,n,1.2,A,16/22/23,211.95518,51.95268,1512032314456889728,1.1255188,1512032314456889728,0.16355175,0.0037708282,211.9550611907514,51.95266021487758,10.067354421574084,0.012331215,816.41223,-16.572286375616375,-4.0758594909807515,0.9420079,2566.218,11.0510645,675.2209,541372.4328197233,1034.178,1.225337,0,1,0,0,1.1112022,0.47429276,0.6369095,-5.58415,0.3018484,1,87.501236,9.788901,5.771514,98.07928620349455,61.33226178565152,178.46854551972189,58.45922136933729,0,nan,nan,nan,nan,nan,nan,4948.771,5026.20188254499,0,False,0.0037708282,False,6.065641282438785,False,False,False,False,True
88,na,310379752,6.544,0.166,0.561,n,0.487,A,22,213.82082,52.53592,1608103448603945216,0.107177734,1608103448603945216,0.106451444,0.017067432,213.82068748122646,52.535908218934765,10.683103697635016,0.022274746,479.6061,-17.59804242066417,-3.439223502021589,0.95742154,3869.7434,6.561181,1623.467,20153902.941358503,1847.9712,1.1595801,0,0,0,0,0.09892225,0.024738789,0.074183464,-9.564832,0.3619945,1,514.6077,154.49588,4.360214,96.99598424629343,60.164008382367584,179.42073526990163,59.64464420662863,0,nan,nan,nan,nan,nan,nan,nan,8263.169336173774,0,False,0.017067432,False,1.704668288313842,False,False,False,False,True
93,na,445859773,8.425,0.947,1.28,n,0.03,A,15/16,214.07269,58.38941,1611685691846029952,0.57872295,1611685691846029952,0.23072942,0.011097908,214.07255625916613,58.389401210727236,9.897344176891188,0.015171759,652.35315,-16.271333881634106,-2.8829030070060915,0.9771254,4834.98,8.436284,2446.7258,4676789.282586059,3925.2258,1.1860892,0,0,0,0,0.57285595,0.20959759,0.36325836,-6.1965218,0.32166937,1,215.03749,39.304367,1.563694,103.41729198921833,55.406692188905105,170.92562266580896,63.91744721170614,0,6534.685,6533.494,6536.2134,0.0005,0.0004,0.0002,6439.2285,6581.381675341507,0,False,0.011097908,False,3.41387743012403,False,False,False,False,True
95,na,313322899,6.886,0.307,0.546,n,0.006,A,22,214.62978,52.03332,1607844444896321024,0.19092512,1607844444896321024,0.08790515,0.017618656,214.629653489795,52.033307115828904,10.412291782488948,0.019368181,537.5978,-17.184273462934392,-3.082188090538351,0.96637976,4264.982,6.9035597,1571.0839,15474348.27084623,2289.568,1.1631862,0,2,0,0,0.18556404,0.055869102,0.12969494,-8.083793,0.36992252,1,495.64737,147.76253,3.7160568,95.58181404828525,60.22208283141973,180.8101538322224,59.5845818986223,0,8199.077,8175.2554,8280.799,0.0156,0.0145,0.0077,nan,8063.168711794275,0,False,0.017618656,False,1.9912913337206835,False,False,False,False,True
105,na,459246945,9.524,1.283,4.27,n,0.38,A,15/16/22/23,216.29642,57.63322,1611371849995774592,0.7742386,1611371849995774592,0.113007605,0.007884026,216.2962869095808,57.63320895919003,9.693865043541956,0.01003535,965.97174,-15.847211768457038,-2.0765492807811397,0.9139258,3303.6316,9.532012,1244.6185,1874782.6883550927,1736.4592,1.1965358,0,5,0,1,0.76739883,0.30090523,0.4664936,-5.8935275,0.22043532,1,145.10156,13.469046,2.1690106,100.96010168468223,55.31351320916847,174.01577109547546,64.2892566493067,0,5894.617,5874.604,5904.586,0.0329,0.0278,0.0149,5941.195,5931.788505033526,0,False,0.007884026,False,4.464496832027031,False,False,False,False,True
124,na,298163080,9.518,1.244,4.93,n,0.5,A,15/22/23,219.06432,55.13962,1607164362593977472,0.78235435,1607164362593977472,0.17227931,0.013542175,219.06419349149672,55.13960842991849,10.168185492318107,0.010906387,932.31476,-15.750288110592017,-2.0825996741783097,0.9217122,1679.7325,9.531792,553.4368,1885775.1988374658,838.8858,1.1978186,0,0,0,0,0.7782326,0.3056116,0.47262096,-6.1993723,0.1796476,1,155.46727,12.779131,1.186614,95.9821567949163,56.157493453655455,180.52746405899794,63.65241701615853,0,6052.6387,6037.9966,6056.391,0.1655,0.1405,0.0753,5916.28,5999.286442785302,0,False,0.013542175,False,4.56800898801616,False,False,False,False,True
126,na,159613447,10.267,1.518,6.29,n,0.82,A,15/16/21/22/23,219.82017,61.93127,1618811489266407040,0.92633915,1618811489266407040,0.20211326,0.005162239,219.82000851064026,61.931256046137946,9.932944677093095,0.013334732,744.89276,-16.722732831067827,-3.995523490717966,1.1262993,1750.476,10.271931,588.4046,1014711.6746345942,835.7704,1.2031059,0,6,0,3,0.9199991,0.38010693,0.5398922,-7.2537665,0.17855649,1,116.04186,7.523394,3.4438748,103.17910363556905,50.860126733726645,168.34606175457625,68.34589347331281,0,5587.9985,5581.2017,5594.291,0.1642,0.1357,0.0722,5475.3003,5561.562723663004,0,False,0.005162239,False,5.257320777656995,False,False,False,False,True
