EPIC,Gaia,2MASS,RAdeg,DEdeg,Prot,C5Prot,C5Power,C5SProt,C5SPower,C5Clean,C5Q,C5Rvar,C5thresh,C5SNR,C16Prot,C16Power,C16SProt,C16SPower,C16Clean,C16Q,C16Rvar,C16thresh,C16SNR,C18Prot,C18Power,C18SProt,C18SPower,C18Clean,C18Q,C18Rvar,C18thresh,C18SNR,QFClean,Multi,Neigh,Harm,LCEvol,Previous,Bin,EPIC_t4,2MASS_t4,RAdeg_t4,DEdeg_t4,pmRA,pmDE,e_pmRA,e_pmDE,plx,e_plx,D,e_D,epsi,sepsi,RUWE,Bp-Rp,Gmag,Ksmag,RVel,e_RVel,Flag,dPM,dCMD-B-R,dCMD-grp,dRV,Multi_t4,AstBin,PhoBin,LitBin,WideBin,Binary,Tail,k2data,Teff,Mass,SpType,Prot_t4,QFClean_t4,Previous_t4,LCEvol_t4,dr3_source_id,source_id,dr2_source_id,angular_distance,magnitude_difference,proper_motion_propagation,abs_magnitude_difference,dr2_bp_rp,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,Teff_Curtis20,nbhr_count,flag_nbhr_count,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
211593813,Gaia EDR3 653781747161312512,2MASS J08130630+1427235,123.27625,14.45653,15.57,15.57,0.61,7.87,0.12,1.0,0.0,0.005,0.008,129.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.012,nan,nan,1,0,0,0,1,nan,0,211593813,2MASS J08130630+1427235,123.27625,14.45653,-27.816,-9.07,0.028,0.017,4.942,0.025,202.36,1.0,0.0,0.0,1.047,1.96,14.67,11.6,nan,nan,0,8.95,0.028,-0.052,nan,0,0,0,0,0,0,1,1,3804,0.6,M0.5,15.57,1,nan,1,653781747161312512,6.537817471613125e+17,6.537817471613125e+17,0.07042243,-0.017830849,True,0.017830849,1.9706984,123.27609905787138,14.45646730366398,4.941628253869705,0.02454136,201.35919,-27.815977573782632,-9.069736064053634,1.046875,3372.2576,14.671682,479.25604,26480.673257633076,980.97406,1.3331956,0,5,0,0,1.9610434,0.97993374,0.9811096,44.381977,5.072803,2,7.29879,nan,nan,208.63732196712232,24.48597928889867,122.24994653091221,-5.335194566134817,0,nan,nan,nan,nan,nan,nan,False,3811.2852,0,False,8.141032714913674,False,False,False,False,True
211761307,Gaia EDR3 656149304932599808,2MASS J08171969+1645598,124.33208,16.76662,17.42,8.71,0.35,16.42,0.24,0.0,0.0,0.003,0.007,95.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006,nan,nan,1,0,0,1,1,nan,0,211761307,2MASS J08171969+1645598,124.33208,16.76662,-25.465,-8.982,0.038,0.026,4.298,0.035,232.66,1.87,0.08,1.219,1.088,2.09,15.32,12.12,nan,nan,0,11.15,-0.018,-0.08,nan,0,0,0,0,0,0,1,1,3698,0.5,M1,17.42,1,nan,1,656149304932599808,6.561493049325998e+17,6.561493049325998e+17,0.018523162,-0.019407272,True,0.019407272,2.0867567,124.33194433712276,16.766564472096928,4.29806930994348,0.034506805,124.55715,-25.46531646680682,-8.981911617291495,1.0880737,2569.564,15.317301,337.17862,15220.777395788107,842.7973,1.3540728,0,0,0,0,2.0917835,1.0662861,1.0254974,3.8458192,7.1369944,2,4.4224205,nan,nan,206.7241845104497,26.325687268499934,122.73012084115007,-2.857071933535443,0,3946.8318,3935.9893,3952.1873,0.7122,0.4963,0.2838,False,3711.1172,0,False,8.483667869367451,False,False,False,False,True
211576111,Gaia EDR3 652026136329044736,2MASS J08194638+1412297,124.94326,14.20826,15.57,15.57,0.72,7.01,0.01,1.0,0.0,0.003,0.009,144.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007,nan,nan,1,0,0,0,0,nan,0,211576111,2MASS J08194638+1412297,124.94326,14.20826,-27.171,-7.629,0.024,0.018,4.42,0.021,226.25,1.06,0.0,0.0,1.015,1.78,14.49,11.61,nan,nan,0,10.2,0.031,-0.035,nan,0,0,0,0,0,0,1,1,3939,0.6,K9,15.57,1,nan,0,652026136329044736,6.520261363290447e+17,6.520261363290447e+17,0.023358008,-0.014740944,True,0.014740944,1.7848148,124.9431589203429,14.208220527379751,4.419796934591177,0.02084977,211.983,-27.171179342774618,-7.628913588180129,1.0147755,4826.864,14.486419,633.45154,29584.21094388199,1627.2498,1.3058641,0,2,0,1,1.7806654,0.8644924,0.916173,32.858704,3.2698019,2,8.779279,nan,nan,209.60257455825226,25.867053284908113,123.88661239772489,-5.215321842411404,0,4263.961,4249.4814,4276.7607,0.6117,0.4445,0.2398,False,3990.2188,0,False,7.713430305859349,False,False,False,False,True
211971819,Gaia EDR3 663002663987903872,2MASS J08275096+1948207,126.96235,19.80576,17.27,17.27,0.7,8.69,0.15,1.0,0.0,0.01,0.008,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.64,0.24,15.65,0.16,0.0,1.0,0.011,0.012,108.0,1,0,0,1,1,17.08,0,211971819,2MASS J08275096+1948207,126.96235,19.80576,-33.794,-14.056,0.032,0.023,5.484,0.036,182.34,1.21,0.0,0.0,1.075,2.18,15.08,11.78,nan,nan,0,2.4,-0.094,-0.125,nan,0,0,0,0,0,0,0,1,3612,0.5,M1.5,17.27,1,17.08,1,663002663987903872,6.630026639879039e+17,6.630026639879039e+17,0.03111079,-0.02161789,True,0.02161789,2.187397,126.96216131255922,19.80571197087821,5.48408477158727,0.03625972,151.24455,-33.79435145858639,-14.055783764905147,1.0754827,1957.4031,15.080159,311.5482,19458.4691373325,590.84375,1.3694293,0,0,0,0,2.1808739,1.1258383,1.0550356,40.505924,3.9172134,2,5.600604,nan,nan,204.56194188178023,29.765412628624215,124.45503776532873,0.6781834292959205,0,3750.2437,3744.3848,3760.8926,0.5802,0.3981,0.2321,False,3632.6953,0,False,8.775679984231791,False,False,False,False,True
212052477,Gaia EDR3 663981126257232768,2MASS J08292796+2108383,127.36653,21.14398,17.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.78,0.16,8.95,0.04,1.0,0.0,0.004,0.008,104.0,nan,nan,nan,nan,nan,nan,0.009,nan,nan,1,0,0,0,0,nan,0,212052477,2MASS J08292796+2108383,127.36653,21.14398,-33.973,-14.176,0.036,0.024,5.246,0.036,190.64,1.3,0.079,1.313,1.114,2.16,15.07,11.8,nan,nan,0,2.31,-0.031,-0.078,nan,0,0,0,0,0,0,0,1,3631,0.5,M1.5,17.78,1,nan,0,663981126257232768,6.639811262572328e+17,6.639811262572328e+17,0.049977724,-0.017897606,True,0.017897606,2.1557846,127.36637592857568,21.1439241807227,5.245639307090017,0.035841934,146.3548,-33.973488466974985,-14.176443353515953,1.1142317,2436.7378,15.070245,291.0884,19502.416623322053,899.8563,1.3648282,0,2,0,1,2.1607285,1.1131582,1.0475702,41.7348,5.610995,2,5.6141744,nan,nan,203.2610078544515,30.583585542204766,124.5009500756867,2.0681811214792174,0,3767.4949,3761.4294,3773.97,0.5644,0.3885,0.2254,False,3656.2969,0,False,8.669236913946575,False,False,False,False,True
211941802,Gaia EDR3 662912813272290688,2MASS J08305102+1921088,127.7126,19.35246,14.18,14.11,0.86,7.21,0.09,1.0,0.0,0.009,0.008,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.24,0.83,7.15,0.04,1.0,0.0,0.02,0.011,179.0,1,0,0,0,0,14.14,0,211941802,2MASS J08305102+1921088,127.7126,19.35246,-34.965,-13.653,0.021,0.016,5.48,0.02,182.47,0.68,0.0,0.0,1.064,1.81,14.12,11.19,nan,nan,0,1.2,0.021,-0.058,nan,0,0,0,0,0,0,0,1,3899,0.6,M0,14.18,1,14.14,0,662912813272290688,6.629128132722907e+17,6.629128132722907e+17,0.008529645,-0.014767647,True,0.014767647,1.8176737,127.71242960638334,19.352407023656323,5.480396400994371,0.02042813,268.27695,-34.96467830990454,-13.65288306365686,1.0640413,3470.5686,14.115659,816.3868,42051.30800452304,1271.1027,1.3091153,0,1,0,0,1.8143492,0.8871374,0.92721176,36.66305,2.2520268,2,13.169846,nan,nan,205.34022268439276,30.26644550982671,125.25044373660418,0.4088161384716287,0,4254.911,4246.669,4265.658,0.6517,0.4718,0.2548,False,3957.0322,0,False,7.80971862232685,False,False,False,False,True
211955365,Gaia EDR3 662925629454594944,2MASS J08305546+1933197,127.73111,19.55549,6.65,6.82,0.22,3.35,0.11,1.0,0.0,0.009,0.008,880.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.45,0.2,6.47,0.2,0.0,1.0,0.019,0.013,870.0,1,0,0,1,1,6.74,0,211955365,2MASS J08305546+1933197,127.73111,19.55549,-34.682,-13.608,0.018,0.012,5.588,0.018,178.96,0.57,0.091,12.77,1.003,0.78,10.65,9.37,36.61,0.43,0,1.41,0.063,0.01,1.61,0,0,0,0,0,0,0,1,5945,1.0,G0,6.65,1,6.74,1,662925629454594944,6.62925629454595e+17,6.62925629454595e+17,0.22287937,0.004076004,True,0.004076004,0.78473854,127.73091383269153,19.55544313689794,5.587850331352074,0.017878639,312.5434,-34.68229708194521,-13.607752015144213,1.0029769,2452.546,10.651022,710.68115,671008.8644333585,949.2077,1.1953664,0,1,0,0,0.77725124,0.30730438,0.46994686,36.36724,0.34444928,1,89.53041,7.243132,5.385099,205.1273781604339,30.35455702099625,125.21793233063372,0.6099890104618915,0,5948.4077,5885.8994,5969.3403,0.0739,0.0626,0.0335,False,5933.8174,0,False,4.387245783245973,False,False,False,False,True
211897821,Gaia EDR3 662665629314342272,2MASS J08305892+1841410,127.74554,18.69474,16.78,16.78,0.75,9.33,0.03,1.0,0.0,0.005,0.008,136.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.24,0.62,13.66,0.15,1.0,1.0,0.006,0.014,134.0,1,0,0,1,1,16.42,0,211897821,2MASS J08305892+1841410,127.74554,18.69474,-33.633,-12.5,0.025,0.019,5.349,0.025,186.96,0.86,0.0,0.0,1.025,2.0,14.69,11.59,nan,nan,0,2.3,-0.061,-0.134,nan,0,0,0,0,0,0,0,1,3770,0.5,M0.5,16.78,1,16.42,1,662665629314342272,6.626656293143423e+17,6.626656293143423e+17,0.049431805,-0.016887665,True,0.016887665,2.0062447,127.74538376189379,18.694704737287037,5.348793250933711,0.02460031,217.42787,-33.63273841096792,-12.500449395800253,1.0250363,3298.7053,14.6938305,511.27884,26321.156993816785,1301.0325,1.3406708,1,2,0,0,2.0048742,1.0081768,0.9966974,38.141113,2.8772495,2,8.124694,nan,nan,206.0635434083297,30.060423772422183,125.44075458957478,-0.22152116648369413,0,nan,nan,nan,nan,nan,nan,False,3779.5762,0,False,8.335109546409274,False,False,False,False,True
212069380,Gaia EDR3 665490339108666368,2MASS J08312987+2126388,127.87446,21.44412,0.27,0.27,0.44,36.15,0.01,1.0,0.0,0.061,0.008,11.0,0.27,0.14,-9999.0,-9999.0,1.0,0.0,0.104,0.008,8.0,0.27,0.15,1.22,0.01,1.0,0.0,0.182,0.01,9.0,1,0,0,0,0,0.27,0,212069380,2MASS J08312987+2126388,127.87446,21.44412,-35.972,-13.881,0.425,0.297,5.21,0.461,191.95,16.98,1.526,4.865,1.123,2.96,19.37,14.8,nan,nan,0,0.98,-1.472,-0.056,nan,0,0,0,0,0,0,0,1,3194,0.2,M4,0.27,1,0.27,0,665490339108666368,6.654903391086664e+17,6.654903391086664e+17,0.01619714,-0.026086807,True,0.026086807,3.2787418,127.87428968922882,21.444048441242032,5.2097114659237125,0.46090835,11.30314,-35.97180720081425,-13.880768389064222,1.1233231,327.3068,19.373817,7.020883,484.8152538076872,49.486225,1.6090528,0,0,0,1,2.9599648,1.6201019,1.3398628,nan,nan,-1,nan,nan,nan,203.11776874638696,31.130310479743205,124.88737520706293,2.474307648082457,0,nan,nan,nan,nan,nan,nan,False,nan,0,False,12.957885799090814,False,False,False,False,True
212044121,Gaia EDR3 665417157162598144,2MASS J08322347+2059449,128.09783,20.99581,10.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.7,0.37,5.37,0.15,1.0,0.0,0.005,0.008,351.0,nan,nan,nan,nan,nan,nan,0.011,nan,nan,1,0,0,0,1,11.12,0,212044121,2MASS J08322347+2059449,128.09783,20.99581,-35.213,-14.322,0.016,0.012,5.468,0.018,182.88,0.59,0.045,2.363,0.995,1.21,12.56,10.47,36.56,1.21,0,1.58,-0.06,-0.002,1.56,0,0,0,0,0,0,0,1,4849,0.8,K3,10.7,1,11.12,1,665417157162598144,6.654171571625981e+17,6.654171571625981e+17,0.2185009,-0.0113630295,True,0.0113630295,1.2242689,128.09763610499456,20.995744288631585,5.468223232314791,0.01783199,306.65244,-35.213086881667834,-14.321696033189614,0.9945392,3403.5264,12.555542,992.6952,140553.31357676248,1455.8457,1.2313813,0,0,0,0,1.2052212,0.5279722,0.67724895,36.340633,1.7446833,1,29.252274,13.525954,12.687414,203.69295482252605,31.175325440662654,125.19932046108426,2.0906806215079135,0,4843.499,4839.48,4848.8306,0.0562,0.0438,0.0229,False,4755.393,0,False,6.244773170700418,False,False,False,False,True
