dr2_source_id,_2MASS,EPIC,CWW,NOMAD1,RA_ICRS,DE_ICRS,pmRA,pmDE,e_pmRA,Source,plx,e_plx,epsi,sepsi,Gmag,BP-RP,e_BP-RP,Jmag,Kmag,eJ-K,RVGaia,e_RVGaia,RV,o_RV,eRV,dRV,delTrv,Member,pBin,WBin,SpBin,rad,drad,f_drad,pmd,dplx,dcmd,AO,nmag,nrad,Teff,Mass,SpT,K2_PTF,Prot,r_Prot,sigmaLC,RvarLC,Bench,Notes,Cl,O19,SimbadName,_RA_icrs,_DE_icrs,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_possible_binary,flag_benchmark_period
4087732516937081088,J19164495-1717074,219208969,44,0727-1079875,289.18731999999994,-17.285523888888886,-1.86,-27.144,0.118,GaiaDR2 ,3.3374,0.0532,0.0,0.0,10.6879,0.759,0.002195,9.739,9.422,0.035,43.13,0.71,41.41,4.0,0.187,-0.088,1803.45,Yes,No ,No ,No,0.906,9.616, ,1.079,0.0858,-0.120762,No ,,,6381.0,1.347,F5,A_N,6.7004,K2  ,0.4667,0.8587000000000001,Yes,,1,O19,Gaia DR2 4087732516937081088,289.1873283333333,-17.28540722222222,0.759,4087732516937081088,0.21168917,0.0024909973,289.1873170736199,-17.285527715398327,3.3549027389019,0.015352845,218.51993,-1.746476696873826,-27.12416983627803,0.8246104,4438.2695,10.690387,1211.8156,640824.0346641993,3047.204,1.1949688,0.0,0.0,0.0,0.0,0.7549572,0.295619,0.4593382,42.08691,0.49953943,1.0,60.41929,7.139573,4.263337,20.08334350615357,-13.247028872886354,288.35984443696776,4.939166000737371,0,6383.239,6371.8003,6398.0156,0.2889,0.2477,0.1332,6314.216239524746,0,False,0.0024909973,False,3.318786443010941,False,False,True
4087799621507741312,J19151260-1705121,219296218,59,0729-1027237,288.80249,-17.086828055555554,-1.125,-26.862,0.123,GaiaDR2 ,3.394,0.0587,0.0,1.28e-15,10.9113,0.7565,0.001345,9.922,9.68,0.031,43.73,0.84,42.1905,8.0,0.743,0.702,2522.43,Yes,No ,No ,No,0.76,13.868, ,0.318,0.1424,0.126823,No ,,,6389.7,1.295,F5,A_N,5.9859,K2  ,0.7415000000000002,1.0295,Yes,,1,O19,Gaia DR2 4087799621507741312,288.802495,-17.08671222222222,0.7565,4087799621507741312,0.23064983,-0.0005283356,288.8024864820078,-17.086831808943284,3.340946298336392,0.014144641,236.19873,-1.0175711695499072,-26.930605319410468,0.7605557,6111.7646,10.910788,1346.4235,522266.73651898094,3605.304,1.1965549,0.0,0.0,0.0,0.0,0.7481432,0.29052067,0.45762253,42.87033,0.47118944,1.0,59.61052,10.040761,4.246734,20.11073968902336,-12.829976854907493,288.0198152495776,5.183961897798423,0,6052.32,6019.3765,6091.3394,0.1329,0.1133,0.0611,6320.08779119054,0,False,0.0005283356,False,3.5301350570807664,False,False,True
4088073876634320768,J19114731-1632485,219520438,60,0734-0813090,287.94714,-16.546956111111108,-0.486,-26.579,0.102,GaiaDR2 ,3.2355,0.047,0.0,0.0,11.004,0.7743,0.001836,10.087,9.707,,,,42.2054,6.0,0.44,0.705,2521.5,Yes,No ,No ,No,1.156,6.288, ,0.431,-0.0161,0.0496798,No ,,,6328.1,1.274,F5,A_N,5.5579,K2  ,0.2722,0.4766000000000001,Yes,,1,O19,Gaia DR2 4088073876634320768,287.94714222222217,-16.546841666666666,0.7743,4088073876634320768,0.23902212,0.0035858154,287.9471356484851,-16.546959668605066,3.185196455100961,0.020704297,153.84229,-0.3597725046111213,-26.60373122352169,0.9199982,3656.6145,11.007626,1869.3989,481527.2577031571,4383.392,1.1980355,0.0,0.0,0.0,0.0,0.7639799,0.29769802,0.4662819,,,,,,,20.258650750462987,-11.85994408925693,287.2721280197047,5.822673221008084,0,5817.845,5774.3105,5979.3403,0.0443,0.0375,0.0204,6277.023243387655,1,True,0.0035858154,False,3.523306698410753,False,True,True
4184157659469838592,J19152981-1551047,219774323,63,0741-0801005,288.87424,-15.851446111111107,-0.553,-26.958,0.11,GaiaDR2 ,3.1735,0.0625,0.0,0.0,11.2044,0.8384,0.00214,10.173,9.844,0.036,40.5,1.4,41.0146,10.0,0.641,-0.483,2472.53,Yes,No ,No ,No,0.575,7.848, ,0.493,-0.0781,-0.316181,No ,,,6111.6,1.23,G0,A_N,6.9079,K2  ,0.5472000000000001,0.7036000000000001,Yes,RHK favors x2 LS period. Weak hint of this in K2 timing period but inconclusive. Period is not fully trusted.,1,O19,Gaia DR2 4184157659469838592,288.8742425,-15.851329999999995,0.8384,4184157659469838592,0.2630356,-0.002626419,288.8742427652141,-15.851449371005668,3.223575330761625,0.025002273,128.93129,-0.6170224189588582,-27.057589752211896,1.0493166,3716.8237,11.201806,1358.6552,415784.4934786506,3162.651,1.2023535,0.0,0.0,0.0,0.0,0.8322706,0.33118916,0.50108147,40.685978,0.6182306,1.0,45.064106,8.4382105,3.229978,21.288583793585296,-12.372126888986244,288.2487160504988,6.400121723733516,0,6185.7256,6167.446,6200.1304,0.3929,0.334,0.1804,6102.572288617228,0,False,0.002626419,False,3.743495186234094,False,False,True
4088057521393630848,J19142816-1620023,219601739,79,0736-0789967,288.61734,-16.334098888888885,-0.902,-26.688,0.304,GaiaDR2 ,3.175,0.0966,0.0,0.0,12.1774,0.9255,0.00211,11.002,10.604,0.032,43.63,1.34,41.7512,16.0,0.111,0.251,2885.38,Yes,No ,No ,No,0.477,7.588, ,0.066,-0.0766,0.00118732,No ,,,5832.1,1.047,G2,A_N,16.8501,K2  ,0.3113000000000001,1.1299,Yes,Prot and RHK agree,1,O19,Gaia DR2 4088057521393630848,288.6173441666666,-16.333984166666664,0.9255,4088057521393630848,0.35879433,-0.008249283,288.6173445226792,-16.334103077990463,3.2786280376443107,0.016549222,198.11372,-0.7382078854012821,-26.773150903144085,0.9675969,4754.315,12.169149,854.2671,176719.173904518,2568.178,1.2065678,0.0,1.0,0.0,0.0,0.91166496,0.37220192,0.53946304,42.616158,0.6610942,1.0,23.166033,,,20.73397644433075,-12.352399170991584,287.94008186938584,5.9532122509560725,0,5687.5254,5681.3027,5694.161,0.2357,0.1959,0.105,5838.812516635493,0,False,0.008249283,False,4.747610141251361,False,False,True
4084645500601105536,J19180938-1752498,218933140,0,0721-1101590,289.53910999999994,-17.880653888888887,-1.509,-26.506,0.09,GaiaDR2 ,3.3137,0.0401,0.0,0.0,12.3593,0.9717,0.002759,11.113,10.736,0.033,43.87,1.84,,4.0,,2.37,,Yes,No ,No ,No,1.562,10.402, ,0.605,0.0621,-0.111451,   ,,,5691.2,1.017,G5,A_N,20.1605,K2  ,0.6900000000000002,1.6097000000000004,Yes,,1,O19,Gaia DR2 4084645500601105536,289.5391169444444,-17.880539999999996,0.9717,4084645500601105536,0.2601713,0.00023555756,289.53911209877964,-17.88065730509089,3.3963442617441584,0.013682101,248.23265,-1.6008245326002193,-26.557719768964567,0.9945892,3563.3186,12.359498,1334.632,153241.3394697048,2495.065,1.2259042,0.0,0.0,0.0,0.0,0.95509815,0.38005543,0.5750427,42.568295,1.174654,1.0,18.19274,,,19.670049633790324,-13.799453947225327,288.61433745294744,4.304896223362406,0,5636.555,5629.6343,5644.6187,0.2906,0.2404,0.1288,5695.678749477534,0,False,0.00023555756,False,5.014556548745926,False,False,True
4184146900561610880,J19152141-1600107,219722212,94,0739-0788572,288.83923,-16.003083055555553,-0.676,-26.241,0.108,GaiaDR2 ,3.1072,0.0617,0.0,0.0,12.7662,1.0351,0.002193,11.43,11.05,0.035,42.52,0.31,42.0819,12.0,0.117,0.588,2886.32,Yes,No ,No ,No,0.457,14.191, ,0.451,-0.1444,-0.0486956,No ,,,5506.5,0.954,G8,A_N,22.4733,K2  ,1.6604000000000003,5.8694000000000015,Yes,Prot and RHK agree,1,O19,Gaia DR2 4184146900561610880,288.8392330555555,-16.002969999999998,1.0351,4184146900561610880,0.24530832,-0.008864403,288.83923269210254,-16.003086532813224,3.2148408228382896,0.01904661,168.78809,-0.8159952172387137,-26.29470769489063,0.98061603,5161.7534,12.757327,1189.8152,108062.3953810235,2519.9224,1.2166289,0.0,0.0,0.0,0.0,1.020587,0.42696857,0.5936184,42.38991,1.3420287,1.0,12.480936,,,21.13331739768012,-12.405731366474653,288.1953936413245,6.254113210031034,0,5548.0474,5540.307,5562.747,0.2949,0.2408,0.1281,5502.928996202517,0,False,0.008864403,False,5.293124452117128,False,False,True
4088042888457322624,J19135496-1628553,219545563,0,0735-0800956,288.47903999999994,-16.48218194444444,-0.261,-26.623,0.092,GaiaDR2 ,3.2241,0.0386,0.0,0.0,12.7867,1.033,0.001612,11.522,11.047,0.033,46.39,1.81,41.6471,2.0,2.032,0.66,,Yes,No ,Yes,No,0.62,4.126, ,0.654,-0.0275,-0.017909,No ,,,5512.5,0.951,G8,A_N,21.9164,K2  ,1.7861000000000002,6.875200000000001,Yes,,1,O19,Gaia DR2 4088042888457322624,288.4790411111111,-16.4820675,1.033,4088042888457322624,0.2901161,-0.008272171,288.4790354404621,-16.482185916440766,3.314776853583297,0.017022869,194.72493,-0.3909272523012363,-26.663761325764792,0.9690764,4203.155,12.778392,1486.1848,105638.96838625315,2113.09,1.214343,0.0,0.0,0.0,0.0,1.0168142,0.4267578,0.5900564,43.64227,2.0085618,1.0,14.095411,,,20.539234350398083,-12.29465311430027,287.7888486015734,5.8232094631815485,0,5382.6914,5361.1367,5403.0186,0.2468,0.2013,0.1072,5509.191143217959,0,False,0.008272171,False,5.380663326032099,False,False,True
4087622153460553216,J19144383-1739427,219037489,0,0723-1086000,288.68263,-17.66201194444444,-0.512,-26.857,0.073,GaiaDR2 ,3.32,0.0304,0.0,0.0,13.0295,1.0894,0.002608,11.632,11.145,0.028,44.73,3.23,42.3366,2.0,0.752,1.011,,Yes,No ,No ,No,1.341,9.911, ,0.466,0.0684,-0.0249138,No ,,,5356.6,0.915,K0,A_Y,25.364,K2  ,1.9845000000000004,5.100500000000001,Yes,,1,O19,Gaia DR2 4087622153460553216,288.6826322222222,-17.661896388888888,1.0894,4087622153460553216,0.078420684,-0.012814522,288.6826280627367,-17.662015537774785,3.3447269857692543,0.015098241,221.5309,-0.5705636892714341,-26.85091576191761,0.95632386,3965.354,13.016722,1187.5157,86738.42333112631,1899.8405,1.21789,0.0,9.0,0.0,1.0,1.0700102,0.4556551,0.6143551,43.760826,2.3836179,2.0,11.708906,,,19.52571406950996,-12.966799884113868,287.83189557590333,4.628204796202303,0,5264.3667,5256.717,5272.957,0.2597,0.2099,0.1113,5344.967378098185,0,False,0.012814522,False,5.63852509620302,False,False,True
4087762371240557696,J19172705-1703472,219306354,0,0729-1031327,289.36274999999995,-17.063231944444443,-1.149,-25.664,0.081,GaiaDR2 ,3.1952,0.0339,0.0,0.0,13.0324,1.0766,0.002,11.665,11.207,0.033,42.34,2.35,,4.0,,0.84,,Yes,No ,No ,No,0.731,6.56, ,0.987,-0.0564,0.0298567,   ,13.6527,8.448,5391.3,0.915,K0,A_Y,22.5,K2  ,2.0866,6.574400000000002,Yes,,1,O19,Gaia DR2 4087762371240557696,289.3627552777777,-17.063121388888888,1.0766,4087762371240557696,0.09422446,-0.009335518,289.36274720787605,-17.06323512130032,3.27644340044346,0.018392414,178.14102,-1.1112434847476722,-25.72215190310951,0.83880615,2862.9805,13.02302,662.3897,85912.16888146328,1029.919,1.2179319,0.0,0.0,0.0,0.0,1.0594845,0.44922352,0.61026096,44.08864,1.9056152,2.0,12.581562,,,20.36277698060608,-13.30653934268905,288.55604970298504,5.137425334561575,0,5196.616,5176.236,5216.0864,0.1826,0.1474,0.0783,5381.462381907882,0,False,0.009335518,False,5.600033140913197,False,False,True
