dr2_source_id,dr3_source_id,n_sectors,Prot,uncertainty,pdm_period,lsp_period,pdm_power,lsp_power,Teff_Curtis20,p2p_rms,a_90_10,snr,ra,dec,pmra,pmdec,parallax,radial_velocity,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,phot_bp_mean_mag_0,phot_rp_mean_mag_0,phot_g_mean_mag_0,X,Y,Z,U,V,W,v_l,v_b,in_meingast,in_kerr,in_kc,in_cg,in_jaehnig,in_lodieu,in_moranta,in_heyl,manual_check,flag_quality_period,flag_benchmark_period,in_gyro_sample,flag_nbhr_count
249896422945392512,249896422945392512,2,6.045,0.00101,6.045,6.045,0.391,0.644,4275.0,3899.21,16822.42,11.32,54.963,50.617,20.027,-24.714,5.237,-1.69,14.492,12.853,13.722,7.805,6.278,7.105,-161.08,99.99,-12.23,-23.95,-36.97,-14.11,27.771,-7.054,True,True,True,False,False,True,False,False,g,True,True,True,False
440682134411472384,440682134411472384,1,6.972,0.00958,6.972,6.924,0.411,0.507,4467.0,3196.67,74130.18,39.72,43.23,51.867,25.583,-22.949,5.88,-4.92,13.663,12.209,12.997,7.299,5.929,6.683,-131.19,105.27,-19.22,-23.37,-36.6,-13.69,26.65,-7.119,True,True,True,True,False,True,False,True,g,True,True,True,False
244858082709373312,244858082709373312,1,5.636,0.00859,11.57,5.636,0.253,0.709,5231.0,820.82,31038.98,68.24,55.911,46.063,25.619,-31.844,6.875,1.26,12.009,10.931,11.553,5.996,4.998,5.582,-126.32,68.75,-17.48,-24.59,-36.01,-13.82,27.305,-6.522,True,True,True,False,False,True,True,False,g,True,True,True,True
245406807732412160,245406807732412160,1,7.848,0.00599,7.848,7.667,0.208,0.761,4480.0,2385.6,26803.87,18.22,57.181,47.501,19.291,-25.34,5.201,1.72,13.955,12.507,13.291,7.316,5.956,6.704,-166.97,91.65,-17.55,-25.54,-36.29,-14.33,28.015,-7.019,True,True,True,False,False,True,False,True,g,True,True,True,True
459980556340904192,459980556340904192,1,7.071,0.00529,0.104,7.071,0.634,0.396,4052.0,3203.19,17151.17,9.11,47.634,56.704,21.069,-22.359,5.5,-5.29,15.145,13.304,14.239,8.532,6.816,7.709,-140.96,113.42,-3.29,-22.77,-35.37,-14.43,25.311,-7.349,False,True,True,True,False,True,False,False,g,True,True,True,True
249044331494743296,249044331494743296,1,7.021,0.00516,14.0,7.021,0.332,0.705,5011.0,1237.66,13925.12,18.19,53.668,48.006,21.446,-25.527,5.526,0.9,13.013,11.825,12.497,6.476,5.388,6.014,-153.51,92.09,-19.74,-25.44,-35.85,-14.2,27.605,-6.955,True,True,True,True,True,True,True,True,g,True,True,True,True
435621494703658240,435621494703658240,1,4.321,0.00464,4.321,4.359,0.271,0.721,5387.0,966.31,29674.13,63.29,50.334,48.757,23.266,-24.911,5.741,-0.15,12.179,11.124,11.739,5.708,4.76,5.323,-143.97,94.3,-20.92,-25.22,-35.53,-13.84,27.199,-6.726,True,True,True,True,True,True,True,True,g,True,True,True,True
441573048067694592,441573048067694592,1,6.692,0.00411,6.692,6.783,0.306,0.765,3674.0,5894.22,38959.57,11.56,52.239,49.567,22.917,-25.2,5.744,-0.72,16.03,13.788,14.863,9.556,7.428,8.472,-145.24,93.03,-16.8,-24.7,-35.91,-13.45,27.253,-6.364,True,True,True,True,True,True,False,True,g,True,True,True,True
247760003131838720,247760003131838720,1,6.518,0.00392,6.518,6.56,0.163,0.858,4561.0,1688.56,61053.91,60.68,54.562,45.851,23.838,-27.711,6.343,2.3,13.384,11.994,12.755,7.193,5.883,6.61,-135.85,75.86,-20.95,-25.37,-34.7,-13.38,26.554,-5.935,True,True,True,False,False,True,True,False,g,True,True,True,True
441515559925069312,441515559925069312,1,6.272,0.00389,6.272,6.272,0.158,0.864,5084.0,1195.18,47939.12,68.61,52.094,49.241,23.173,-25.397,5.769,-0.56,12.859,11.691,12.353,6.392,5.333,5.944,-144.71,92.3,-17.69,-24.83,-35.99,-13.49,27.387,-6.398,True,True,True,True,True,True,True,True,g,True,True,True,True
249113055272003456,249113055272003456,1,5.573,0.00384,5.573,5.604,0.299,0.769,4557.0,1256.54,17063.69,24.64,52.099,47.614,22.577,-26.107,5.82,0.15,13.485,12.07,12.84,7.066,5.748,6.478,-144.53,88.91,-21.51,-24.69,-35.71,-14.19,27.091,-7.037,True,True,True,True,True,True,True,True,g,True,True,True,True
436455126375970304,436455126375970304,1,4.775,0.00373,4.775,4.798,0.28,0.749,5569.0,815.22,15429.0,39.18,49.163,49.452,23.697,-24.757,5.791,-1.41,12.061,11.063,11.649,5.601,4.713,5.245,-141.09,96.07,-20.23,-24.54,-35.87,-13.82,27.075,-6.85,True,True,True,True,True,True,True,True,g,True,True,True,True
435680765247601536,435680765247601536,1,4.821,0.00351,4.821,4.844,0.177,0.763,5408.0,881.46,19446.34,43.05,49.426,49.029,23.255,-24.428,5.675,-3.07,12.118,11.067,11.682,5.622,4.678,5.241,-144.51,97.03,-21.45,-23.06,-36.99,-13.59,27.197,-6.836,True,True,True,True,True,True,True,True,g,True,True,True,True
232471774986777856,232471774986777856,1,5.482,0.0035,5.482,5.482,0.12,0.667,5068.0,1076.52,45592.56,82.19,62.811,44.554,20.629,-32.25,6.411,3.02,12.446,11.327,11.971,6.34,5.279,5.896,-141.53,62.61,-13.33,-24.39,-36.26,-14.36,27.328,-6.936,True,True,True,False,False,True,True,False,g,True,True,True,True
441937295652064896,441937295652064896,1,6.233,0.00336,0.104,6.233,0.47,0.592,3675.0,4527.8,23409.82,9.37,53.35,50.13,21.751,-25.398,5.568,-21.13,15.934,13.69,14.762,9.384,7.258,8.298,-150.44,95.38,-14.62,-7.59,-47.04,-12.28,27.496,-6.844,True,True,True,True,True,True,False,True,g,True,True,True,True
441716774852013568,441716774852013568,1,5.452,0.00312,5.452,5.482,0.221,0.822,4867.0,1453.11,26383.95,35.17,50.671,49.678,23.928,-25.767,5.9,-2.69,13.191,11.925,12.632,6.768,5.612,6.271,-139.83,92.72,-17.75,-23.4,-36.88,-13.59,27.312,-6.726,True,True,True,True,True,True,False,True,g,True,True,True,True
249198645379514880,249198645379514880,1,5.636,0.00308,5.636,5.604,0.281,0.781,4855.0,1132.58,19955.27,31.8,51.553,48.152,22.834,-25.113,5.67,-1.22,13.119,11.859,12.562,6.632,5.474,6.132,-147.42,92.87,-21.35,-24.05,-36.55,-13.64,27.454,-6.651,True,True,True,True,True,True,True,True,g,True,True,True,True
442414346259448320,442414346259448320,1,6.972,0.00305,6.972,6.972,0.497,0.583,3470.0,6954.53,27167.47,6.69,53.233,51.846,22.34,-26.642,5.751,9.07,16.903,14.301,15.472,10.366,7.919,9.054,-144.18,95.19,-10.07,-33.53,-30.51,-14.96,27.589,-7.259,True,True,True,True,True,True,False,True,g,True,True,True,True
