EPIC,P,P_err,epic_number,source_id,bp_rp
211388204,31.8,1.6,211388204,598899796057231616,0.94550323
211394185,30.4,1.8,211394185,604894745769327232,1.265666
211395620,30.7,3.6,211395620,598902716634970240,1.2504206
211397319,25.1,1.3,211397319,604896051439391104,0.850749
211397512,34.5,2.2,211397512,604896635554924672,1.2256279
211398025,28.8,1.6,211398025,604711299125433472,0.9643822
211398541,30.3,6.8,211398541,598903678707639296,1.2318296
211399458,30.2,1.9,211399458,604898972017070592,1.2119112
211399819,28.4,2.0,211399819,604897631987337600,0.9865389
211400500,26.9,1.5,211400500,604897833850019328,0.8575201
211406596,26.9,2.2,211406596,604960235430488960,0.9754591
211410757,18.9,0.8,211410757,604925875692160640,0.7383795
211411477,31.2,1.9,211411477,604906153202364544,0.8812113
211411621,30.5,1.0,211411621,604926494167460352,1.0129566
211413212,24.4,2.5,211413212,604962640612163200,0.8414192
211413961,31.4,1.5,211413961,604930445537381632,0.95622635
211423010,24.9,1.9,211423010,604973635728426752,0.9437456
211428580,26.9,2.3,211428580,604995660320634880,0.88621235
211430274,31.1,2.7,211430274,604996106997219712,1.1389399
