TIC,GAIAEDR3_ID,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_RUWE,GAIAEDR3_G,GAIAEDR3_G_ERR,GAIAEDR3_G_CORRECTED,GAIAEDR3_BP,GAIAEDR3_BP_ERR,GAIAEDR3_RP,GAIAEDR3_RP_ERR,TMASS_ID,TMASS_J,TMASS_J_ERR,TMASS_H,TMASS_H_ERR,TMASS_K,TMASS_K_ERR,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_GES,GES_Target,GES_Cluster,GES_MemProb,angDist_Cantat-Gaudin,CG_MemProb,CG_Cluster,av,av_err,dist,dist_err,log(Age),log(Age)_err,Mass,Mass_err,log(Teff),log(Teff)_err,Prot1,Pw1,Q1,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,LitPeriod,LitSource,Cluster,to_plot
44999952,5317681678714511232,129.502,-55.106,1.140,16.079,0.001,16.079,17.939,0.011,14.772,0.002,1908066090563513856.000,12.816,0.053,12.225,0.060,11.914,0.039,0.34709173173681357,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,1e+20,1e+20,N/A,0.16916492573952407,0.05407339936792113,153.65096823571244,1.022250092478878,7.395135857329811,0.2730240665643686,0.22891998940473712,0.07289411507778643,3.5431174222131645,0.004020441365396376,0.31,0.250,0.0,0.029,-9999.00,-9999.000,4.0,n,m,y,,,IC_2391,1
45049176,5318058609343768960,129.795,-54.017,1.150,17.373,0.001,17.373,19.529,0.054,16.026,0.005,1962056509533928960.000,13.972,0.022,13.324,0.028,13.110,0.038,0.8466210831861812,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,0.008449,0.9,IC_2391,0.1829425177009926,0.051861019479814675,147.9874680763208,1.6663757335006517,8.203830559792689,0.46861946291131495,0.21326411766871578,0.043911694974981944,3.539509183887626,0.003668949715634085,,,9.0,,,,,,,y,,,IC_2391,1
45050711,5317838088544453760,129.793,-54.603,0.999,16.838,0.001,16.838,18.694,0.027,15.545,0.005,1926045304700937984.000,13.643,0.044,12.996,0.045,12.785,0.037,0.6346958157365441,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,0.006183,1.0,IC_2391,0.18411269443448802,0.05305368388238709,145.71365839414662,1.0560288854069961,8.140685191060733,0.4969199946322641,0.25194372824606637,0.05240439966725948,3.5454432260794433,0.003118938897413515,0.78,0.161,0.0,0.028,-9999.00,-9999.000,4.0,n,m,y,,,IC_2391,1
45181378,5317840077103963008,129.880,-54.514,1.006,17.833,0.002,17.832,19.908,0.048,16.489,0.004,1926045304700949248.000,14.359,0.045,13.864,0.074,13.529,0.061,0.5597311630294516,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,0.00246,1.0,IC_2391,0.18525336978368068,0.04824593187132649,145.19280360882868,1.7917913294849404,8.333319425701884,0.3742863857715055,0.16399036029197323,0.023313216198980125,3.5370537215258553,0.003852064255515076,,,9.0,,,,,,,y,,,IC_2391,1
45184491,5317797818929671808,130.208,-54.506,1.000,16.296,0.001,16.296,18.088,0.011,15.024,0.002,1908013314005423104.000,13.180,0.032,12.579,0.035,12.314,0.031,0.4013669541003371,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,1e+20,1e+20,N/A,0.165642982986563,0.0556258048559182,142.1769304543115,0.7208781154543126,8.26979032497061,0.49741639816541766,0.32833679011663586,0.0619424218507891,3.5482073724237533,0.0031231268874961976,0.69,0.132,1.0,0.028,-9999.00,-9999.000,4.0,n,m,y,,,IC_2391,1
45186854,5316914769354423424,130.146,-55.346,1.053,20.133,0.004,20.109,21.393,0.155,18.539,0.023,1872019701358489600.000,15.516,0.057,14.841,0.068,14.596,0.101,0.4580767307487539,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,1e+20,1e+20,N/A,0.1758159157199373,0.05394604134443481,176.71283702459885,14.944061831653867,8.199366546953687,0.29707140078483985,0.11615864715905166,0.012905731777598295,3.483013766142837,0.005020909148342042,,,9.0,,,,,,,n,,,IC_2391,1
45402598,5317793214724700928,130.302,-54.641,1.044,16.394,0.001,16.394,18.388,0.011,15.064,0.002,1908013314005412352.000,13.024,0.030,12.525,0.038,12.173,0.030,0.6274645898737339,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,0.003232,1.0,IC_2391,0.17835701321066183,0.05079493963279454,143.93031762367562,0.8261352794097088,7.8831247931487995,0.5923054364579435,0.30034034400826126,0.09267440589286226,3.542520437278152,0.004383358760924946,0.65,0.804,0.0,0.028,-9999.00,-9999.000,4.0,n,n,y,,,IC_2391,1
45402925,5317797578411509120,130.255,-54.517,0.926,10.333,0.001,10.333,10.646,0.001,9.862,0.001,1908013314005423360.000,9.360,0.024,9.110,0.025,9.014,0.021,0.4081336855061056,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,1e+20,1e+20,N/A,0.04574602065583015,0.046756025806781995,143.54155239538994,0.24092221022853255,8.201831922251197,0.4376859281649933,1.060999919464333,0.02369579951961426,3.7953058018414896,0.006165758711102808,1.43,0.584,0.0,0.029,-9999.00,-9999.000,4.0,n,y,y,,,IC_2391,1
45404408,5317891964614977792,130.284,-53.979,0.980,16.927,0.001,16.927,18.819,0.022,15.632,0.003,1944024518838414848.000,13.693,0.028,13.168,0.028,12.829,0.033,1.0,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,0.003084,1.0,IC_2391,0.17082763377925642,0.052211103601372114,153.15411409478043,1.2043703337897287,8.153468509570654,0.475878255579188,0.2560417472951153,0.05324805909126789,3.545185393471993,0.0030546612773070417,0.76,0.270,0.0,0.028,-9999.00,-9999.000,4.0,n,n,y,,,IC_2391,1
45405879,5317822210041117056,130.625,-54.355,1.026,18.196,0.002,18.171,20.459,0.068,16.784,0.004,1907995721819403008.000,14.591,0.036,14.010,0.047,13.697,0.048,1.0,0.0,0.24671625890317983,1.0,1e+20,N/A,N/A,1e+20,1e+20,1e+20,N/A,0.18543155802803496,0.049619132744569826,152.35804926394133,2.879889110685965,8.312915815582976,0.37709631465646976,0.15575702388050194,0.02200297299233693,3.5323966116027594,0.004545284568332468,,,9.0,,,,,,,y,,,IC_2391,1
